PSU,CASEID,CASENO,STRATIF,RECNO,VERSION,PSUWGT,NATWGT,RATWGT,DRINKING,ALCTEST,VEHNO,OCUPANTS,DRPRES,MONDRIVE,MILEVEH,MILETOT,DRTRAIN,LASTRAIN,FREQDRIV,TYPEOP,BMCSREG,DRCLASS,ACCTYPE,AVOIDMAN,RELFACT,VIOCHAR1,VIOCHAR2,LSTATUS,LTYPCOMP,LREST,PREVSPD,PREVOTH,PREVDWI,PREVSUS,PREVACC,FEDAID,CLASTRAF,ROADFUNC,LANES,LANEWIDT,MEDIANT,MEDIANW,ACCESS,TRAFFLOW,SHOULDLT,SHOULDRT,ALIGNMNT,SLOPE,SUPELEV,CURVE,GRADE,PROFILE,SURTYPE,SURCOND,SPLIMIT,RESTRICT,TRAFCONT,TRCTLFCT,TRUCKSYS,ENVRF
11,088B,88,B,4,9,5.500,98.934,99.398,0,C,1,1,1,U,U,U,U,U,U,3,3,1,70,1,1,98,0,6,3,U,2,3,0,1,U,3,3,13,5,153,0,0,3,0,0,0,1,2,98,0,-1,1,2,1,35,0,90,6,0,0
11,088B,88,B,4,9,5.500,98.934,99.398,0,C,2,1,1,61,140,100,0,0,2,0,0,0,71,9,1,0,0,5,3,U,0,0,0,0,U,3,3,13,5,153,0,0,3,0,0,0,1,2,98,0,-1,1,2,1,35,0,0,0,0,0
11,089B,89,B,4,9,5.500,98.934,99.398,0,C,1,1,1,61,835,200,1,3,4,0,0,0,88,4,3,0,0,5,3,U,0,0,0,0,U,3,4,14,5,117,0,0,3,0,0,0,1,2,98,0,0,1,2,1,35,0,28,6,0,0
11,089B,89,B,4,9,5.500,98.934,99.398,0,C,2,1,1,U,U,U,U,U,U,0,0,0,89,U,19,0,0,5,3,U,1,1,0,0,U,5,8,16,2,157,0,0,3,0,0,0,1,2,98,0,-2,1,1,1,35,0,0,0,0,0
11,090C,90,C,4,9,12.750,229.347,238.125,0,C,1,1,1,61,150,150,1,3,3,0,0,0,98,1,1,98,0,5,3,U,1,1,0,0,U,3,6,13,5,109,0,0,3,0,0,0,1,2,98,0,-2,1,2,1,35,0,93,6,0,0
11,090C,90,C,4,9,12.750,229.347,238.125,0,C,2,1,1,24,10,150,1,2,2,0,0,0,98,1,1,0,0,5,3,U,2,0,0,0,U,5,8,16,3,136,0,0,3,0,0,0,1,2,98,0,3,2,2,1,15,0,20,6,0,0
11,091D,91,D,4,9,38.000,683.544,672.351,0,C,1,2,1,37,1,20,1,2,5,0,0,0,82,1,38,5,0,5,3,U,0,1,0,1,U,5,8,16,1,175,0,0,3,3,0,0,3,2,0,30,0,1,2,2,0,0,0,0,0,0
11,091D,91,D,4,9,38.000,683.544,672.351,0,C,2,1,1,61,50,110,1,3,2,0,0,0,83,6,1,0,0,6,3,U,1,0,0,0,U,5,6,16,2,130,0,0,3,0,0,0,3,3,1,30,0,1,2,2,25,0,0,0,0,0
11,092E,92,E,4,9,115.000,2068.620,2111.818,0,C,1,3,1,61,10,200,1,4,4,0,0,0,68,9,9,0,0,6,3,U,2,1,0,0,U,5,6,16,3,98,0,0,3,0,0,0,1,2,98,0,4,2,2,1,25,0,4,3,0,0
11,092E,92,E,4,9,115.000,2068.620,2111.818,0,C,2,3,1,61,210,997,1,3,1,0,0,0,69,1,1,0,0,5,3,U,2,0,0,0,U,5,6,16,3,113,0,0,3,0,0,0,1,2,98,0,-5,2,2,1,25,0,4,3,0,0
11,093B,93,B,4,9,5.500,98.934,99.398,1,C,1,1,1,U,U,U,U,U,U,0,0,0,20,U,1,2,4,1,2,U,0,2,2,2,U,3,6,13,5,108,0,0,3,0,0,0,1,2,98,0,1,1,2,1,30,0,61,3,0,0
11,093B,93,B,4,9,5.500,98.934,99.398,0,C,2,1,1,61,U,U,U,U,1,0,0,0,21,1,1,0,0,5,3,U,1,0,0,0,U,3,6,13,5,108,0,0,3,0,0,0,1,2,98,0,1,1,2,1,30,0,61,3,0,0
11,094D,94,D,4,9,38.000,683.544,672.351,0,C,1,2,1,61,15,200,1,3,3,0,0,0,0,1,1,0,0,5,3,U,0,1,0,0,U,1,1,11,2,123,2,30,1,2,1,2,1,2,98,0,-3,2,1,1,55,0,0,0,1,0
11,095B,95,B,4,9,5.500,98.934,99.398,0,C,1,1,1,61,500,290,3,4,1,0,0,0,66,8,1,1,98,6,3,U,0,0,0,0,U,4,4,4,2,120,0,0,3,0,5,3,1,2,98,0,-1,1,2,1,50,0,92,6,0,26
11,095B,95,B,4,9,5.500,98.934,99.398,0,C,2,2,1,U,U,U,U,U,U,0,0,0,66,U,1,0,0,5,3,U,2,0,0,0,U,4,4,4,2,125,0,0,3,0,3,5,1,2,98,0,0,1,2,1,50,0,0,0,0,0
11,096E,96,E,4,9,115.000,2068.620,2111.818,0,C,1,1,1,N,N,N,N,N,N,0,0,0,92,N,1,5,0,5,3,U,1,0,0,0,U,5,8,16,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,U,0,N,N,0,0
11,096E,96,E,4,9,115.000,2068.620,2111.818,0,C,2,1,1,N,N,N,N,N,N,0,0,0,93,N,1,0,0,5,3,U,0,0,0,0,U,3,6,14,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,U,0,N,N,0,0
11,097C,97,C,4,9,12.750,229.347,238.125,1,C,1,1,1,U,U,U,U,U,U,0,0,0,2,3,98,0,0,5,3,U,0,0,0,0,U,1,1,1,2,115,4,57,1,1,3,4,3,2,0,10,1,1,2,1,55,0,93,6,1,0
11,098D,98,D,4,9,38.000,683.544,672.351,1,17,1,1,1,N,N,N,N,N,N,0,0,0,0,N,0,2,0,5,3,U,0,0,0,1,U,5,5,16,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2,U,0,N,N,0,0
11,099B,99,B,4,9,5.500,98.934,99.398,0,C,1,1,1,61,80,100,0,0,1,0,0,0,13,2,1,0,0,6,3,U,0,0,0,0,U,4,4,4,2,109,0,0,3,0,6,6,1,2,98,0,-1,1,2,1,50,0,0,0,0,2
11,099B,99,B,4,9,5.500,98.934,99.398,0,C,2,2,1,61,1,120,8,4,1,0,0,0,98,1,1,0,0,6,3,U,0,1,0,0,U,4,4,4,2,103,0,0,3,0,6,6,1,2,98,0,-1,1,2,1,50,0,0,0,0,0
