PSU,CASEID,CASENO,STRATIF,VERSION,VEHNO,ACCSEQ1,OBJCONT1,DOF1,GAD1,SHL1,SVL1,TDD1,EXTENT1,ACCSEQ2,OBJCONT2,DOF2,GAD2,SHL2,SVL2,TDD2,EXTENT2,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,SDVL,SDVC1,SDVC2,SDVC3,SDVC4,SDVC5,SDVC6,SDVD,DOCCDC,TOWRES,WHEELBAS,NATWGT,PSUWGT
1,16F,16,F,2,2,1,1,1,F,Y,E,W,3,,,,,,,,,58,22,22,20,18,7,0,0,,,,,,,,,0,1,931,573.83371,7.181
1,17G,17,G,2,1,1,2,12,F,Z,E,N,1,,,,,,,,,68,0,0,1,0,0,0,0,,,,,,,,,0,0,1608,1601.3964,20.04
1,18D,18,D,2,1,1,51,12,F,R,E,N,3,,,,,,,,,63,0,0,13,22,27,23,0,,,,,,,,,0,1,943,79.91,1
1,19D,19,D,2,1,3,59,12,F,D,E,W,2,2,68,0,U,D,D,W,1,59,0,1,6,11,11,4,0,,,,,,,,,0,1,942,79.91,1
1,20E,20,E,2,1,1,68,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,U,1079,647.271,8.1
1,21C,21,C,2,1,1,2,2,R,Y,E,W,3,2,3,3,F,L,E,S,1,77,0,9,11,5,6,8,27,,,,,,,,,0,1,1005,127.856,1.6
1,21C,21,C,2,2,1,1,11,F,D,E,W,3,,,,,,,,,56,2,8,14,20,28,30,0,,,,,,,,,0,1,1003,127.856,1.6
1,22E,22,E,2,1,1,2,11,L,D,E,S,2,2,59,2,R,B,E,W,1,137,0,0,0,2,1,0,13,41,0,2,1,0,0,0,-84,0,1,1175,647.271,8.1
1,22E,22,E,2,2,1,1,11,F,Y,E,W,2,,,,,,,,,67,21,14,14,11,2,0,0,,,,,,,,,0,1,1080,647.271,8.1
1,23F,23,F,2,1,1,2,1,F,D,E,W,1,,,,,,,,,75,5,5,6,5,4,2,0,,,,,,,,,0,1,1160,863.028,10.8
1,23F,23,F,2,2,1,1,10,L,Y,E,W,2,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1143,863.028,10.8
1,24G,24,G,2,2,1,1,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,1,942,2397.3,30
1,25C,25,C,2,1,1,51,12,F,L,E,N,2,,,,,,,,,60,3,10,16,10,4,0,0,,,,,,,,,0,1,999,127.856,1.6
1,26E,26,E,2,1,1,2,12,F,D,E,W,2,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1012,1294.542,16.2
1,28C,28,C,2,1,1,2,2,F,D,E,W,2,,,,,,,,,72,2,2,2,6,10,13,0,,,,,,,,,0,1,1315,127.856,1.6
1,28C,28,C,2,2,1,1,10,L,Y,A,W,3,,,,,,,,,138,0,1,5,4,6,0,17,,,,,,,,,0,1,1003,127.856,1.6
1,29F,29,F,2,1,1,2,6,B,L,E,N,2,,,,,,,,,62,9,7,4,3,2,2,0,,,,,,,,,0,1,1080,783.118,9.8
1,30D,30,D,2,1,1,2,10,L,Y,E,W,2,,,,,,,,,118,0,5,12,10,5,0,39,,,,,,,,,0,1,1127,159.82,2
1,30D,30,D,2,2,1,1,1,F,D,E,W,2,,,,,,,,,60,18,14,13,9,4,3,0,,,,,,,,,0,1,984,159.82,2
1,31B,31,B,2,1,3,60,1,F,D,E,W,5,1,50,U,9,9,9,9,U,62,7,14,21,29,38,47,0,,,,,,,,,0,1,999,79.91,1
1,32E,32,E,2,2,1,1,8,L,Z,E,W,2,3,51,U,9,9,9,9,U,116,0,2,1,1,1,0,-11,,,,,,,,,0,1,939,535.397,6.7
1,33C,33,C,2,1,1,2,12,F,D,E,W,4,,,,,,,,,60,9,16,36,38,37,45,0,,,,,,,,,0,1,1034,98.2893,1.23
1,34H,34,H,2,1,1,51,2,R,F,M,N,1,2,31,U,9,9,9,9,U,4,0,0,1,0,,,38,,,,,,,,,0,0,1012,3036.58,38
1,36C,36,C,2,1,1,51,12,F,Y,E,N,2,,,,,,,,,71,1,18,14,8,2,0,0,,,,,,,,,0,1,1108,98.2893,1.23
1,37E,37,E,2,1,2,51,12,F,Y,E,N,2,1,42,9,L,B,E,E,1,60,0,7,17,6,0,0,0,14,4,1,0,0,,,-95,0,1,1782,535.397,6.7
1,38C,38,C,2,2,1,1,12,F,D,E,W,1,,,,,,,,,56,6,5,6,5,5,7,0,,,,,,,,,0,1,1012,98.2893,1.23
1,39F,39,F,2,2,1,1,12,F,D,E,W,1,,,,,,,,,68,2,1,4,5,5,6,0,,,,,,,,,0,1,1081,783.118,9.8
1,40E,40,E,2,1,1,2,1,F,Z,E,W,1,,,,,,,,,67,0,0,1,4,1,2,0,,,,,,,,,0,1,1100,535.397,6.7
1,40E,40,E,2,2,1,1,9,L,F,E,W,2,,,,,,,,,57,0,1,6,8,8,2,64,,,,,,,,,0,1,1130,535.397,6.7
1,41F,41,F,2,1,1,2,12,F,D,E,W,1,,,,,,,,,60,0,5,6,6,5,5,0,,,,,,,,,0,1,1012,783.118,9.8
1,41F,41,F,2,2,1,1,5,B,D,E,W,2,,,,,,,,,72,0,4,10,13,4,0,0,,,,,,,,,0,1,1081,783.118,9.8
1,42C,42,C,2,1,1,56,U,9,9,9,9,U,2,31,U,9,9,9,9,U,,,,,,,,,,,,,,,,,0,1,990,98.2893,1.23
1,43H,43,H,2,1,1,56,1,F,D,A,W,1,,,,,,,,,49,2,6,8,10,3,0,0,,,,,,,,,0,1,973,3036.58,38
1,44G,44,G,2,1,1,2,12,F,R,E,N,1,,,,,,,,,61,0,0,0,0,1,3,0,,,,,,,,,0,1,1012,2237.48,28
1,45E,45,E,2,1,1,56,12,F,L,E,W,5,2,51,U,9,9,9,9,U,72,18,6,5,3,1,0,-25,,,,,,,,,0,1,1250,535.397,6.7
1,46C,46,C,2,1,1,2,8,L,Y,E,W,4,2,2,9,L,B,E,N,1,115,0,6,9,19,6,4,15,,,,,,,,,0,1,945,98.2893,1.23
1,46C,46,C,2,2,1,1,1,F,Z,E,W,1,2,1,3,R,P,M,W,1,62,2,4,4,6,8,10,0,41,0,1,2,2,2,0,11,0,1,1080,98.2893,1.23
1,47D,47,D,2,1,1,2,12,F,D,E,W,4,,,,,,,,,63,4,13,21,30,41,47,-18,,,,,,,,,0,1,1049,159.82,2
1,49E,49,E,2,1,1,2,6,B,D,E,W,1,,,,,,,,,56,2,2,2,2,1,1,0,,,,,,,,,0,1,973,535.397,6.7
1,49E,49,E,2,2,1,1,12,F,D,E,W,1,,,,,,,,,54,2,2,2,2,2,2,0,,,,,,,,,0,0,799,535.397,6.7
1,50C,50,C,2,1,1,2,11,F,Y,E,W,2,,,,,,,,,61,15,11,9,5,2,0,0,,,,,,,,,0,1,1120,98.2893,1.23
1,50C,50,C,2,2,1,1,82,F,D,E,W,3,,,,,,,,,63,15,17,20,23,25,15,0,,,,,,,,,0,1,1049,98.2893,1.23
1,51D,51,D,2,1,1,42,U,9,9,9,9,U,2,31,U,9,9,9,9,U,,,,,,,,,,,,,,,,,0,1,970,159.82,2
1,52G,52,G,2,1,1,42,9,L,P,A,N,3,,,,,,,,,112,0,2,6,11,17,0,30,,,,,,,,,0,1,1010,2237.48,28
1,53E,53,E,2,1,1,2,12,F,L,E,W,1,,,,,,,,,59,0,2,3,2,0,0,0,,,,,,,,,0,1,937,535.397,6.7
1,54H,54,H,2,2,1,1,6,B,Y,E,W,1,,,,,,,,,75,0,1,1,1,0,0,0,,,,,,,,,0,0,1150,3036.58,38
1,55C,55,C,2,1,4,42,12,F,R,E,N,3,2,42,12,L,B,E,S,1,60,0,0,5,11,25,23,-26,36,3,2,0,0,0,0,-86,0,1,972,98.2893,1.23
1,56F,56,F,2,1,1,2,1,R,Y,E,W,2,2,3,12,F,Z,E,W,1,94,0,6,5,3,2,2,42,62,1,2,5,7,7,3,14,0,1,1108,1174.677,14.7
1,56F,56,F,2,2,1,1,10,F,D,E,W,1,,,,,,,,,62,4,5,6,7,8,9,-6,,,,,,,,,0,1,960,1174.677,14.7
1,56F,56,F,2,3,2,1,11,F,L,E,N,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1004,1174.677,14.7
1,57G,57,G,2,1,1,2,1,F,D,E,W,1,,,,,,,,,61,1,1,1,2,6,9,9,,,,,,,,,0,1,1250,3356.22,42
