PSUWGT,NATWGT,PSU,AOPSVEH,CASEID,CASENO,STRATIF,VERSION,VEHNO,MODELYR,MAKE,MODEL,BODYTYPE,VIN,TOWPAR,TRAVELSP,DRINKDRG,ALCTEST,SPLIMIT,MANEUVER,ACCTYPE,DRPRES,OCUPANTS,OCCFORMS,CURBWGT,TOWHITCH,DOCTRAJ,CONDTREE,ROLLOVER,FOVERIDE,ROVERIDE,ANGTHIS,ANGOTHER,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,DVCONFID,INSPTYPE,VINLNGTH,VINJSER,VINJURED,DRIVE,VTREAT,OTVEHWGT,OTBDYTYP,VAIS,CARGOWGT
11.97,1295.01036,76,0,94G,94,G,2,1,76,1,4,2,A6A667A300,0,15,0,C,55,1,72,1,1,0,30,0,1,0,0,0,0,315,350,6,U,U,U,U,0,0,13,N,N,1,N,N,N,N,0
11.97,1295.01036,76,0,94G,94,G,2,2,89,12,U,39,9999999999,1,55,0,C,55,U,73,1,1,1,U,0,1,0,0,0,0,350,315,6,U,U,U,U,0,0,U,0,0,8,0,N,N,0,U
1,108.188,76,0,95B,95,B,2,1,83,20,477,30,1GCCT14B5D,1,U,1,D,55,U,6,1,1,1,29,0,1,0,4,0,0,997,997,5,U,U,U,U,0,0,17,1,1,8,1,N,N,3,U
1,108.188,76,0,96C,96,C,2,1,85,37,32,3,JHMAD5334F,1,55,0,C,55,8,1,1,2,2,22,0,1,0,2,0,0,997,997,5,U,U,U,U,0,1,17,0,2,2,3,998,98,2,U
1,108.188,76,0,97C,97,C,2,1,67,12,473,31,F10AKA5700,1,U,1,10,55,U,50,1,2,2,35,0,1,0,0,0,0,140,0,1,24,-21,-12,1697,1,1,11,1,2,8,3,29,30,4,U
1,108.188,76,0,97C,97,C,2,2,87,12,477,30,1FTCR11T4H,1,55,0,C,55,9,51,1,1,1,29,0,1,0,0,0,0,0,140,1,28,-25,14,619,1,1,17,1,1,8,3,35,31,4,1
13,1406.444,76,0,98H,98,H,2,1,84,18,7,4,1G4AL19E8E,1,45,0,C,45,U,6,1,1,1,29,0,0,0,0,0,0,998,998,5,U,U,U,U,0,0,17,0,0,2,0,N,N,0,U
1,108.188,76,0,99C,99,C,2,1,76,20,473,31,CCV146S100,1,50,0,C,55,1,20,1,1,1,41,0,0,0,0,0,0,260,260,5,U,U,U,U,0,1,13,0,1,8,0,28,30,1,2
1,108.188,76,0,99C,99,C,2,2,87,12,477,30,1FTBR10AXH,1,0,8,E,55,97,21,0,3,3,28,0,0,0,0,0,0,260,270,5,U,U,U,U,0,1,17,1,3,8,3,41,31,3,U
1,108.188,76,0,99C,99,C,2,3,87,13,1,4,1LNBM82F3H,0,0,0,C,55,1,98,1,2,0,41,0,0,0,0,U,U,270,260,5,U,U,U,U,0,0,17,N,N,1,N,N,N,N,0
1.3,140.6444,76,0,100E,100,E,2,1,78,14,4,2,8H93H58700,1,30,0,C,25,U,77,1,1,1,43,0,1,0,0,0,0,230,290,6,U,U,U,U,0,0,11,0,1,1,0,N,N,7,U
1.3,140.6444,76,0,100E,100,E,2,2,65,9,1,2,1355182000,1,U,0,C,25,2,76,1,2,2,28,0,1,0,0,0,0,290,230,6,U,U,U,U,0,0,10,0,2,1,4,N,N,2,0
4,432.752,76,0,101G,101,G,2,1,86,12,470,13,1FMCU14T4G,1,U,1,C,40,8,98,1,1,1,32,0,0,0,4,0,0,997,997,5,U,U,U,U,0,1,17,0,1,1,0,998,98,1,0
6,649.128,76,0,102H,102,H,2,1,84,35,477,30,JN6ND06Y0E,1,U,0,C,25,1,78,1,3,3,31,0,0,0,0,0,0,250,305,4,U,U,U,U,0,0,17,0,2,8,6,N,N,1,0
6,649.128,76,0,102H,102,H,2,2,80,76,706,70,9999999999,1,60,1,D,25,1,79,,,,,,,,,,,,,,,,,,,,U,N,N,8,N,N,N,N,
