PSU,CASEID,CASENO,STRATIF,VERSION,VEHNO,PASINTEG,OPENLF,OPENRF,OPENLR,OPENRR,OPENTG,FAILLF,FAILRF,FAILLR,FAILRR,FAILTG,GLIMPWS,GLIMPLF,GLIMPRF,GLIMPLR,GLIMPRR,GLIMPBL,GLIMPRUF,GLIMPOTH,GLOCCWS,GLOCCLF,GLOCCRF,GLOCCLR,GLOCCRR,GLOCCBL,GLOCCRUF,GLOCCOTH,GLTYPWS,GLTYPLF,GLTYPRF,GLTYPLR,GLTYPRR,GLTYPBL,GLTYPRUF,GLTYPOTH,GLPREWS,GLPRELF,GLPRERF,GLPRELR,GLPRERR,GLPREBL,GLPRERUF,GLPREOTH,INLOC1,INCOMP1,INMAG1,CDRIR1,INLOC2,INCOMP2,INMAG2,CDRIR2,INLOC3,INCOMP3,INMAG3,CDRIR3,INLOC4,INCOMP4,INMAG4,CDRIR4,INLOC5,INCOMP5,INMAG5,CDRIR5,INLOC6,INCOMP6,INMAG6,CDRIR6,INLOC7,INCOMP7,INMAG7,CDRIR7,INLOC8,INCOMP8,INMAG8,CDRIR8,INLOC9,INCOMP9,INMAG9,CDRIR9,INLOC10,INCOMP10,INMAG10,CDRIR10,COLUMTYP,COLMOVE,COLVERT,COLLAT,COLLONG,RIMDEF,RDEFLOC,ODOMETER,PANELDAM,BOLSTDEF,GLOVOPEN,NATWGT,PSUWGT
71,113D,113,D,2,2,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,1,3,23,10,1,3,13,10,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,96,96,96,96,0,0,41,0,8,0,67.25,2.5
71,114B,114,B,2,1,6,3,3,3,3,1,0,0,0,0,0,2,6,6,6,0,0,8,0,3,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,1,2,2,2,0,0,0,0,11,5,3,2,11,17,3,1,13,5,2,2,12,5,2,2,11,2,2,2,12,19,2,2,12,17,2,1,12,3,2,2,11,19,1,2,,,,,1,98,U,U,U,U,U,109,U,8,U,37.66,1.4
71,114B,114,B,2,2,6,3,3,0,0,0,0,0,0,0,0,2,0,6,8,8,0,8,8,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,11,5,1,2,11,19,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-1,-2,5,6,9,100,1,8,1,37.66,1.4
71,115C,115,C,2,1,6,1,3,1,3,0,0,0,0,0,0,2,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,1,0,2,0,2,0,0,0,13,7,3,3,23,10,3,3,13,10,2,3,13,19,2,3,13,24,1,3,13,13,1,3,,,,,,,,,,,,,,,,,1,96,96,96,96,0,0,20,0,8,0,44.116,1.64
71,116G,116,G,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,-1,0,0,1,6,24,0,8,0,1210.5,45
71,117B,117,B,2,1,0,1,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,11,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,98,0,-1,0,1,5,22,1,8,0,26.9,1
71,117B,117,B,2,2,6,1,3,0,0,0,0,0,0,0,0,2,0,6,0,6,0,8,8,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,1,0,2,0,1,0,0,0,13,10,5,3,13,13,5,3,13,28,5,3,23,13,4,3,13,6,4,3,13,17,4,3,13,14,4,3,23,7,3,3,12,19,3,3,13,27,3,3,1,96,96,96,96,0,0,113,1,8,0,26.9,1
71,118C,118,C,2,1,6,3,1,1,1,0,0,0,0,0,0,2,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,11,5,3,2,11,27,2,3,11,2,2,2,11,10,2,3,11,6,2,2,11,12,2,1,12,12,2,1,11,14,2,2,12,3,1,2,11,13,1,1,2,0,-1,-2,0,4,6,39,1,8,1,28.783,1.07
71,118C,118,C,2,2,6,3,1,0,0,0,0,0,0,0,0,2,6,0,6,0,0,8,8,2,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,1,2,0,1,0,0,0,0,11,2,3,2,11,19,3,2,11,6,3,2,11,27,3,3,11,10,3,3,11,14,2,2,11,17,2,3,11,5,2,2,12,3,2,2,11,1,2,2,2,98,3,-3,-3,1,5,U,1,8,0,28.783,1.07
71,118C,118,C,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,156,1,8,0,28.783,1.07
71,119E,119,E,2,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,U,0,0,0,0,0,59,0,8,0,223.27,8.3
71,119E,119,E,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,0,0,0,110,1,8,0,223.27,8.3
71,120E,120,E,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,98,0,0,0,0,0,105,0,8,0,223.27,8.3
71,120E,120,E,2,2,0,1,1,0,0,0,0,0,0,0,0,2,0,0,8,8,0,8,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,35,0,8,8,223.27,8.3
71,121F,121,F,2,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,101,0,8,0,287.83,10.7
71,122D,122,D,2,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,23,1,8,0,43.578,1.62
71,122D,122,D,2,2,6,1,3,0,0,1,0,0,0,0,0,2,0,6,0,6,0,8,8,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,1,0,2,0,1,0,0,0,22,19,5,2,13,10,4,3,13,27,4,3,13,24,3,3,13,4,3,3,23,28,3,3,23,7,3,3,12,3,2,1,12,19,2,3,13,12,2,1,1,96,96,96,96,0,0,78,1,8,0,43.578,1.62
71,124H,124,H,2,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,U,0,0,0,0,0,132,0,8,0,1210.5,45
71,125C,125,C,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,U,0,0,0,0,0,72,1,8,0,28.783,1.07
71,126C,126,C,2,1,98,3,3,0,0,0,0,0,0,0,0,2,6,0,0,0,0,8,8,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,21,19,4,2,11,17,4,2,13,17,3,1,12,17,3,1,11,2,3,2,23,19,3,2,12,3,2,2,11,6,2,2,13,4,1,2,21,12,1,1,2,98,6,0,3,1,6,94,1,8,0,28.783,1.07
71,127D,127,D,2,1,98,3,1,0,0,0,0,0,0,0,0,2,6,0,8,8,6,6,8,0,0,0,0,0,0,0,0,1,2,0,0,0,2,3,0,1,2,0,0,0,2,2,0,11,7,2,3,11,13,2,1,11,18,1,1,11,12,1,1,12,12,1,1,12,18,1,1,,,,,,,,,,,,,,,,,1,96,96,96,96,0,0,102,0,8,0,43.578,1.62
71,128G,128,G,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,U,0,0,0,0,0,27,0,8,0,833.9,31
