PSUWGT,NATWGT,RATWGT,PSU,AOPSVEH,CASEID,CASENO,STRATIF,VERSION,VEHNO,MODELYR,MAKE,MODEL,BODYTYPE,VIN,TOWPAR,TRAVELSP,DRINKDRG,ALCTEST,SPLIMIT,MANEUVER,ACCTYPE,DRPRES,OCUPANTS,OCCFORMS,CURBWGT,TOWHITCH,DOCTRAJ,CONDTREE,ROLLOVER,FOVERIDE,ROVERIDE,ANGTHIS,ANGOTHER,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,DVCONFID,INSPTYPE,VINLNGTH,VINJSER,VINJURED,DRIVE,VTREAT,OTVEHWGT,OTBDYTYP,VAIS,CARGOWGT
2.000,159.82,193.61375748,1,0,46F,46,F,3,2,85,6,16,5,1C3BH58E6F,1,U,0,C,30,4,88,1,2,2,25,0,0,0,0,0,0,292,210,1,11,-11,-4,127,1,1,17,0,0,2,4,24,2,0,0
8.000,639.28,774.45502992,1,0,47F,47,F,3,1,84,46,39,5,1XMDC996XE,1,U,0,C,30,3,11,1,1,1,20,0,1,0,0,0,0,6,181,5,U,U,U,U,0,1,17,0,1,2,4,998,98,1,0
18.000,1438.38,1973.4980356,1,1,48G,48,G,3,1,90,35,32,3,JN1HS36P1L,1,U,0,C,45,2,28,1,1,1,27,0,0,0,0,4,0,73,73,1,9,-9,0,80,3,1,17,0,0,1,0,40,21,0,0
18.000,1438.38,1973.4980356,1,0,48G,48,G,3,2,84,23,474,21,2GTEG25DXE,0,U,0,C,45,1,29,1,1,0,40,0,0,0,0,0,1,73,73,1,6,6,0,69,1,1,17,N,N,8,N,27,3,N,1
24.000,1917.84,2687.7952919,1,0,49H,49,H,3,1,81,22,10,2,1G2AJ37A8B,1,U,0,C,45,3,92,1,1,1,34,0,1,0,0,0,0,998,998,5,U,U,U,U,0,1,17,0,0,1,0,998,98,0,0
4.250,339.6175,411.42923464,1,0,50F,50,F,3,1,84,7,11,4,1B3BD26C3E,1,U,0,C,35,U,20,1,3,3,24,0,0,0,0,4,0,281,279,6,U,U,U,U,0,1,17,0,1,2,4,U,39,1,0
4.250,339.6175,411.42923464,1,0,50F,50,F,3,2,87,7,U,39,9999999999,0,0,0,C,35,U,21,1,2,0,U,0,0,0,0,0,U,279,281,6,U,U,U,U,0,0,U,N,N,8,N,N,N,N,U
17.000,1358.47,1903.8549984,1,0,51H,51,H,3,1,82,12,3,3,1FABP13A3C,1,U,0,C,30,7,7,1,2,2,26,0,1,1,0,0,0,998,998,1,13,-13,-2,243,1,1,17,0,0,1,0,998,98,0,0
1.000,79.91,108.9694832,1,0,52C,52,C,3,1,88,35,472,20,JN8SC26S3J,1,U,0,C,55,6,1,1,5,5,24,0,1,0,4,0,0,998,998,5,U,U,U,U,0,1,17,1,4,8,3,998,98,3,1
3.714,296.80857143,395.20942052,1,0,53E,53,E,3,1,90,21,U,9,9999999999,1,0,0,C,40,U,21,1,1,1,U,0,0,0,0,0,U,210,210,6,U,U,U,U,0,0,U,0,1,U,4,N,N,1,U
