PSU,CASEID,CASENO,STRATIF,AOPSCASE,VERSION,VEHFORMS,MONTH,YEAR,TIME,EVENTS,ATREAT,AAIS,ALCDRUG,AINJSER,AINJURED,DAYWEEK,PSUWGT,NATWGT
2,17C,17,C,0,2,1,1,89,724,2,4,2,2,0,2,1,1.53,37.5156
2,18C,18,C,0,2,1,1,89,400,1,4,1,2,0,1,5,1.53,37.5156
2,19D,19,D,0,2,1,2,89,1915,1,4,2,1,0,1,2,2.31,56.6412
2,20F,20,F,0,2,2,2,89,730,1,4,0,2,0,0,2,16.3,399.676
2,21G,21,G,0,2,2,2,89,1155,1,0,1,2,0,1,5,39,956.28
2,22D,22,D,0,2,1,2,89,1855,1,4,1,2,0,3,7,2.31,56.6412
2,23E,23,E,0,2,2,2,89,1445,2,4,1,2,0,2,6,12.8,313.856
2,24H,24,H,0,2,1,2,89,415,1,U,U,U,0,0,1,55,1348.6
2,25C,25,C,0,2,2,2,89,1630,2,3,2,2,0,3,1,1.53,37.5156
2,26E,26,E,0,2,1,2,89,1705,1,4,1,2,0,1,7,12.8,313.856
2,27C,27,C,0,2,1,3,89,2215,2,3,3,1,1,2,1,1.53,37.5156
2,28F,28,F,0,2,1,2,89,1535,2,4,1,2,0,1,3,16.3,399.676
2,29D,29,D,0,2,1,3,89,1445,3,3,3,2,1,3,6,11.76,288.3552
2,30C,30,C,0,2,2,3,89,1630,1,4,1,2,0,2,7,4.15,101.758
2,31F,31,F,0,2,2,3,89,1110,2,4,1,2,0,1,3,92.4,2265.648
2,32D,32,D,0,2,1,3,89,1400,1,3,2,2,0,1,1,5.88,144.1776
2,33E,33,E,0,2,2,4,89,1140,1,4,1,2,0,1,4,32.5,796.9
2,34G,34,G,0,2,1,5,89,1915,2,0,0,2,0,0,6,127,3114.04
2,35G,35,G,0,2,1,5,89,200,2,0,0,2,0,0,2,98,2402.96
2,36C,36,C,0,2,1,5,89,2309,2,4,1,1,0,1,3,3.6,88.272
2,37D,37,D,0,2,1,6,89,1700,1,3,3,1,1,3,1,5.88,144.1776
2,38B,38,B,0,2,2,6,89,930,1,1,3,U,1,1,6,1.86,45.6072
2,39C,39,C,0,2,1,5,89,510,1,3,3,2,1,3,1,3.6,88.272
2,40F,40,F,0,2,3,5,89,1500,2,4,2,1,0,3,1,35.9,880.268
2,41C,41,C,0,2,1,5,89,1600,1,3,1,2,0,4,7,3.6,88.272
2,42E,42,E,0,2,2,5,89,1915,2,4,2,2,0,1,6,27.1,664.492
2,43D,43,D,0,2,1,6,89,30,1,3,3,2,1,2,1,5.88,144.1776
2,44F,44,F,0,2,2,6,89,1535,1,4,1,1,0,1,3,35.9,880.268
2,45H,45,H,0,2,1,6,89,1710,2,0,0,2,0,0,6,143,3506.36
2,46E,46,E,0,2,1,6,89,1643,2,4,7,2,0,2,6,27.1,664.492
2,47C,47,C,0,2,1,7,89,1450,1,3,3,2,1,2,6,3.6,88.272
2,48F,48,F,0,2,1,7,89,2215,1,4,2,2,0,1,1,35.9,880.268
2,49C,49,C,0,2,1,6,89,1515,3,0,7,2,0,1,3,3.6,88.272
2,50D,50,D,0,2,1,7,89,138,2,4,1,2,0,3,7,5.88,144.1776
2,51C,51,C,0,2,1,7,89,1843,2,3,3,1,1,1,3,3.6,88.272
2,52D,52,D,0,2,2,7,89,2248,3,3,2,1,0,2,1,5.88,144.1776
2,53G,53,G,0,2,1,7,89,908,2,4,1,2,0,1,2,98,2402.96
2,54E,54,E,0,2,1,8,89,1450,5,4,1,2,0,1,2,27.1,664.492
2,55C,55,C,0,2,1,8,89,1600,3,4,1,2,0,1,6,3.6,88.272
2,56F,56,F,0,2,1,8,89,935,2,3,2,1,0,5,1,35.9,880.268
2,57C,57,C,0,2,1,8,89,1033,3,4,0,2,0,0,5,3.6,88.272
2,58D,58,D,0,2,2,7,89,1155,3,1,4,2,1,4,2,5.88,144.1776
2,59E,59,E,0,2,2,8,89,1240,1,4,7,2,0,1,1,27.1,664.492
2,60G,60,G,0,2,1,8,89,100,2,0,1,2,0,1,2,98,2402.96
2,61H,61,H,0,2,1,8,89,955,1,0,0,2,0,0,2,143,3506.36
2,62C,62,C,0,2,1,9,89,3,1,3,4,1,1,2,4,1.53,37.5156
2,63G,63,G,0,2,3,9,89,1540,2,0,0,2,0,0,2,39,956.28
2,64D,64,D,0,2,2,9,89,1510,2,3,5,2,2,6,5,2.31,56.6412
2,65D,65,D,0,2,2,9,89,1641,2,3,3,2,2,4,1,2.31,56.6412
2,66E,66,E,0,2,2,9,89,812,1,4,1,2,0,1,6,11.1,272.172
2,67F,67,F,0,2,3,9,89,1525,3,4,1,2,0,1,5,14.1,345.732
2,68B,68,B,0,2,1,9,89,1830,1,1,7,1,1,1,6,1,24.52
2,69E,69,E,0,2,4,10,89,1522,3,3,2,2,0,2,2,11.1,272.172
2,70G,70,G,0,2,1,10,89,100,2,0,0,U,0,0,3,39,956.28
2,71E,71,E,0,2,2,10,89,945,2,4,2,2,0,1,1,11.1,272.172
2,72H,72,H,0,2,1,9,89,1900,1,0,1,2,0,1,6,55,1348.6
2,73F,73,F,0,2,2,11,89,1327,1,3,3,2,1,3,4,14.1,345.732
2,74G,74,G,0,2,1,10,89,5,2,0,0,2,0,0,6,39,956.28
2,75D,75,D,0,2,2,10,89,2210,1,4,1,1,0,1,6,2.31,56.6412
2,76E,76,E,0,2,2,11,89,1808,1,4,1,2,0,1,5,11.1,272.172
2,77D,77,D,0,2,1,11,89,120,1,4,1,2,0,4,3,2.31,56.6412
2,78H,78,H,0,2,2,10,89,1615,2,0,0,2,0,0,4,55,1348.6
2,79B,79,B,0,2,2,11,89,1827,1,1,4,U,2,4,2,1.25,30.65
2,80D,80,D,0,2,2,10,89,1115,1,3,3,2,1,2,2,2.8875,70.8015
2,81E,81,E,0,2,2,11,89,1630,1,4,1,2,0,1,3,13.875,340.215
2,82G,82,G,0,2,1,11,89,1310,1,0,0,2,0,0,2,48.75,1195.35
2,83F,83,F,0,2,2,11,89,1030,1,4,1,2,0,1,5,14.1,345.732
2,84D,84,D,0,2,1,11,89,2245,1,3,3,2,1,1,3,2.31,56.6412
2,85H,85,H,0,2,1,11,89,2041,1,U,U,U,0,0,5,55,1348.6
2,86C,86,C,0,2,1,11,89,2230,3,3,5,1,1,2,7,1.53,37.5156
2,87D,87,D,0,2,1,11,89,310,2,4,2,1,0,1,2,2.31,56.6412
2,88G,88,G,0,2,1,11,89,137,3,U,7,1,0,1,3,39,956.28
2,89B,89,B,0,2,1,11,89,1945,1,1,2,1,1,1,1,1,24.52
2,90C,90,C,0,2,1,11,89,2228,1,4,1,2,0,1,2,1.53,37.5156
2,91F,91,F,0,2,2,11,89,1520,3,4,1,2,0,1,3,14.1,345.732
2,94E,94,E,1,2,1,12,89,208,2,4,1,2,0,2,1,11.1,272.172
2,95G,95,G,0,2,1,11,89,1230,1,0,0,2,0,0,7,39,956.28
2,96C,96,C,0,2,1,12,89,1810,1,4,2,2,0,1,6,1.53,37.5156
2,97A,97,A,0,2,2,12,89,1708,1,1,4,1,2,2,3,1,24.52
2,98E,98,E,0,2,1,12,89,2100,1,4,1,2,0,1,6,11.1,272.172
2,99F,99,F,0,2,1,12,89,820,8,3,1,2,0,2,5,14.1,345.732
2,100H,100,H,0,2,1,12,89,1315,2,0,0,2,0,0,2,55,1348.6
2,101D,101,D,0,2,1,12,89,614,2,4,1,2,0,1,2,2.31,56.6412
2,102E,102,E,0,2,1,12,89,1345,1,3,2,2,0,2,1,11.1,272.172
2,103G,103,G,0,2,2,12,89,1600,2,U,7,2,0,1,7,39,956.28
2,104D,104,D,0,2,1,12,89,1551,1,U,7,2,0,1,1,2.31,56.6412
2,105G,105,G,0,2,2,12,89,1645,1,0,1,2,0,1,6,39,956.28
2,106H,106,H,0,2,1,12,89,351,3,0,0,1,0,0,7,55,1348.6
3,1C,1,C,0,2,3,1,89,800,3,4,2,2,0,3,7,19.82,50.46172
3,2E,2,E,0,2,3,1,89,2040,2,4,1,2,0,3,7,90.3,229.9038
3,3G,3,G,0,2,2,2,89,1045,1,0,0,2,0,0,6,560,1425.76
3,4C,4,C,0,2,2,2,89,2119,1,4,1,U,0,2,6,9.91,25.23086
3,5F,5,F,0,2,2,2,89,1630,4,4,1,2,0,2,3,111,282.606
3,6H,6,H,0,2,2,3,89,5,2,4,0,2,0,0,6,684,1741.464
3,7G,7,G,0,2,2,4,89,1340,1,0,0,2,0,0,2,280,712.88
3,8B,8,B,0,2,2,4,89,1150,1,3,7,2,0,1,4,5.33,13.57018
3,9D,9,D,0,2,2,5,89,1820,1,4,1,2,0,2,2,14.14,36.00044
3,10H,10,H,0,2,2,5,89,2145,1,0,1,U,0,1,7,684,1741.464
3,11D,11,D,0,2,1,6,89,450,2,U,7,2,0,1,2,14.14,36.00044
3,12F,12,F,0,2,2,6,89,950,3,U,7,2,0,2,5,111,282.606
3,13E,13,E,0,2,2,6,89,115,1,4,2,2,0,7,1,90.3,229.9038
3,14G,14,G,0,2,3,6,89,30,2,0,0,2,0,0,6,280,712.88
3,15E,15,E,0,2,2,6,89,2400,1,U,7,2,0,3,7,90.3,229.9038
3,16D,16,D,0,2,2,7,89,930,1,4,1,U,0,2,4,14.14,36.00044
3,17F,17,F,0,2,3,7,89,2200,2,U,1,U,0,2,1,222,565.212
3,18G,18,G,0,2,2,7,89,446,1,0,0,2,0,0,7,280,712.88
3,20E,20,E,0,2,2,8,89,1030,2,4,1,U,0,2,4,180.6,459.8076
3,21C,21,C,0,2,1,8,89,1905,2,U,2,2,0,2,6,9.91,25.23086
3,22B,22,B,0,2,5,8,89,1425,7,1,5,U,1,1,3,5.33,13.57018
3,23F,23,F,0,2,2,9,89,2005,1,U,7,1,0,1,1,222,565.212
3,24E,24,E,0,2,1,9,89,2310,3,4,1,2,0,1,7,90.3,229.9038
3,25E,25,E,0,2,2,9,89,2110,1,4,1,2,0,3,7,35.2,89.6192
3,26F,26,F,0,2,2,9,89,710,1,U,7,2,0,1,6,44.9,114.3154
3,27E,27,E,0,2,2,10,89,1325,1,4,1,U,0,2,2,35.2,89.6192
3,28H,28,H,0,2,1,10,89,250,1,0,0,U,0,0,3,175,445.55
3,29F,29,F,0,2,2,10,89,2300,1,4,1,2,0,2,6,44.9,114.3154
3,30C,30,C,0,2,2,10,89,330,2,U,2,U,0,1,1,4.85,12.3481
3,31E,31,E,0,2,3,10,89,1700,3,4,2,2,0,4,3,35.2,89.6192
3,32D,32,D,0,2,2,10,89,525,1,4,2,2,0,2,5,7.34,18.68764
3,33D,33,D,0,2,1,10,89,1354,1,2,1,2,0,1,7,7.34,18.68764
3,34C,34,C,0,2,2,11,89,1310,2,U,7,1,0,1,7,4.85,12.3481
3,35E,35,E,0,2,2,11,89,1015,2,4,0,2,0,0,7,35.2,89.6192
3,36E,36,E,0,2,2,11,89,2355,1,4,1,2,0,1,6,35.2,89.6192
3,37G,37,G,0,2,2,11,89,1745,1,0,0,2,0,0,7,125,318.25
3,38C,38,C,0,2,1,11,89,415,2,4,1,2,0,5,7,4.85,12.3481
3,39C,39,C,0,2,2,11,89,2125,1,4,1,2,0,1,1,4.85,12.3481
3,40F,40,F,0,2,2,11,89,2130,1,4,1,2,0,3,5,44.9,114.3154
3,41H,41,H,1,2,3,11,89,1030,3,U,U,U,0,0,3,175,445.55
3,42C,42,C,0,2,2,11,89,220,1,4,2,2,0,2,7,4.85,12.3481
3,43E,43,E,0,2,2,11,89,1200,2,4,1,2,0,1,1,35.2,89.6192
3,44E,44,E,0,2,2,11,89,1330,1,4,1,2,0,1,2,35.2,89.6192
3,45F,45,F,0,2,2,12,89,935,1,U,7,2,0,1,6,44.9,114.3154
3,46G,46,G,0,2,2,12,89,2030,1,0,0,2,0,0,7,125,318.25
3,47E,47,E,0,2,1,12,89,1420,1,U,7,2,0,1,3,35.2,89.6192
3,48F,48,F,0,2,2,12,89,2350,3,U,7,2,0,2,3,44.9,114.3154
3,49C,49,C,0,2,1,12,89,820,1,U,7,2,0,3,1,4.85,12.3481
3,50C,50,C,0,2,1,12,89,502,1,U,1,U,0,1,2,4.85,12.3481
3,51C,51,C,0,2,2,12,89,2150,1,3,3,U,1,1,3,4.85,12.3481
3,52C,52,C,0,2,1,12,89,1805,2,4,1,2,0,1,1,4.85,12.3481
4,1E,1,E,0,2,2,1,89,1355,1,3,2,2,0,1,3,22.9,315.3101
4,2F,2,F,0,2,2,1,89,1906,1,3,1,2,0,1,3,29.1,400.6779
4,3C,3,C,0,2,2,1,89,152,2,3,1,2,0,1,5,2.72,37.45168
4,4E,4,E,0,2,2,1,89,1610,1,6,1,2,0,1,5,22.9,315.3101
4,5A,5,A,0,2,3,1,89,629,2,1,5,U,3,3,2,1.06,14.59514
4,6C,6,C,0,2,2,1,89,1124,2,3,5,2,1,3,5,2.72,37.45168
4,7D,7,D,0,2,2,1,89,1604,2,4,3,2,1,2,5,4.11,56.59059
4,8G,8,G,0,2,2,1,89,2304,1,0,0,2,0,0,5,70,963.83
4,9E,9,E,0,2,1,1,89,53,3,3,2,1,0,1,5,22.9,315.3101
4,10B,10,B,0,2,2,1,89,1845,1,1,6,1,1,1,5,1.49,20.51581
4,11F,11,F,0,2,1,1,89,1506,5,4,1,2,0,1,4,29.1,400.6779
4,12H,12,H,0,2,1,1,89,550,9,0,1,2,0,1,5,98,1349.362
4,13C,13,C,0,2,2,1,89,315,1,4,1,1,0,6,1,2.72,37.45168
4,14D,14,D,0,2,1,2,89,528,2,4,1,2,0,1,2,4.11,56.59059
4,15E,15,E,0,2,2,1,89,1405,3,4,1,2,0,1,2,22.9,315.3101
4,16C,16,C,0,2,2,2,89,2047,3,4,1,2,0,1,4,2.72,37.45168
4,17G,17,G,0,2,2,2,89,1236,1,0,1,2,0,1,3,70,963.83
4,18B,18,B,0,2,2,2,89,1326,1,1,4,1,2,3,3,1.49,20.51581
4,19C,19,C,0,2,2,2,89,2054,3,4,1,2,0,3,6,2.72,37.45168
4,20D,20,D,0,2,2,2,89,1432,2,4,2,2,0,3,2,4.11,56.59059
4,21D,21,D,0,2,2,2,89,948,2,1,4,2,1,2,1,4.11,56.59059
4,22E,22,E,0,2,2,3,89,1608,1,4,1,2,0,1,1,22.9,315.3101
4,23E,23,E,0,2,4,3,89,2254,4,4,1,1,0,2,5,91.6,1261.2404
4,24B,24,B,0,2,2,3,89,2301,1,1,5,1,1,2,6,1.4,19.2766
4,25A,25,A,0,2,3,4,89,1336,2,1,4,U,1,6,7,1.57,21.61733
4,26E,26,E,0,2,2,4,89,1223,3,3,2,1,0,1,1,45.8,630.6202
4,27C,27,C,0,2,2,4,89,2133,1,3,3,1,1,6,7,11.46,157.79274
4,28C,28,C,0,2,1,4,89,19,3,3,3,2,1,2,4,11.46,157.79274
4,29C,29,C,0,2,1,5,89,1555,2,4,1,2,0,1,2,5.73,78.89637
4,30B,30,B,0,2,3,5,89,2333,2,1,6,U,4,4,7,1.49,20.51581
4,31D,31,D,0,2,2,5,89,1001,1,4,2,2,0,2,5,4.11,56.59059
4,32E,32,E,0,2,2,5,89,1049,2,4,2,2,0,2,6,19.7,271.2493
4,33C,33,C,0,2,2,5,89,2259,2,4,1,1,0,3,7,2.72,37.45168
4,34F,34,F,0,2,1,5,89,907,5,4,2,2,0,1,4,25.2,346.9788
4,35D,35,D,0,2,2,5,89,1550,1,4,1,2,0,5,5,4.11,56.59059
4,36G,36,G,0,2,2,5,89,1338,2,0,0,2,0,0,5,70,963.83
4,37H,37,H,0,2,2,5,89,1413,1,0,0,2,0,0,5,98,1349.362
4,38F,38,F,0,2,2,5,89,1317,3,4,1,2,0,1,5,25.2,346.9788
4,39E,39,E,0,2,2,6,89,1638,1,4,2,2,0,3,6,19.7,271.2493
4,40D,40,D,0,2,2,6,89,1215,2,3,4,2,2,2,2,4.11,56.59059
4,41A,41,A,0,2,2,6,89,116,2,1,4,1,1,5,7,1.06,14.59514
4,42C,42,C,0,2,2,6,89,2112,4,4,2,2,0,4,2,2.72,37.45168
4,43F,43,F,0,2,3,6,89,1724,2,4,1,2,0,2,6,25.2,346.9788
4,44C,44,C,0,2,2,6,89,2244,1,4,1,1,0,4,7,4.78,65.81582
4,45H,45,H,0,2,2,6,89,2206,1,0,0,2,0,0,6,202,2781.338
4,46E,46,E,0,2,2,6,89,2108,1,4,2,2,0,2,6,38.9,535.6141
4,47E,47,E,0,2,2,7,89,1716,1,4,0,2,0,0,2,38.9,535.6141
4,48F,48,F,0,2,2,7,89,1126,1,4,1,2,0,2,3,52.9,728.3801
4,49C,49,C,0,2,2,7,89,1356,1,3,3,2,1,1,5,4.78,65.81582
4,50E,50,E,1,2,2,7,89,1158,1,4,1,2,0,2,7,38.9,535.6141
4,51B,51,B,0,2,2,8,89,1251,2,1,4,U,1,2,1,1.49,20.51581
4,52G,52,G,0,2,2,8,89,2328,1,0,0,2,0,0,6,139,1913.891
4,53H,53,H,0,2,2,8,89,1549,1,0,1,2,0,1,6,202,2781.338
4,54B,54,B,0,2,2,8,89,1030,2,1,4,2,2,4,7,1.49,20.51581
4,55E,55,E,0,2,4,8,89,1222,3,4,1,2,0,3,7,38.9,535.6141
4,56F,56,F,0,2,2,9,89,1943,2,4,1,2,0,2,6,52.9,728.3801
4,58E,58,E,0,2,1,9,89,2202,2,4,2,U,0,2,2,38.9,535.6141
4,59D,59,D,0,2,2,9,89,2003,3,3,3,2,1,2,7,9.12,125.57328
4,60G,60,G,0,2,2,10,89,2100,1,0,0,2,0,0,2,139,1913.891
4,61E,61,E,0,2,1,10,89,1654,6,4,2,2,0,1,1,38.9,535.6141
4,62F,62,F,0,2,2,11,89,1212,6,4,1,2,0,1,3,52.9,728.3801
4,63A,63,A,1,2,2,11,89,751,2,1,6,2,2,3,2,1.06,14.59514
4,64E,64,E,0,2,2,11,89,1036,1,4,2,2,0,2,1,38.9,535.6141
