PSU,CASEID,CASENO,STRATIF,VERSION,VEHNO,ACCSEQ1,OBJCONT1,DOF1,GAD1,SHL1,SVL1,TDD1,EXTENT1,ACCSEQ2,OBJCONT2,DOF2,GAD2,SHL2,SVL2,TDD2,EXTENT2,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,SDVL,SDVC1,SDVC2,SDVC3,SDVC4,SDVC5,SDVC6,SDVD,DOCCDC,TOWRES,WHEELBAS,NATWGT,PSUWGT,RATWGT
50,40F,40,F,3,2,1,1,11,L,Y,A,W,2,,,,,,,,,84,0,0,0,3,5,7,39,,,,,,,,,0,1,1049,338.50955731,48.400,386.05989283
50,41C,41,C,3,1,1,2,12,F,R,E,W,4,2,42,12,F,Y,L,W,1,66,0,1,7,11,17,30,24,,,,,,,,,0,1,1049,66.582856521,9.520,95.001838739
50,41C,41,C,3,2,1,1,68,L,F,E,W,4,,,,,,,,,39,0,1,4,7,19,21,57,,,,,,,,,0,1,1049,66.582856521,9.520,95.001838739
50,42G,42,G,3,1,1,2,12,F,R,E,E,1,2,2,3,R,B,E,W,1,60,2,1,0,0,1,5,31,48,0,1,0,1,0,0,-72,0,0,1229,2098.2,300.000,2520.2895156
50,42G,42,G,3,2,1,1,U,9,9,9,9,U,2,1,9,L,P,E,W,2,38,0,3,4,4,2,0,18,,,,,,,,,1,1,1033,2098.2,300.000,2520.2895156
50,43C,43,C,3,1,2,3,9,L,P,E,W,4,1,2,12,F,R,E,S,9,73,0,17,12,10,8,0,-8,56,2,1,0,0,0,0,28,1,1,937,41.614285326,5.950,59.376149212
50,43C,43,C,3,2,1,1,6,B,L,M,S,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1368,41.614285326,5.950,59.376149212
50,43C,43,C,3,3,2,1,12,F,D,E,W,2,,,,,,,,,60,12,11,11,11,7,3,0,,,,,,,,,0,1,931,41.614285326,5.950,59.376149212
50,45C,45,C,3,1,1,2,12,F,R,E,W,1,,,,,,,,,62,0,0,0,0,6,7,22,,,,,,,,,0,1,1160,24.968571195,3.570,35.625689527
50,45C,45,C,3,2,2,31,0,L,D,A,O,3,1,1,6,B,L,E,W,1,,,,,,,,,60,7,4,4,4,4,3,-10,0,1,1079,24.968571195,3.570,35.625689527
