ACCSEQ,CASEID,CASENO,CLASS2,CLASS1,GADEV1,GADEV2,OBJCONT,RATWGT,PSU,STRATIF,VEHNUM,VERSION
1," 94F",94,15,3,F,L,2,158.41229387,3,F,1,8
1," 95D",95,5,3,R,F,2,32.816408566,3,D,1,8
1," 96F",96,9,2,F,L,2,189.55682326,3,F,1,8
1," 97F",97,0,1,F,0,70,111.3078742,3,F,1,8
1," 98H",98,3,78,F,L,2,430.42146843,3,H,1,8
1," 99D",99,0,1,F,0,56,61.715993474,3,D,1,8
2," 99D",99,21,1,L,F,2,61.715993474,3,D,1,8
1,100G,100,9,19,B,F,2,1224.8455664,3,G,1,8
2,100G,100,0,19,F,0,56,1224.8455664,3,G,1,8
1,101C,101,1,5,F,R,2,66.964901933,3,C,1,8
2,101C,101,0,1,F,0,50,66.964901933,3,C,2,8
3,101C,101,0,1,F,0,57,66.964901933,3,C,2,8
1,102E,102,3,1,B,F,2,226.70889076,3,E,1,8
1,"  1G",1,0,1,L,0,42,1468.2563327,4,G,1,8
2,"  1G",1,0,1,L,0,52,1468.2563327,4,G,1,8
1,"  2E",2,2,2,B,F,2,3116.6698042,4,E,1,8
1,"  3K",3,0,2,F,0,42,11.857278099,4,K,1,8
2,"  3K",3,0,2,F,0,41,11.857278099,4,K,1,8
3,"  3K",3,0,2,R,0,41,11.857278099,4,K,1,8
4,"  3K",3,0,2,R,0,41,11.857278099,4,K,1,8
1,"  4F",4,1,2,L,F,2,1000.935469,4,F,1,8
2,"  4F",4,0,1,L,0,70,1000.935469,4,F,2,8
1,"  5K",5,4,21,F,R,2,11.857278099,4,K,1,8
2,"  5K",5,0,4,F,0,52,11.857278099,4,K,2,8
1,"  6H",6,2,21,F,9,2,1463.2024661,4,H,1,8
1,"  7D",7,5,1,F,L,2,48.339751352,4,D,1,8
2,"  7D",7,0,5,F,0,51,48.339751352,4,D,2,8
1,"  8F",8,5,2,B,F,3,559.12604751,4,F,2,8
2,"  8F",8,9,2,F,B,4,559.12604751,4,F,2,8
3,"  8F",8,9,2,B,F,4,559.12604751,4,F,1,8
1,"  9K",9,0,5,F,0,42,11.857278099,4,K,1,8
2,"  9K",9,0,5,R,0,41,11.857278099,4,K,1,8
1," 10G",10,2,2,R,F,2,1269.9795831,4,G,1,8
1," 11K",11,3,3,F,L,2,24.663138445,4,K,1,8
1," 12H",12,3,1,F,R,2,2074.441837,4,H,1,8
1," 13J",13,1,14,F,F,2,42.107629342,4,J,1,8
1," 14C",14,0,3,F,0,50,74.614719195,4,C,1,8
2," 14C",14,0,3,F,0,51,74.614719195,4,C,1,8
1," 15K",15,4,60,F,L,2,11.857278099,4,K,1,8
1," 16D",16,3,31,F,F,2,54.984569998,4,D,1,8
1," 17A",17,21,20,B,F,2,12.326766157,4,A,1,8
2," 17A",17,0,20,F,0,42,12.326766157,4,A,1,8
1," 18D",18,2,2,B,F,2,72.334139313,4,D,1,8
1," 19F",19,3,1,L,F,2,112.84559259,4,F,1,8
1," 20H",20,5,3,R,F,2,352.68425975,4,H,1,8
1," 21E",21,1,1,L,F,2,423.25264582,4,E,1,8
2," 21E",21,1,1,L,R,2,423.25264582,4,E,1,8
1," 22G",22,20,4,B,F,2,1286.1606543,4,G,1,8
1," 23K",23,0,30,F,0,51,11.857278099,4,K,1,8
1," 24F",24,28,3,F,L,2,1087.7228912,4,F,1,8
2," 24F",24,28,3,R,L,2,1087.7228912,4,F,1,8
3," 24F",24,0,28,R,0,45,1087.7228912,4,F,2,8
1," 25J",25,5,2,L,F,2,42.107629342,4,J,1,8
1," 26D",26,30,5,F,F,2,180.63377455,4,D,1,8
1," 27E",27,21,30,R,F,2,224.84211571,4,E,1,8
2," 27E",27,21,30,R,L,2,224.84211571,4,E,1,8
1," 28H",28,9,9,F,L,2,999.07203772,4,H,1,8
1," 29A",29,0,1,F,0,52,20.54785631,4,A,1,8
2," 29A",29,0,1,T,N,31,20.54785631,4,A,1,8
1," 30K",30,0,4,F,0,51,24.706565726,4,K,1,8
2," 30K",30,0,4,F,0,68,24.706565726,4,K,1,8
3," 30K",30,0,4,R,0,51,24.706565726,4,K,1,8
4," 30K",30,0,4,T,N,31,24.706565726,4,K,1,8
1," 31J",31,0,14,F,0,51,16.195242055,4,J,1,8
1," 32F",32,0,5,R,0,51,648.98559086,4,F,1,8
1," 33K",33,0,1,L,0,51,110.50983188,4,K,1,8
1," 34D",34,4,4,R,F,2,234.1195846,4,D,1,8
1," 35D",35,3,14,B,F,2,108.99210028,4,D,1,8
2," 35D",35,0,14,T,N,31,108.99210028,4,D,1,8
1," 36J",36,60,2,F,F,2,18.608333121,4,J,1,8
1," 37J",37,1,3,F,F,2,150.93965595,4,J,1,8
1," 38K",38,4,4,F,F,2,65.527765252,4,K,1,8
1," 39J",39,0,2,F,0,41,16.195242055,4,J,1,8
