CASEID,CASENO,FAILLF,FAILLR,FAILRF,FAILRR,FAILTG,GLIMPBL,GLIMPLF,GLIMPLR,GLIMPOTH,GLIMPRF,GLIMPRR,GLIMPRUF,GLIMPWS,GLOCCBL,GLOCCLF,GLOCCLR,GLOCCOTH,GLOCCRF,GLOCCRR,GLOCCRUF,GLOCCWS,GLPREBL,GLPRELF,GLPRELR,GLPREOTH,GLPRERF,GLPRERR,GLPRERUF,GLPREWS,GLTYPBL,GLTYPLF,GLTYPLR,GLTYPOTH,GLTYPRF,GLTYPRR,GLTYPRUF,GLTYPWS,OPENLF,OPENLR,OPENRF,OPENRR,OPENTG,PASINTEG,PSU,STRATIF,VEHNO,VERSION,ADAPTEQ,BOLSTDEF,COLUMTYP,GLOVOPEN,CDRIR1,INLOC1,INCOMP1,INMAG1,CDRIR2,INLOC2,INCOMP2,INMAG2,CDRIR3,INLOC3,INCOMP3,INMAG3,CDRIR4,INLOC4,INCOMP4,INMAG4,CDRIR5,INLOC5,INCOMP5,INMAG5,CDRIR6,INLOC6,INCOMP6,INMAG6,CDRIR7,INLOC7,INCOMP7,INMAG7,CDRIR8,INLOC8,INCOMP8,INMAG8,CDRIR9,INLOC9,INCOMP9,INMAG9,CDRIR10,INLOC10,INCOMP10,INMAG10,ODOMETER,PANELDAM,RATWGT,RDEFLOC,RIMDEF,COLMTELE,COLMTILT,BOLSTYPE
" 58K",58,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,0,2,1,2,1,2,2,2,0,2,2,3,1,1,0,1,0,0,0,4,K,2,8,0,0,2,1,1,13,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,1,11.857278099,2,1,0,2,0
" 59C",59,0,0,0,0,0,1,1,1,1,1,1,0,2,1,1,1,1,2,1,0,1,1,2,2,1,3,2,0,1,2,2,2,2,2,2,0,1,1,1,3,3,0,6,4,C,2,8,0,0,2,1,3,13,7,3,3,23,11,3,2,23,20,3,3,23,18,2,3,13,11,2,3,13,18,1,,,,,,,,,,,,,,,,,51,0,49.590550961,0,0,0,2,0
" 60D",60,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,1,1,1,0,4,D,1,8,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,0,54.461268792,0,0,0,0,0
" 61D",61,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,4,0,0,4,0,0,1,2,2,0,0,2,0,0,1,1,0,1,0,0,0,4,D,1,8,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,0,54.461268792,0,0,0,0,0
" 62C",62,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,3,1,3,2,0,2,2,0,1,2,2,2,0,2,2,0,1,1,0,1,0,1,0,4,C,2,8,0,0,1,0,2,11,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,1,63.295324682,6,4,0,0,0
" 63E",63,0,0,0,0,0,1,1,6,0,1,6,0,1,1,2,1,0,1,1,0,1,1,3,2,0,2,2,0,1,2,2,2,0,2,2,0,1,3,3,1,3,0,6,4,E,1,8,0,1,2,1,3,21,11,2,3,11,7,2,3,23,11,2,3,11,11,2,,,,,,,,,,,,,,,,,,,,,,,,,47,1,565.52017296,0,0,0,1,2
" 64D",64,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,3,1,1,1,0,0,4,D,1,8,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,0,96.292955439,0,0,0,0,0
" 64D",64,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,3,2,3,3,2,3,0,1,1,1,1,1,1,0,4,D,3,8,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,0,96.292955439,0,0,0,0,0
" 65K",65,0,0,0,0,0,1,1,1,1,1,1,0,2,1,1,1,1,1,1,0,3,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,1,1,0,0,4,K,1,8,0,0,2,2,2,22,21,3,2,21,21,3,2,23,21,3,2,13,20,2,1,11,18,2,2,11,5,1,1,13,18,1,2,13,5,1,,,,,,,,,295,1,12.03661943,6,9,0,2,0
" 66K",66,0,0,0,0,0,1,1,1,0,1,1,0,2,1,1,1,0,1,1,0,1,1,4,1,0,2,1,0,1,2,2,2,0,2,2,0,1,1,0,1,0,0,0,4,K,1,8,0,0,1,1,3,11,10,1,2,11,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,1,11.857278099,0,0,0,0,0
" 66K",66,0,0,0,0,0,1,1,1,1,1,1,0,2,1,1,1,1,1,1,0,3,1,3,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,1,1,1,0,4,K,2,8,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,1,11.857278099,5,3,0,0,0
" 67D",67,0,0,0,0,0,1,1,1,0,1,1,1,2,1,1,1,0,1,1,1,1,1,3,2,0,4,2,3,1,2,2,2,0,2,2,3,1,1,0,1,0,0,6,4,D,1,8,0,0,1,0,2,11,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,1,20.603206424,5,8,0,0,0
" 67D",67,0,0,0,0,0,1,6,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,3,3,0,3,3,0,1,2,2,2,0,2,2,0,1,1,0,1,0,1,6,4,D,2,8,0,0,2,0,3,12,20,2,3,11,11,2,3,11,18,2,3,11,7,1,,,,,,,,,,,,,,,,,,,,,,,,,69,0,20.603206424,0,0,0,1,0
" 68G",68,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,2,2,0,2,2,0,1,2,2,2,0,2,2,0,1,1,1,1,1,0,0,4,G,1,8,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,1,509.35198126,0,0,0,2,2
" 68G",68,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,2,2,0,2,2,0,1,2,2,2,0,2,2,0,1,1,1,1,1,0,0,4,G,2,8,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,509.35198126,0,0,0,1,2
" 69K",69,0,0,0,0,0,1,6,6,1,1,1,0,2,1,1,1,1,1,1,0,1,1,2,2,1,4,2,0,1,2,2,2,2,2,2,0,1,3,3,1,1,1,6,4,K,1,8,0,1,2,1,3,21,11,3,3,11,11,3,3,11,7,3,3,21,18,2,3,11,18,2,3,11,14,1,,,,,,,,,,,,,,,,,114,0,11.857278099,0,0,0,2,2
" 70K",70,0,0,0,0,0,6,1,1,0,1,6,0,1,1,1,1,0,1,1,0,3,1,3,1,0,3,1,0,1,3,2,3,0,2,3,0,1,1,0,1,0,1,11,4,K,1,8,0,0,2,1,3,23,7,2,3,23,18,2,3,13,11,1,3,23,12,1,3,13,18,1,3,12,20,1,,,,,,,,,,,,,,,,,213,0,11.857278099,0,0,0,2,0
" 70K",70,0,0,0,0,0,1,1,1,0,1,1,0,2,1,1,1,0,1,1,0,1,1,2,1,0,2,1,0,1,2,2,2,0,2,2,0,1,1,0,1,0,0,0,4,K,2,8,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,1,11.857278099,0,0,0,3,0
" 71G",71,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,2,2,0,2,2,0,1,2,2,2,0,2,2,0,1,1,1,1,1,0,0,4,G,2,8,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,0,1547.7546392,0,0,0,1,0
" 72E",72,0,0,0,0,0,1,1,1,0,1,1,0,2,1,1,1,0,1,1,0,1,1,2,2,0,2,2,0,1,2,2,2,0,2,2,0,1,1,1,1,1,0,0,4,E,1,8,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0,261.73057677,0,0,0,1,2
" 72E",72,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,2,1,0,2,1,0,1,2,2,2,0,2,2,0,1,1,0,1,0,0,0,4,E,2,8,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,261.73057677,0,0,0,2,2
" 73H",73,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,2,1,0,2,1,0,1,2,2,2,0,2,2,0,1,1,0,1,0,0,0,4,H,1,8,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,1,1162.9836334,0,0,0,1,0
" 74J",74,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,1,1,0,0,4,J,1,8,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,0,16.195242055,0,0,0,1,2
" 76C",76,0,0,0,0,0,6,6,1,0,6,1,6,3,1,1,1,0,1,1,1,3,1,2,1,0,2,1,3,1,2,2,2,0,2,2,2,1,3,0,3,0,0,98,4,C,1,8,0,1,2,1,1,13,16,4,1,13,13,4,1,12,13,4,1,13,15,4,1,12,16,4,1,11,15,4,1,11,13,3,1,12,15,3,1,13,14,3,1,11,16,3,17,0,42.107629342,0,0,0,1,2
" 77F",77,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,2,2,0,2,2,0,1,2,2,2,0,2,2,0,1,1,1,1,3,0,0,4,F,2,8,0,0,2,1,1,21,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,0,156.78789676,0,0,0,3,0
" 78F",78,0,0,0,0,0,1,1,0,0,1,0,1,2,1,1,0,0,1,0,1,3,1,2,0,0,2,0,2,1,2,2,0,0,2,0,3,1,1,0,1,0,1,0,4,F,1,8,0,0,2,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,1,156.78789676,9,13,0,5,0
" 80K",80,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,4,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,1,1,0,0,4,K,1,8,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,1,11.857278099,8,5,0,0,0
" 81F",81,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,2,2,0,2,2,0,1,2,2,2,0,2,2,0,1,1,1,1,1,0,0,4,F,1,8,U,U,U,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,U,312.69804462,U,U,U,U,U
" 82F",82,0,0,0,0,0,1,1,1,0,1,1,0,2,1,1,1,0,2,1,0,1,1,2,1,0,2,1,0,1,2,2,3,0,2,3,0,1,1,0,1,0,1,0,4,F,1,8,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,0,312.69804462,0,0,0,3,0
" 84K",84,0,0,0,0,0,1,1,1,1,6,1,0,2,1,1,1,1,1,1,0,3,1,2,2,2,2,2,0,1,3,2,3,3,2,3,0,1,1,0,3,3,1,6,4,K,1,8,0,0,2,2,2,13,4,3,3,13,11,2,3,13,10,1,1,13,18,1,,,,,,,,,,,,,,,,,,,,,,,,,151,1,11.857278099,0,0,0,2,0
" 85E",85,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,2,2,2,0,1,2,2,2,2,2,2,0,1,1,0,1,1,1,0,4,E,1,8,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,218.5782801,0,0,0,0,2
" 85E",85,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,1,1,0,0,4,E,2,8,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,0,218.5782801,0,0,0,0,0
" 86F",86,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,2,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,1,1,1,0,4,F,1,8,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,0,310.75968248,0,0,0,0,0
" 86F",86,0,0,0,0,0,1,1,1,0,1,6,0,2,1,1,1,0,1,1,0,1,1,2,1,0,2,1,0,1,2,2,2,0,2,2,0,1,3,0,3,0,1,6,4,F,2,8,0,0,1,1,3,23,12,2,3,23,7,2,3,13,11,1,3,23,18,1,,,,,,,,,,,,,,,,,,,,,,,,,56,0,310.75968248,6,3,0,0,0
" 87G",87,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,1,1,0,0,4,G,1,8,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,0,664.2056146,0,0,0,0,0
" 88E",88,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,2,2,2,1,2,2,0,1,4,2,4,4,2,4,0,1,1,1,1,1,1,0,4,E,2,8,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,0,143.84956365,0,0,0,0,0
" 90F",90,0,0,0,0,0,1,1,1,1,1,1,0,2,1,1,1,1,1,1,0,3,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,3,3,0,0,4,F,1,8,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,1,155.17869045,9,98,0,1,0
" 91G",91,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,2,2,0,2,2,0,1,2,2,2,0,2,2,0,1,1,1,1,1,0,0,4,G,2,8,0,0,U,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,U,331.67287546,U,U,U,U,0
" 92K",92,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,1,2,2,1,2,2,2,1,2,2,2,2,2,2,3,1,3,3,1,1,0,1,4,K,1,8,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,1,110.50983188,5,11,0,5,0
" 93F",93,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,3,1,1,1,1,1,0,0,4,F,1,8,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,0,169.49696933,0,0,0,5,0
" 93F",93,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,3,1,4,3,1,3,2,0,1,2,2,2,2,2,2,0,1,3,1,1,1,0,0,4,F,2,8,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,1,169.49696933,5,9,0,1,0
" 94G",94,0,0,0,0,0,6,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,2,2,0,2,2,0,1,2,2,2,0,2,2,0,1,1,1,1,1,0,7,4,G,1,8,0,1,2,1,2,21,31,1,2,22,31,1,2,23,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0,362.27620582,0,0,0,2,2
" 95H",95,0,0,0,0,0,1,1,0,0,1,0,0,2,1,1,0,0,1,0,0,1,1,2,0,0,2,0,0,1,2,2,0,0,2,0,0,1,1,0,3,0,0,0,4,H,1,8,0,1,2,0,1,13,18,2,1,13,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,0,529.74078815,0,0,0,2,1
" 97E",97,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,2,2,1,2,2,2,2,2,2,3,1,1,1,1,1,0,0,4,E,1,8,0,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,0,134.26087894,0,0,3,0,1
" 98G",98,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,1,1,0,0,4,G,3,8,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,0,407.98577781,0,0,0,3,1
100E,100,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,2,0,1,2,0,2,1,2,2,0,2,2,0,3,1,1,0,1,0,0,0,4,E,2,8,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,0,111.72650524,0,0,0,0,0
101F,101,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,1,1,1,0,4,F,1,8,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,0,158.84512074,0,0,0,1,0
103G,103,0,0,0,0,0,1,1,1,1,1,1,0,1,1,2,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,3,1,1,1,0,0,4,G,2,8,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,0,339.50936044,0,0,0,0,0
104K,104,0,0,0,0,0,1,1,1,6,6,6,0,3,1,1,1,1,1,1,0,1,1,3,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,3,3,1,98,4,K,1,8,0,1,2,2,3,13,7,5,3,23,17,5,3,23,18,5,3,13,18,5,3,13,11,4,3,23,11,4,2,23,20,4,2,22,20,4,3,13,17,4,3,13,14,3,51,0,11.857278099,0,0,0,3,2
105K,105,0,0,2,0,0,1,6,2,0,1,6,1,2,1,1,1,0,8,1,1,1,1,2,1,0,2,1,2,1,2,2,3,0,2,3,3,1,1,0,2,0,1,13,4,K,2,8,0,0,1,2,3,23,10,3,1,23,27,2,2,21,20,2,1,13,4,2,3,13,11,2,3,13,7,2,3,23,7,2,1,22,18,1,3,23,18,1,1,13,13,1,126,1,11.857278099,5,1,0,0,0
106F,106,0,0,0,0,0,1,1,1,0,1,1,0,2,1,1,1,0,1,1,0,1,1,2,2,0,2,2,0,1,2,2,2,0,2,2,0,1,1,0,1,0,1,0,4,F,1,8,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,0,306.88295818,0,0,0,0,0
108K,108,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,3,3,3,3,0,0,4,K,1,8,0,0,2,1,1,23,21,2,1,22,21,2,1,21,21,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,0,14.721403623,0,0,0,3,0
110J,110,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,3,1,2,1,0,2,1,0,1,2,2,2,0,2,2,0,1,1,0,1,0,0,0,4,J,1,8,0,2,2,1,1,13,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,42.107629342,5,3,0,1,2
110J,110,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,3,1,1,2,1,0,1,3,2,3,3,2,3,0,1,1,1,1,1,1,0,4,J,2,8,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,0,42.107629342,0,0,0,4,2
112K,112,0,0,0,0,0,1,1,0,1,1,0,1,2,1,8,0,1,1,0,1,1,1,2,0,1,2,0,2,1,2,2,0,2,2,0,3,1,1,0,1,0,1,6,4,K,2,8,0,0,2,1,3,11,10,1,3,11,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305,0,17.644025053,0,0,0,3,0
113K,113,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,3,2,0,2,2,0,1,2,2,2,0,2,2,0,1,1,1,1,1,0,0,4,K,1,8,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,1,17.644025053,0,0,0,1,0
114K,114,0,0,0,0,0,2,1,0,1,6,0,0,2,1,1,0,1,1,0,0,3,1,2,0,2,2,0,0,1,2,2,0,2,2,0,0,1,1,0,1,0,0,6,4,K,2,8,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,1,11.857278099,5,10,0,0,0
115E,115,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,3,1,2,2,0,2,2,0,1,2,2,2,0,2,2,0,1,1,1,1,1,0,0,4,E,1,8,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,1,143.84956365,0,0,0,1,0
115E,115,0,0,0,0,0,1,1,1,0,1,1,0,2,1,1,1,0,1,1,0,1,1,3,1,0,2,1,0,1,2,2,2,0,2,2,0,1,1,0,1,0,1,0,4,E,2,8,0,0,1,0,2,21,21,4,2,22,21,3,2,23,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,1,143.84956365,0,0,0,0,0
116F,116,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,3,1,2,2,0,2,2,0,1,2,2,2,0,2,2,0,1,1,0,1,0,1,0,4,F,1,8,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,1,192.22700848,0,0,0,0,0
116F,116,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,1,1,0,0,4,F,2,8,0,0,1,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,1,192.22700848,0,0,0,0,0
117G,117,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,1,1,0,0,4,G,1,8,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,0,410.85850422,0,0,0,2,2
119E,119,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,4,2,4,4,2,4,3,1,1,1,1,1,0,0,4,E,1,8,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,0,90.827224148,0,0,0,2,0
120G,120,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,1,1,0,0,4,G,1,8,U,U,U,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,U,276.00158722,U,U,U,U,U
122K,122,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,1,2,2,1,2,2,0,1,1,1,1,1,0,0,4,K,1,8,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,0,11.857278099,0,0,0,0,0
122K,122,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,1,1,0,0,4,K,2,8,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,0,11.857278099,0,0,0,3,2
123D,123,0,0,0,0,0,1,6,1,1,1,1,0,2,1,1,1,1,1,1,0,3,1,2,2,2,3,2,0,1,3,2,3,3,2,3,0,1,1,0,1,1,1,6,4,D,1,8,0,0,2,1,2,11,10,3,2,11,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,1,12.003359765,6,4,0,2,0
125F,125,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,1,1,1,1,0,0,4,F,1,8,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,0,138.83793181,0,0,0,2,0
126J,126,0,0,0,0,0,1,6,1,1,6,6,0,2,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,0,1,3,3,3,3,0,6,4,J,1,8,0,2,2,1,1,12,13,2,1,13,13,2,1,13,17,2,1,23,13,2,1,13,6,2,1,22,13,1,3,13,7,1,1,11,13,1,,,,,,,,,75,1,65.84418586,5,4,0,2,2
127K,127,0,0,0,0,0,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0,U,0,U,0,4,K,1,8,U,U,U,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,U,48.207542701,U,U,U,U,U
127K,127,0,0,0,0,0,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0,U,4,K,2,8,U,U,U,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,U,48.207542701,U,U,U,U,U
128F,128,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,3,1,2,1,0,2,1,0,1,2,2,2,0,2,2,0,1,1,0,3,0,0,0,4,F,1,8,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,0,234.44124451,0,0,0,0,0
129H,129,0,0,0,0,0,1,1,1,0,6,1,0,2,1,1,1,0,1,1,0,1,1,2,1,0,2,1,0,1,2,2,2,0,2,2,0,1,1,0,3,0,0,6,4,H,1,8,0,0,1,1,3,13,11,3,3,23,11,2,3,13,10,1,3,12,20,1,,,,,,,,,,,,,,,,,,,,,,,,,197,0,732.71569473,0,0,0,0,0
130E,130,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,1,2,2,0,1,3,4,3,3,4,3,0,1,1,0,1,1,1,0,4,E,1,8,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,0,173.69603293,0,0,0,4,2
131F,131,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,2,1,0,2,1,0,1,2,2,2,0,2,2,0,1,1,0,1,0,0,0,4,F,1,8,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,1,246.94916629,0,0,0,2,0
501G,501,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,U,U,U,U,U,0,1,U,U,U,U,U,U,0,1,1,0,1,1,1,98,4,G,1,8,0,0,1,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,U,0,0,0,0,0,0
