PSU,CASENO,RATWGT,CASEID,STRATIF,VERSION,VEHNO,PASINTEG,OPENLF,OPENRF,OPENLR,OPENRR,OPENTG,FAILLF,FAILRF,FAILLR,FAILRR,FAILTG,GLIMPWS,GLIMPLF,GLIMPRF,GLIMPLR,GLIMPRR,GLIMPBL,GLIMPRUF,GLIMPOTH,GLOCCWS,GLOCCLF,GLOCCRF,GLOCCLR,GLOCCRR,GLOCCBL,GLOCCRUF,GLOCCOTH,GLTYPWS,GLTYPLF,GLTYPRF,GLTYPLR,GLTYPRR,GLTYPBL,GLTYPRUF,GLTYPOTH,GLPREWS,GLPRELF,GLPRERF,GLPRELR,GLPRERR,GLPREBL,GLPRERUF,GLPREOTH,INLOC1,INCOMP1,INMAG1,CDRIR1,INLOC2,INCOMP2,INMAG2,CDRIR2,INLOC3,INCOMP3,INMAG3,CDRIR3,INLOC4,INCOMP4,INMAG4,CDRIR4,INLOC5,INCOMP5,INMAG5,CDRIR5,INLOC6,INCOMP6,INMAG6,CDRIR6,INLOC7,INCOMP7,INMAG7,CDRIR7,INLOC8,INCOMP8,INMAG8,CDRIR8,INLOC9,INCOMP9,INMAG9,CDRIR9,INLOC10,INCOMP10,INMAG10,CDRIR10,COLUMTYP,RIMDEF,RDEFLOC,ODOMETER,PANELDAM,BOLSTDEF,GLOVOPEN
49,67,660.82848656," 67H",H,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,186,0,8,0
49,67,660.82848656," 67H",H,7,2,6,3,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,U,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,21,7,3,3,21,28,3,3,11,10,2,3,21,24,2,3,11,19,2,3,11,24,1,3,,,,,,,,,,,,,,,,,1,0,0,141,0,8,0
49,68,10.604829029," 68B",B,7,1,98,1,1,0,1,1,0,0,0,0,0,2,0,6,6,6,0,8,6,U,U,U,U,U,0,0,0,1,2,2,2,2,0,0,2,1,2,2,1,1,0,0,1,31,8,1,3,21,10,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,109,0,8,8
49,69,8.8426937469," 69K",K,7,1,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,234,1,8,0
49,69,8.8426937469," 69K",K,7,2,13,3,1,0,0,0,0,0,0,0,0,2,6,0,6,0,0,8,8,0,U,0,0,0,0,0,0,1,2,0,2,0,0,0,0,1,2,0,1,0,0,0,0,21,10,4,3,11,10,4,3,11,17,3,3,11,2,3,1,21,7,3,3,21,17,3,3,11,6,3,3,12,19,3,3,12,1,3,3,12,3,3,1,1,0,0,181,U,8,U
49,70,16.712691182," 70D",D,7,1,6,1,3,1,3,0,0,0,0,0,0,2,0,6,0,0,0,8,0,0,0,U,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,13,10,2,3,13,27,2,3,13,24,2,3,13,17,1,3,13,4,1,3,13,7,1,3,,,,,,,,,,,,,,,,,2,0,0,216,0,8,0
49,71,261.92438297," 71E",E,7,1,11,1,1,1,3,0,0,0,0,0,0,0,0,0,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,2,1,0,1,23,10,4,3,23,20,4,3,23,24,3,3,23,8,3,3,23,13,2,3,23,12,2,3,23,18,2,3,,,,,,,,,,,,,2,0,0,U,0,0,0
49,72,389.12740633," 72G",G,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,271,0,8,0
49,73,415.85988," 73H",H,7,2,7,1,1,0,0,0,0,0,0,0,0,0,0,0,8,8,2,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,135,0,8,0
49,74,11.569190986," 74D",D,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,13,0,8,0
49,75,181.31449791," 75E",E,7,1,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,424,0,8,0
49,75,181.31449791," 75E",E,7,2,0,1,3,0,0,0,0,0,0,0,0,2,0,0,8,8,0,8,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,58,0,8,0
49,76,125.46567435," 76F",F,7,1,6,1,3,1,1,1,0,0,0,0,0,2,0,6,0,0,0,8,6,U,0,U,0,0,0,0,U,1,0,2,0,0,0,0,2,1,0,2,0,0,0,0,1,13,5,2,2,13,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,376,0,8,0
49,77,125.46567435," 77F",F,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,192,0,8,0
49,78,125.46567435," 78F",F,7,1,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,396,0,8,0
49,78,125.46567435," 78F",F,7,2,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,148,0,8,0
49,79,287.87478466," 79H",H,7,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,185,0,8,0
