PSU,CASENO,RATWGT,CASEID,STRATIF,VERSION,ACCSEQ,VEHNUM,CLASS1,GADEV1,OBJCONT,CLASS2,GADEV2
3,38,102.99810259," 38F",F,7,1,1,1,B,2,1,F
3,38,102.99810259," 38F",F,7,2,2,1,B,3,1,F
3,39,15.637957722," 39D",D,7,1,1,5,F,52,0,0
3,40,68.980209403," 40F",F,7,1,1,1,F,2,11,L
3,41,64.736016659," 41D",D,7,1,1,2,F,2,2,L
3,41,64.736016659," 41D",D,7,2,1,2,R,2,2,L
3,42,285.55544557," 42F",F,7,1,1,4,R,2,3,F
3,43,49.613149604," 43E",E,7,1,1,3,F,2,25,F
3,43,49.613149604," 43E",E,7,2,2,25,R,31,0,N
3,44,67.531845247," 44F",F,7,1,1,1,F,2,1,L
3,44,67.531845247," 44F",F,7,2,2,1,R,52,0,0
3,45,37.643142777," 45D",D,7,1,1,2,F,2,11,F
3,46,37.643142777," 46D",D,7,1,1,2,F,2,3,L
3,46,37.643142777," 46D",D,7,2,2,3,B,57,0,0
3,47,36.375480424," 47E",E,7,1,1,11,F,2,2,B
3,47,36.375480424," 47E",E,7,2,2,2,F,3,3,B
3,48,296.56151582," 48H",H,7,1,1,3,B,2,2,F
3,49,74.212671574," 49E",E,7,1,1,1,F,64,0,0
3,49,74.212671574," 49E",E,7,2,1,1,F,64,0,0
3,49,74.212671574," 49E",E,7,3,2,13,B,3,11,F
3,49,74.212671574," 49E",E,7,4,2,13,F,64,0,0
3,49,74.212671574," 49E",E,7,5,1,1,R,2,13,F
3,50,101.01593412," 50F",F,7,1,1,13,F,2,1,R
3,50,101.01593412," 50F",F,7,2,2,1,L,71,0,0
3,51,26.831347969," 51C",C,7,1,1,19,F,2,1,R
3,52,145.2743007," 52E",E,7,1,1,3,F,2,19,R
3,53,29.161968889," 53D",D,7,1,1,1,F,2,11,R
3,53,29.161968889," 53D",D,7,2,2,11,T,31,0,N
3,53,29.161968889," 53D",D,7,3,2,11,R,50,0,0
3,53,29.161968889," 53D",D,7,4,2,11,R,71,0,0
3,54,128.63564132," 54F",F,7,1,1,1,U,54,0,0
3,54,128.63564132," 54F",F,7,2,1,1,R,50,0,0
3,55,19.014380963," 55C",C,7,1,1,3,F,2,3,L
3,55,19.014380963," 55C",C,7,2,1,3,F,52,0,0
3,56,140.13296504," 56F",F,7,1,1,1,L,2,20,R
3,57,23.793323194," 57D",D,7,1,1,14,R,2,2,F
3,58,104.95414079," 58F",F,7,1,1,1,L,2,2,F
3,58,104.95414079," 58F",F,7,2,1,1,L,2,2,R
3,58,104.95414079," 58F",F,7,3,2,2,L,68,0,0
3,58,104.95414079," 58F",F,7,4,1,1,R,68,0,0
3,58,104.95414079," 58F",F,7,5,2,2,B,57,0,0
3,58,104.95414079," 58F",F,7,6,1,1,R,68,0,0
3,59,84.238965032," 59E",E,7,1,1,2,F,71,0,0
