PSU,CASENO,RATWGT,AOPSVEH,CASEID,STRATIF,VERSION,VEHNO,MODELYR,MAKE,MODEL,BODYTYPE,VIN,TOWPAR,TRAVELSP,DRINKING,ALCTEST,SPLIMIT,MANEUVER,ACCTYPE,DRPRES,OCUPANTS,OCCFORMS,CURBWGT,CARGOWGT,TOWHITCH,DOCTRAJ,CONDTREE,ROLLOVER,FOVERIDE,ROVERIDE,ANGTHIS,ANGOTHER,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,DVCONFID,INSPTYPE,VINLNGTH,VINJSER,VINJURED,DRIVE,VTREAT,OTVEHWGT,OTBDYTYP,VAIS,DRUGS,EVALCLAS,SPECTEST,OBSNARC,SPECNARC,OBSDEPR,SPECDEPR,OBSSTIM,SPECSTIM,OBSHLUC,SPECHLUC,OBSCNAB,SPECCNAB,OBSPCP,SPECPCP,OBSINHL,SPECINHL,OBSOTH,SPECOTH,DRZIP,DRRACE,VEHUSE,ROLINTYP,ROLINLOC,ROLLOBJ,TRIPLOC,ROLINDIR,PREMOVE,PREEVENT,PRESTAB,CONSEQ
73,96,24.325933313,0," 96K",K,7,1,78,22,9,2,2T87U8N100,1,U,U,D,56,1,68,1,2,2,158,0,0,0,0,0,0,0,280,180,6,U,U,U,U,0,1,13,1,2,1,3,146,14,5,1,0,1,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,46320,U,0,0,0,0,0,0,10,15,0,0
73,96,24.325933313,0," 96K",K,7,2,88,20,401,14,1GNCT18R9J,1,U,0,0,56,1,69,1,2,2,146,0,0,0,0,0,0,0,180,280,6,U,U,U,U,0,2,17,0,1,8,4,158,2,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,46312,3,0,0,0,0,0,0,1,62,0,0
73,97,77.805686837,0," 97D",D,7,1,83,7,8,3,9999999999,1,U,0,C,89,3,20,1,2,2,101,U,0,0,0,0,U,0,270,270,4,U,U,U,U,0,2,U,1,1,2,4,N,68,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46409,U,0,0,0,0,0,0,13,50,2,1
73,97,77.805686837,," 97D",D,7,2,79,87,899,68,9999999999,0,0,0,C,89,1,21,,,,,,,,,,,,,,,,,,,,,U,N,N,8,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40342,U,0,,,,,,4,52,0,0
73,98,740.40428774,," 98F",F,7,1,92,85,899,68,9999999999,0,U,0,C,89,1,45,,,,,,,,,,,,,,,,,,,,,U,N,N,8,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55320,U,0,,,,,,1,61,0,0
73,98,740.40428774,0," 98F",F,7,2,87,12,13,5,9999999999,1,U,0,C,89,U,47,1,1,1,101,U,0,0,0,0,0,0,170,180,4,U,U,U,U,0,0,U,0,0,2,U,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46307,U,0,0,0,0,0,0,15,10,U,U
73,99,1007.7986863,1," 99G",G,7,1,91,37,32,4,9999999999,1,U,0,C,72,4,20,1,2,2,124,U,0,0,0,0,U,0,270,270,3,30,-30,0,601,4,0,U,0,0,2,0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46383,U,0,0,0,0,0,0,1,50,2,1
73,99,1007.7986863,1," 99G",G,7,2,89,20,19,2,1G1LW14W7K,1,0,0,C,72,1,21,1,1,1,119,0,0,0,0,0,U,U,270,270,3,32,32,0,530,4,1,17,0,0,2,0,124,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46410,1,0,0,0,0,0,0,4,52,0,0
73,99,1007.7986863,0," 99G",G,7,3,89,7,442,20,9999999999,0,0,0,C,72,1,98,1,1,0,U,U,0,0,0,0,U,U,270,270,3,15,15,0,116,4,0,U,N,N,8,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46307,U,0,0,0,0,0,0,4,52,0,0
73,99,1007.7986863,0," 99G",G,7,4,84,14,6,2,1MEBP93F3E,0,0,0,C,72,1,98,1,1,0,176,0,0,0,0,0,0,U,270,270,6,U,U,U,U,0,2,17,N,N,1,N,U,20,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46304,U,0,0,0,0,0,0,4,52,0,0
73,100,47.175795223,1,100J,J,7,1,93,12,17,4,1FACP5247P,1,U,0,0,89,1,89,1,2,2,140,0,0,0,0,0,0,0,270,0,4,U,U,U,U,0,1,17,0,1,2,4,N,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46376,1,0,0,0,0,0,0,1,17,0,0
73,100,47.175795223,,100J,J,7,2,86,53,709,80,9999999999,1,U,0,0,89,U,88,,,,,,,,,,,,,,,,,,,,,U,N,N,8,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46383,U,0,,,,,,1,66,U,U
73,101,247.64853835,1,101E,E,7,1,91,22,16,4,1G2JB54K5M,1,U,0,C,89,4,28,1,2,2,113,0,0,0,0,0,U,0,90,90,4,U,U,U,U,0,1,17,0,1,2,4,N,79,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60073,1,0,0,0,0,0,0,1,51,2,1
73,101,247.64853835,,101E,E,7,2,92,7,899,79,9999999999,0,U,0,C,89,1,29,,,,,,,,,,,,,,,,,,,,,U,N,N,8,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49103,U,0,,,,,,2,52,0,0
73,102,581.60402676,0,102F,F,7,1,86,19,3,4,1G6CD6986G,1,U,0,C,64,6,7,1,1,1,151,0,0,0,0,2,0,0,997,997,5,U,U,U,U,0,1,17,0,0,2,4,998,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46307,1,0,1,3,61,1,2,9,12,3,4
73,103,1678.2568243,0,103H,H,7,1,83,20,9,2,9999999999,1,U,0,C,56,1,68,1,3,3,U,0,0,1,0,0,0,0,998,998,6,U,U,U,U,0,0,U,0,0,1,0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46323,1,0,0,0,0,0,0,10,15,0,0
73,103,1678.2568243,0,103H,H,7,2,87,12,3,2,1FABP40A6H,1,U,0,C,56,3,69,1,1,1,124,0,0,1,0,0,0,0,260,30,6,U,U,U,U,0,2,17,0,1,1,0,U,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46323,1,0,0,0,0,0,0,1,62,2,1
73,104,25.7246075,0,104B,B,7,1,86,20,471,30,1GCBS14E1G,1,U,0,0,64,1,88,1,1,1,117,0,0,0,0,2,0,0,270,180,1,50,-39,-32,1885,1,1,17,0,1,8,4,112,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46392,U,0,1,4,61,1,1,1,17,0,0
73,104,25.7246075,0,104B,B,7,2,84,20,16,6,1G1AD35PXE,1,U,0,0,64,1,89,1,3,3,112,0,0,0,0,4,0,0,180,270,1,51,-33,39,1470,1,1,17,3,3,2,1,117,30,5,0,0,2,0,1,0,1,0,2,0,1,0,1,0,1,0,1,0,1,46310,U,0,1,4,61,1,1,1,66,0,0
73,105,25.7246075,0,105B,B,7,1,82,18,10,4,9999999999,1,U,0,C,48,1,82,1,1,1,148,0,0,0,0,0,U,0,10,180,3,33,-33,-6,682,4,0,U,0,1,1,4,N,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46407,2,0,0,0,0,0,0,10,15,0,0
73,105,25.7246075,0,105B,B,7,2,89,21,17,4,2G3AJ51W6K,1,U,0,C,48,U,83,1,1,1,125,0,0,0,0,0,U,0,180,10,3,39,-37,-13,988,4,1,17,1,1,2,1,148,4,4,0,0,1,0,1,0,2,0,1,0,1,0,1,0,1,0,1,0,0,46410,U,0,0,0,0,0,0,1,67,U,U
73,106,198.38649007,1,106C,C,7,1,94,20,16,2,1G1JC1447R,1,U,0,C,48,1,3,1,1,1,114,0,0,0,0,U,0,0,997,997,5,U,U,U,U,0,1,17,0,1,2,4,998,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46307,U,0,U,U,U,U,U,1,13,0,0
73,107,7289.3422138,0,107H,H,7,1,84,18,3,2,9999999999,1,U,0,C,48,1,20,1,2,2,173,U,0,0,0,0,U,0,180,180,6,U,U,U,U,0,0,U,0,0,1,0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46324,1,0,0,0,0,0,0,1,50,0,0
73,107,7289.3422138,0,107H,H,7,2,92,7,472,30,1B7GG23YXN,0,0,0,C,48,1,21,1,2,0,176,0,0,0,0,0,0,U,180,180,6,U,U,U,U,0,2,17,N,N,8,N,173,2,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46319,1,0,0,0,0,0,0,4,52,0,0
