PSU,CASENO,RATWGT,CASEID,STRATIF,VERSION,VEHFORMS,MONTH,YEAR,TIME,EVENTS,ATREAT,AAIS,AINJSER,AINJURED,ALCINV,DAYWEEK,DRGINV,MANCOLL,PSUSTRAT,ADMINSS,PEDSTUDY,FIRESTDY
2,118,567.04489363,118H,H,7,1,9,94,1820,1,0,0,0,0,2,4,2,0,3,0,0,0
2,119,116.0722511,119C,C,7,1,9,94,1538,4,4,1,0,1,2,6,2,0,3,0,0,0
2,120,981.13379045,120G,G,7,1,8,94,1200,1,0,0,0,0,2,5,2,0,3,0,0,0
2,121,67.593642824,121F,F,7,2,9,94,845,2,4,1,0,1,2,3,2,U,3,0,0,0
2,122,262.74522934,122H,H,7,1,9,94,1719,2,0,0,0,0,2,3,2,0,3,0,0,0
2,123,136.94242691,123K,K,7,1,10,94,1600,2,3,3,1,1,U,2,2,0,3,0,0,0
2,124,228.72896638,124D,D,7,1,10,94,2219,2,4,1,0,1,2,3,2,0,3,0,0,0
2,125,498.23058642,125E,E,7,2,8,94,2015,3,4,1,0,3,2,1,2,4,3,0,0,0
2,126,514.84010212,126F,F,7,1,10,94,1052,1,4,0,0,0,2,1,2,0,3,0,0,0
2,127,216.14375737,127F,F,7,3,10,94,1711,2,3,2,0,4,2,4,2,1,3,0,0,0
2,128,479.85402837,128G,G,7,1,10,94,2255,2,0,0,0,0,2,2,2,0,3,0,0,0
2,129,154.35869454,129D,D,7,3,10,94,1340,3,4,1,0,4,2,7,2,1,3,0,0,0
2,130,489.52496516,130F,F,7,1,10,94,1650,3,4,2,0,1,2,4,2,0,3,0,0,0
2,131,538.56413338,131D,D,7,1,10,94,309,3,4,1,0,1,2,1,2,0,3,0,0,0
2,132,67.320516673,132K,K,7,1,10,94,200,1,3,3,1,1,2,6,2,0,3,0,0,0
2,133,126.40839407,133K,K,7,1,11,94,320,11,3,1,0,1,1,6,2,0,3,0,0,0
2,134,692.21601207,134G,G,7,1,11,94,1225,1,0,0,0,0,2,1,2,0,3,0,0,0
2,135,62.981787039,135B,B,7,2,11,94,1013,2,1,5,1,1,2,7,2,2,3,0,0,0
2,136,531.87770896,136F,F,7,2,11,94,1908,2,4,1,0,1,1,1,2,6,3,0,0,0
2,137,118.80048146,137K,K,7,2,11,94,230,2,3,2,0,3,1,6,2,4,3,0,0,0
2,138,144.24431412,138F,F,7,1,11,94,1930,5,4,1,0,1,2,6,2,0,3,0,0,0
2,139,29.15823474,139B,B,7,2,11,94,1904,1,1,5,1,3,2,1,2,6,3,0,0,0
2,140,1050.767425,140G,G,7,2,11,94,1830,1,U,7,0,1,2,4,2,4,3,0,0,0
2,141,398.06360803,141E,E,7,3,12,94,1500,2,4,2,0,2,2,4,2,1,3,0,0,0
2,142,1598.9078852,142H,H,7,2,11,94,U,1,0,0,0,0,2,1,2,6,3,0,0,0
2,143,239.79367553,143E,E,7,2,12,94,1235,1,4,0,0,0,2,2,2,4,3,0,0,0
2,144,550.10571292,144G,G,7,1,11,94,230,4,0,0,0,0,2,3,2,0,3,0,0,0
2,145,29.15823474,145B,B,7,1,12,94,130,1,1,4,1,2,1,7,2,0,3,0,0,0
2,146,685.59689779,146E,E,7,1,12,94,140,4,4,2,0,4,2,4,2,0,3,0,0,0
2,147,68.056037822,147J,J,7,2,12,94,800,4,3,3,1,2,2,3,2,2,3,0,0,0
2,148,365.5476082,148F,F,7,1,12,94,1930,1,4,0,0,0,2,7,2,0,3,0,0,0
2,501,0,501G,G,7,2,5,94,1443,2,0,0,0,0,2,4,2,1,3,0,0,1
3,1,27.919665629,"  1D",D,7,1,1,94,520,1,4,1,0,1,2,3,2,0,1,0,0,0
3,2,30.24517609,"  2D",D,7,2,1,94,1,1,U,7,0,4,2,7,2,4,1,0,0,0
3,3,34.471036516,"  3C",C,7,2,1,94,30,1,4,1,0,2,2,1,2,1,1,0,0,0
3,4,186.63824606,"  4E",E,7,1,1,94,1000,1,4,1,0,1,2,5,2,0,1,0,0,0
3,5,23.825480908,"  5D",D,7,1,1,94,1630,1,4,1,0,2,2,3,2,0,1,0,0,0
3,6,629.47775304,"  6H",H,7,1,1,94,900,1,0,0,0,0,1,1,2,0,1,0,0,0
3,7,30.073386198,"  7D",D,7,1,1,94,1130,2,4,1,0,1,2,6,2,0,1,0,0,0
3,8,132.65597173,"  8F",F,7,1,1,94,1132,1,4,1,0,2,2,7,2,0,1,0,0,0
3,9,52.147147185,"  9E",E,7,1,2,94,2230,1,4,1,0,3,2,6,2,0,1,0,0,0
3,10,70.981042362," 10F",F,7,2,2,94,1255,1,U,7,0,3,2,4,2,1,1,0,0,0
3,11,21.172993546," 11F",F,7,2,2,94,1520,3,4,1,0,1,2,4,U,5,1,0,0,0
3,12,21.172993546," 12F",F,7,2,2,94,1045,2,4,1,0,2,2,5,U,4,1,0,0,0
3,13,17.720592818," 13D",D,7,2,2,94,2230,1,4,1,0,5,2,5,2,4,1,0,0,0
3,14,78.166869685," 14F",F,7,3,2,94,1445,2,4,1,0,2,2,1,2,1,1,0,0,0
3,15,48.520199244," 15F",F,7,2,2,94,715,1,4,1,0,2,2,1,2,1,1,0,0,0
3,16,48.520199244," 16F",F,7,3,2,94,750,2,3,2,0,2,2,5,2,4,1,0,0,0
3,17,33.309453048," 17E",E,7,2,3,94,920,1,3,1,0,1,2,4,2,4,1,0,0,0
3,18,45.339770735," 18F",F,7,2,3,94,1355,3,4,2,0,1,2,7,2,4,1,0,0,0
3,19,23.231582239," 19C",C,7,4,3,94,700,3,4,1,0,3,2,7,2,1,1,0,0,0
3,20,38.814360564," 20D",D,7,1,3,94,305,1,4,1,0,2,1,2,2,0,1,0,0,0
3,21,24.304876678," 21C",C,7,1,3,94,1815,3,3,3,1,3,2,7,2,0,1,0,0,0
3,22,131.59510164," 22E",E,7,3,3,94,2300,3,4,1,0,3,2,6,2,U,1,0,0,0
3,23,22.02456919," 23C",C,7,2,3,94,100,1,U,7,0,4,U,2,2,4,1,0,0,0
3,24,36.797733406," 24D",D,7,2,3,94,1145,1,4,1,0,2,2,6,2,U,1,0,0,0
3,25,44.40281351," 25F",F,7,2,3,94,1400,1,U,7,0,1,2,5,2,4,1,0,0,0
3,26,44.40281351," 26F",F,7,2,4,94,1840,1,4,7,0,1,2,1,2,4,1,0,0,0
3,27,53.189704891," 27D",D,7,1,4,94,1400,3,4,1,0,1,2,1,2,0,1,0,0,0
3,28,234.62379466," 28F",F,7,2,4,94,1615,1,4,1,0,2,2,3,2,1,1,0,0,0
3,29,68.427740602," 29F",F,7,2,4,94,1215,1,U,7,0,1,2,7,2,4,1,0,0,0
3,30,68.427740602," 30F",F,7,2,4,94,850,3,4,1,0,2,2,4,2,4,1,0,0,0
3,31,66.070421771," 31E",E,7,3,4,94,1615,2,4,7,0,1,2,7,2,1,1,0,0,0
3,32,89.932962008," 32F",F,7,2,4,94,1635,1,4,1,0,4,2,5,2,4,1,0,0,0
3,33,42.45664478," 33D",D,7,1,4,94,130,1,4,7,0,1,2,7,2,0,1,0,0,0
3,34,187.27945808," 34F",F,7,2,5,94,1730,2,U,7,0,1,2,3,2,4,1,0,0,0
3,35,55.926267508," 35F",F,7,1,5,94,1500,2,4,1,0,2,2,4,2,0,1,0,0,0
3,36,55.926267508," 36F",F,7,2,5,94,135,1,4,1,0,1,2,1,2,1,1,0,0,0
3,37,13.975620659," 37C",C,7,1,5,94,1115,1,3,7,0,1,2,3,2,0,1,0,0,0
3,38,102.99810259," 38F",F,7,3,5,94,1645,2,4,1,0,1,2,6,2,1,1,0,0,0
3,39,15.637957722," 39D",D,7,1,5,94,1300,1,4,1,0,1,2,2,2,0,1,0,0,0
3,40,68.980209403," 40F",F,7,2,5,94,1705,1,U,7,0,2,2,5,2,4,1,0,0,0
3,41,64.736016659," 41D",D,7,2,5,94,820,2,4,1,0,3,2,7,2,4,1,0,0,0
