PSU,CASENO,RATWGT,CASEID,STRATIF,VERSION,VEHNO,ACCSEQ1,OBJCONT1,DOF1,GAD1,SHL1,SVL1,TDD1,EXTENT1,ACCSEQ2,OBJCONT2,DOF2,GAD2,SHL2,SVL2,TDD2,EXTENT2,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,SDVL,SDVC1,SDVC2,SDVC3,SDVC4,SDVC5,SDVC6,SDVD,DOCCDC,TOWRES,WHEELBAS,ALTVEH,FIRE,FIREORIG,FUELTNK1,FUELTNK2,FUELLOC1,FUELLOC2,FUELCAP1,FUELCAP2,FUELDAM1,FUELDAM2,FUELEAK1,FUELEAK2,FUELTYP1,FUELTYP2,FUELGT2
2,93,100.695158," 93C",C,7,1,2,2,46,B,D,E,W,2,3,54,12,F,L,L,S,1,168,48,45,42,44,56,56,0,,,,,,,,,0,1,315,0,0,0,1,0,5,0,4,0,1,0,1,0,1,0,0
2,98,413.95885205," 98E",E,7,1,1,2,6,B,D,E,W,4,,,,,,,,,148,1,17,41,49,42,39,0,,,,,,,,,0,1,254,0,0,0,1,0,4,0,3,0,1,0,1,0,1,0,0
2,98,413.95885205," 98E",E,7,2,1,1,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,1,255,0,0,0,1,0,1,0,3,0,1,0,U,0,1,0,0
2,99,158.18012886," 99E",E,7,1,1,2,6,B,Y,E,W,1,,,,,,,,,163,3,2,2,1,0,0,-50,,,,,,,,,0,0,272,0,0,0,1,0,1,0,2,0,1,0,1,0,1,0,0
2,99,158.18012886," 99E",E,7,2,1,1,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,1,278,0,0,0,1,0,U,0,U,0,1,0,1,0,1,0,0
2,101,260.81643674,101F,F,7,1,1,2,12,F,Y,E,W,1,2,3,6,B,Y,E,W,1,150,24,22,17,7,0,0,-25,158,3,1,1,0,1,0,-26,0,1,275,0,0,0,1,0,5,0,4,0,1,0,1,0,1,0,0
2,101,260.81643674,101F,F,7,2,1,1,6,B,Z,E,W,1,,,,,,,,,145,4,4,5,5,3,1,28,,,,,,,,,0,0,262,0,0,0,1,0,4,0,3,0,1,0,1,0,1,0,0
2,101,260.81643674,101F,F,7,3,2,1,12,F,Z,E,W,1,,,,,,,,,156,0,2,8,12,13,13,39,,,,,,,,,0,1,260,0,0,0,1,0,4,0,2,0,1,0,1,0,1,0,0
2,104,934.83050022,104H,H,7,2,1,1,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,U,237,0,0,0,1,0,1,0,3,0,1,0,1,0,1,0,0
2,105,126.40839407,105K,K,7,1,2,31,0,L,D,A,O,2,1,51,12,F,R,E,N,1,,,,,,,,,,,,,,,,,0,0,240,0,0,0,1,0,4,0,2,0,1,0,1,0,1,0,0
2,107,49.60352611,107C,C,7,2,1,1,83,R,F,E,W,3,2,1,4,R,P,E,W,1,148,0,2,10,19,33,37,190,72,0,1,2,1,1,0,-48,0,1,262,0,0,0,1,0,4,0,3,0,1,0,1,0,1,0,0
2,108,260.78976621,108E,E,7,1,1,3,12,L,Y,E,S,2,3,56,1,R,Y,L,S,1,,,,,,,,,,,,,,,,,0,1,287,0,0,0,2,0,4,0,3,0,1,0,1,0,1,0,0
2,108,260.78976621,108E,E,7,2,2,3,12,L,P,M,S,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,257,0,0,0,1,0,4,0,3,0,1,0,1,0,1,0,0
2,108,260.78976621,108E,E,7,3,1,1,12,F,L,E,E,5,2,2,U,9,9,9,9,U,140,10,2,1,0,0,0,-53,,,,,,,,,0,1,239,0,0,0,1,0,4,0,3,0,1,0,1,0,1,0,0
2,109,194.36461036,109D,D,7,1,1,31,0,T,D,D,O,3,,,,,,,,,,,,,,,,,,,,,,,,,0,1,260,0,0,0,1,0,4,0,2,0,2,0,1,0,1,0,0
2,111,116.0722511,111J,J,7,1,4,42,12,R,D,A,S,3,2,42,12,F,Y,E,N,2,,,,,,,,,158,0,8,25,16,0,0,-27,1,1,276,0,0,0,1,0,1,0,3,0,1,0,1,0,1,0,0
2,113,118.80048146,113K,K,7,1,2,31,U,9,9,9,9,U,1,88,1,F,D,L,W,1,,,,,,,,,152,24,4,2,2,4,11,0,0,1,271,0,0,0,1,0,5,0,4,0,3,0,2,0,1,0,0
2,114,176.97215355,114C,C,7,1,1,2,10,L,Y,E,W,2,,,,,,,,,246,0,3,6,15,12,6,138,,,,,,,,,0,1,273,0,0,0,1,0,4,0,2,0,1,0,1,0,1,0,0
2,114,176.97215355,114C,C,7,2,1,1,1,F,D,E,W,2,,,,,,,,,156,0,8,24,25,15,8,0,,,,,,,,,0,1,254,0,0,0,1,0,4,0,3,0,1,0,1,0,1,0,0
2,115,145.31518319,115C,C,7,1,1,56,2,R,D,A,W,3,,,,,,,,,,,,,,,,,,,,,,,,,0,1,246,0,0,0,1,0,4,0,2,0,1,0,1,0,1,0,0
2,116,815.5594307,116F,F,7,1,2,60,9,L,F,E,W,2,1,56,12,F,R,E,S,9,131,0,1,3,9,28,34,185,,,,,,,,,0,1,262,0,0,0,1,0,4,0,3,0,1,0,1,0,1,0,0
2,117,141.17131973,117E,E,7,1,1,2,12,F,Y,E,W,1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,250,0,0,0,1,0,4,0,2,0,1,0,1,0,1,0,0
2,117,141.17131973,117E,E,7,2,1,1,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,1,227,0,0,0,1,0,4,0,8,0,1,0,1,0,1,0,0
2,118,567.04489363,118H,H,7,1,1,56,2,F,Z,E,W,1,,,,,,,,,142,17,9,5,3,2,3,-59,,,,,,,,,0,1,240,0,0,0,1,0,4,0,2,0,1,0,1,0,1,0,0
2,119,116.0722511,119C,C,7,1,4,31,0,T,D,D,O,4,2,44,U,9,9,9,9,U,,,,,,,,,,,,,,,,,0,1,246,0,0,0,1,0,4,0,2,0,1,0,1,0,1,0,0
2,120,981.13379045,120G,G,7,1,1,56,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,U,284,0,0,0,1,0,4,0,2,0,1,0,1,0,1,0,0
2,121,67.593642824,121F,F,7,1,1,2,12,F,Z,E,W,1,,,,,,,,,150,0,1,5,8,9,11,43,,,,,,,,,0,0,247,0,0,0,1,0,6,0,3,0,1,0,1,0,1,0,0
2,122,262.74522934,122H,H,7,1,1,56,1,F,D,E,W,1,2,56,5,R,B,E,E,1,134,16,15,19,18,13,13,0,,,,,,,,,0,1,289,0,0,0,1,0,4,0,4,0,1,0,1,0,1,0,0
2,123,136.94242691,123K,K,7,1,1,44,U,9,9,9,9,U,2,31,0,T,Y,D,O,3,,,,,,,,,,,,,,,,,0,1,261,0,0,0,1,0,1,0,3,0,1,0,1,0,1,0,0
