PSU,CASEID,CASENO,STRATIF,VERSION,ACCSEQ,VEHNUM,CLASS1,GADEV1,OBJCONT,CLASS2,GADEV2,RATWGT
2,129E,129,E,6,4,1,5,L,31,0,N,215.8035919
2,130H,130,H,6,1,1,3,B,2,9,F,1051.107148
2,131B,131,B,6,1,1,2,R,2,2,F,65.311914853
2,131B,131,B,6,2,2,2,9,44,0,0,65.311914853
2,132E,132,E,6,1,1,4,R,2,2,F,2773.5588578
2,132E,132,E,6,2,1,4,9,3,U,9,2773.5588578
2,133F,133,F,6,1,1,2,F,71,0,0,132.89343668
2,134H,134,H,6,1,1,2,L,50,0,0,325.742602
2,134H,134,H,6,2,1,2,F,56,0,0,325.742602
2,135J,135,J,6,1,1,5,L,56,0,0,126.44933915
2,135J,135,J,6,2,1,5,R,56,0,0,126.44933915
2,135J,135,J,6,3,1,5,R,56,0,0,126.44933915
2,136K,136,K,6,1,1,4,L,2,3,F,104.69079253
2,137K,137,K,6,1,1,2,U,88,0,0,86.666117364
2,137K,137,K,6,2,1,2,L,43,0,0,86.666117364
2,137K,137,K,6,3,1,2,L,53,0,0,86.666117364
2,137K,137,K,6,4,1,2,L,42,0,0,86.666117364
2,138E,138,E,6,1,1,11,B,2,5,F,607.31911406
2,139E,139,E,6,1,1,2,R,56,0,0,63.084292815
2,140H,140,H,6,1,1,1,F,2,15,F,307.26249976
2,141K,141,K,6,1,1,1,F,50,0,0,73.212532358
2,141K,141,K,6,2,1,1,U,68,0,0,73.212532358
2,141K,141,K,6,3,1,1,L,42,0,0,73.212532358
2,141K,141,K,6,4,1,1,L,42,0,0,73.212532358
2,142D,142,D,6,1,1,3,R,56,0,0,513.28868413
2,142D,142,D,6,2,1,3,T,31,0,N,513.28868413
2,143F,143,F,6,1,1,1,T,31,0,N,354.12280942
2,144H,144,H,6,1,1,1,F,76,0,0,868.0104018
2,144H,144,H,6,2,1,1,F,44,0,0,868.0104018
2,144H,144,H,6,3,1,1,R,44,0,0,868.0104018
2,145J,145,J,6,1,1,2,F,56,0,0,88.428753952
2,146D,146,D,6,1,1,2,9,51,0,0,112.20289895
2,147A,147,A,6,1,1,5,F,2,2,F,64.328522349
2,147A,147,A,6,2,1,5,L,56,0,0,64.328522349
2,148E,148,E,6,1,1,2,F,50,0,0,229.14218469
2,148E,148,E,6,2,1,2,R,50,0,0,229.14218469
2,148E,148,E,6,3,1,2,F,51,0,0,229.14218469
2,148E,148,E,6,4,1,2,F,51,0,0,229.14218469
2,149K,149,K,6,1,1,2,F,2,2,F,31.287406991
2,150E,150,E,6,1,1,13,F,2,4,R,272.42094371
2,150E,150,E,6,2,2,4,F,3,9,R,272.42094371
2,150E,150,E,6,3,1,13,R,53,0,0,272.42094371
2,151E,151,E,6,1,1,2,F,56,0,0,45.289665712
2,151E,151,E,6,2,1,2,L,56,0,0,45.289665712
2,152G,152,G,6,1,1,5,F,76,0,0,113.32242999
2,153G,153,G,6,1,1,1,L,76,0,0,113.32242999
2,154H,154,H,6,1,1,1,9,50,0,0,220.5908203
2,154H,154,H,6,2,1,1,9,51,0,0,220.5908203
2,154H,154,H,6,3,1,1,9,41,0,0,220.5908203
2,155E,155,E,6,1,1,1,B,2,3,F,64.50710415
2,156E,156,E,6,1,1,2,F,44,0,0,64.50710415
2,157G,157,G,6,1,1,1,F,50,0,0,161.40772247
2,157G,157,G,6,2,1,1,L,56,0,0,161.40772247
2,157G,157,G,6,3,1,1,F,56,0,0,161.40772247
2,159F,159,F,6,1,1,12,R,51,0,0,122.69019627
2,159F,159,F,6,2,1,12,T,51,0,0,122.69019627
2,160F,160,F,6,1,1,11,T,31,0,N,122.69019627
2,160F,160,F,6,2,1,11,U,88,0,0,122.69019627
2,160F,160,F,6,3,1,11,R,42,0,0,122.69019627
2,160F,160,F,6,4,1,11,R,42,0,0,122.69019627
2,161G,161,G,6,1,1,1,U,60,0,0,154.49318716
2,162H,162,H,6,1,1,15,R,2,1,F,300.73286365
2,163K,163,K,6,1,1,1,F,2,3,F,67.5807991
2,164C,164,C,6,1,1,3,R,71,0,0,41.018177189
2,164C,164,C,6,2,1,3,F,2,14,B,41.018177189
2,164C,164,C,6,3,1,3,F,51,0,0,41.018177189
2,164C,164,C,6,4,1,3,F,57,0,0,41.018177189
2,165E,165,E,6,1,1,2,L,2,9,F,205.91347222
2,166H,166,H,6,1,1,3,F,2,15,F,1002.9356815
2,167C,167,C,6,1,1,13,F,71,0,0,88.428753952
2,168E,168,E,6,1,1,1,L,2,24,R,213.97396192
2,168E,168,E,6,2,1,1,F,50,0,0,213.97396192
2,168E,168,E,6,3,1,1,U,61,0,0,213.97396192
2,169F,169,F,6,1,1,9,F,2,1,R,425.18527937
2,170H,170,H,6,1,1,24,9,2,1,L,1042.1956321
