PSU,CASEID,CASENO,STRATIF,RECNO,VERSION,VEHNO,OCCFORMS,VEHROLE,TOWAWAY,MODELYR,MAKE,MODEL,BODYTYPE,TOWHITCH,CABCONF,SEATCAP,DROMEDRY,AXLESP,AXLEST1,AXLEST2,AXLEST3,BRAKETY,GVWR,VEHSEQ1,VEHSEQ2,VEHSEQ3,VEHSEQ4,OBJCONT1,OBJCONT2,OBJCONT3,OBJCONT4,DOF1,DOF2,DOF3,DOF4,GAD1,GAD2,GAD3,GAD4,SHL1,SHL2,SHL3,SHL4,SVL1,SVL2,SVL3,SVL4,TDD1,TDD2,TDD3,TDD4,EXTENT1,EXTENT2,EXTENT3,EXTENT4,ACCSEQ1,ACCSEQ2,ACCSEQ3,ACCSEQ4,VIN,REGISTRA,SPECUSE,ODOMETER,PCINTEG,PCINTRU,MAGINTRU,FIRE,IMPTYPE,OTHROLE,ROLLOVER,JACKNIFE,SAFETYB,HAZCARGO,CURBWGT,CARGOWGT,SOURCWGT,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,TRAVELSP,VEHRF1,VEHRF2,VEHRF3,DRIVE,VAIS,OTVEHWGT,SHORT,VINJSER,VINJURED,VINLNGTH,VTREAT,PSUWGT,NATWGT,RATWGT,WHEELSHT,WHEELLNG
85,045M,45,M,3,5,2,1,2,2,81,49,32,3,0,0,4,0,0,0,0,0,0,0,1,,,,1,,,,4,,,,R,,,,Z,,,,E,,,,W,,,,01,,,,1,,,,JT2TE72L3B,1,0,16,1,3,2,0,3,1,0,0,0,0,23,0,0,3,U,U,U,U,,,,,,,,,U,0,0,0,1,0,94,0,0,0,17,6,6.29,87.46,78.02,U,U
85,046W,46,W,3,5,1,2,1,2,80,30,38,3,0,0,4,0,0,0,0,0,0,0,1,,,,2,,,,12,,,,F,,,,R,,,,E,,,,W,,,,02,,,,1,,,,53A0070047,1,0,9,1,1,0,0,1,2,0,0,0,0,19,0,0,1,21,-21,-4,212,135,0,1,7,17,23,32,,U,0,0,0,2,0,41,0,0,0,10,6,22.00,305.91,378.82,94.5,U
85,046W,46,W,3,5,2,3,2,1,77,12,4,2,0,0,5,0,0,0,0,0,0,0,1,,,,1,,,,7,,,,L,,,,F,,,,E,,,,W,,,,02,,,,1,,,,7J87S13016,1,0,74,1,1,0,0,2,1,0,0,0,0,41,0,0,1,11,9,5,170,196,0,0,0,17,18,1,,U,0,0,0,1,0,19,0,0,0,11,6,22.00,305.91,378.82,114.0,U
85,047M,47,M,3,5,1,1,1,1,81,84,83,75,0,1,50,0,3,2,8,8,1,6,1,,,,64,,,,12,,,,V,,,,D,,,,T,,,,W,,,,0A,,,,1,,,,E2327BGA10,1,0,46,1,1,0,0,1,6,0,1,0,0,160,360,1,3,U,U,U,U,,,,,,,,,U,98,0,0,8,0,998,0,0,0,12,6,9.48,131.82,117.59,U,U
85,048V,48,V,3,5,1,1,1,2,81,12,12,4,0,0,5,0,0,0,0,0,0,0,1,,,,61,,,,1,,,,F,,,,D,,,,E,,,,W,,,,02,,,,1,,,,2FABP21A4B,1,1,7,1,1,0,0,1,6,0,0,0,0,27,0,0,1,40,-36,-16,1135,170,42,42,41,37,36,30,0,U,0,0,0,1,2,998,0,0,1,17,3,16.58,230.54,204.06,U,U
85,049W,49,W,3,5,1,2,1,2,71,41,31,4,0,0,5,0,0,0,0,0,0,0,1,,,,31,,,,12,,,,F,,,,D,,,,E,,,,W,,,,01,,,,1,,,,S122A09223,1,0,97,1,1,0,0,1,6,0,0,0,0,16,0,0,5,U,U,U,U,,,,,,,,,U,0,0,0,1,1,998,0,0,1,11,6,33.17,461.23,571.16,U,U
85,050M,50,M,3,5,1,1,1,1,71,84,81,72,0,4,58,0,3,8,8,8,1,6,1,,,,2,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,457240G458,1,0,378,1,1,0,0,1,3,0,0,0,0,U,0,0,3,U,U,U,U,,,,,,,,,U,0,0,0,8,0,27,0,0,0,13,6,6.57,91.36,81.50,U,U
85,050M,50,M,3,5,2,1,2,1,65,30,35,6,0,0,5,0,0,0,0,0,0,0,1,,,,1,,,,6,,,,B,,,,Z,,,,E,,,,E,,,,09,,,,1,,,,385D88036,1,0,124,1,1,0,0,4,1,0,0,0,0,27,0,0,3,U,U,U,U,,,,,,,,,U,0,0,0,1,0,U,0,0,0,9,6,6.57,91.36,81.50,U,U
85,051W,51,W,3,5,1,1,1,1,80,21,1,2,0,0,5,0,0,0,0,0,0,0,1,,,,2,,,,1,,,,F,,,,Y,,,,E,,,,W,,,,01,,,,1,,,,3R47FAM444,1,0,36,1,1,0,0,1,1,0,0,0,0,33,0,0,5,U,U,U,U,,,,,,,,,U,0,0,0,1,0,31,0,0,0,13,6,23.00,319.82,396.04,108.1,U
85,051W,51,W,3,5,2,1,1,2,67,12,2,6,0,0,6,0,0,0,0,0,0,0,1,,,,1,,,,11,,,,F,,,,L,,,,E,,,,W,,,,01,,,,1,,,,7K37C20387,1,0,65,1,1,0,0,1,1,0,0,0,0,31,0,0,5,U,U,U,U,,,,,,,,,U,0,0,0,1,0,33,0,0,0,11,6,23.00,319.82,396.04,113.0,116.0
85,052H,52,H,3,5,1,1,1,1,74,12,73,50,0,4,30,0,0,0,0,0,0,0,1,,,,2,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,F10YRT0798,1,0,U,U,U,U,0,2,8,0,0,0,0,35,U,U,3,U,U,U,U,,,,,,,,,U,0,0,0,8,0,8,0,0,0,11,U,13.40,186.33,178.08,U,U
85,052H,52,H,3,5,2,1,2,1,80,63,66,20,0,0,2,0,0,0,0,0,0,0,1,2,,,1,60,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,KZT00AE100,1,5,12,0,0,0,0,3,4,0,0,0,0,8,0,0,3,U,U,U,U,,,,,,,,,U,0,0,0,8,1,35,0,0,1,13,6,13.40,186.33,178.08,U,U
85,053Y,53,Y,3,5,1,1,1,1,70,12,73,50,0,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,U,U,U,U,U,U,U,U,U,8,0,998,1,0,0,0,U,318.68,4431.25,8485.10,U,U
85,053Y,53,Y,3,5,2,1,2,1,80,48,33,6,0,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,U,U,U,U,U,U,U,U,U,1,0,998,1,0,0,0,6,318.68,4431.25,8485.10,U,U
85,054M,54,M,3,5,1,1,1,2,81,82,83,75,0,1,45,0,3,2,8,8,1,6,1,,,,57,,,,U,,,,9,,,,9,,,,9,,,,9,,,,99,,,,1,,,,2FUPY3YB3B,8,0,51,U,U,U,0,2,6,0,2,0,0,U,130,1,3,U,U,U,U,,,,,,,,,U,U,U,U,8,1,998,0,0,1,17,6,7.33,101.92,90.92,U,U
