PSU,CASEID,CASENO,STRATIF,RECNO,VERSION,VEHNO,OCUPANTS,DRPRES,MONDRIVE,MILEVEH,MILETOT,TYPEOP,BMCSREG,DRCLASS,DRTRAIN,FREQDRIV,PRIORLAT,PRIORMID,PRIOREAR,AVOIDMAN,ACC12MO,VIOLSP,VIOLDWI,VIOLRECK,VIOLSUSP,VIOLROW,VIOLCLOS,VIOLSIGN,VIOLOTH,VIOLUNK,DRINKING,ALCTEST,LSOURCE,LCOMPL,LSTATUS,LTYPCOMP,LREST,LRESTADD,PREVSPD,PREVOTH,PREVDWI,PREVSUS,PREVACC,LANES,MEDIANT,MEDIANW,ACCESS,TRAFFLOW,HPMS,SHOULDLT,SHOULDRT,ALIGNMNT,GRADE,SURTYPE,SURCOND,TRAFCONT,TRCTLFCT,SPLIMIT,DRIRF1,DRIRF2,DRIRF3,ENVRF1,ENVRF2,ENVRF3,PSUWGT,NATWGT,RATWGT
51,230S,230,S,4,5,2,4,1,12,2,30,0,0,0,0,4,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,C,1,0,1,1,0,0,U,U,U,U,U,4,0,0,3,0,,1,1,1,2,2,1,0,0,35,0,0,0,0,0,0,8.52,127.55,81.50
51,230S,230,S,4,5,3,2,1,36,150,50,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,1,1,0,0,1,4,0,0,3,0,,1,1,1,2,2,1,0,0,35,0,0,0,0,0,0,8.52,127.55,81.50
51,231W,231,W,4,5,1,1,1,U,U,U,0,0,0,U,U,16,2,0,2,U,0,0,0,0,0,0,0,1,0,0,C,1,1,2,4,1,0,0,0,0,0,0,4,0,0,3,0,,0,0,1,4,8,1,0,0,35,0,0,0,0,0,0,29.84,446.73,387.96
51,231W,231,W,4,5,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,3,0,,0,0,1,4,8,1,0,0,35,,,,,,,29.84,446.73,387.96
51,232F,232,F,4,5,1,1,1,5,30,100,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,C,1,1,2,4,1,0,0,2,0,0,0,5,0,0,3,0,,0,0,1,1,2,1,0,0,35,40,0,0,0,0,0,7.56,113.18,125.20
51,232F,232,F,4,5,2,1,1,61,50,150,0,0,0,8,4,68,2,38,0,0,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,0,1,0,0,0,5,0,0,3,0,,0,0,1,1,2,1,0,0,35,0,0,0,0,0,0,7.56,113.18,125.20
51,233M,233,M,4,5,1,1,1,U,U,U,0,0,0,U,U,1,0,0,U,U,0,0,0,0,0,0,0,1,0,0,C,1,0,2,4,0,0,0,0,0,0,0,2,0,0,3,0,,6,6,1,1,2,2,0,0,30,25,0,0,0,0,0,8.64,129.35,112.80
51,233M,233,M,4,5,2,1,1,U,U,U,U,U,U,U,U,21,58,21,0,U,0,0,0,0,1,0,0,0,0,0,C,1,0,2,4,0,0,0,0,0,0,0,2,0,0,3,0,,0,0,1,1,2,2,21,3,0,49,0,0,0,0,0,8.64,129.35,112.80
51,234T,234,T,4,5,1,5,1,61,270,U,1,1,1,8,1,22,21,16,1,0,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,0,0,0,0,1,2,0,0,3,0,,2,6,1,1,2,1,20,3,30,0,0,0,0,0,0,8.64,129.35,128.02
51,234T,234,T,4,5,2,3,1,61,25,U,0,0,0,0,5,2,0,0,7,0,0,0,0,0,0,0,1,0,0,0,C,1,0,2,4,0,0,0,2,0,0,1,2,0,0,3,0,,6,6,1,1,2,1,20,3,30,29,0,0,5,0,0,8.64,129.35,128.02
51,235W,235,W,4,5,1,1,1,U,U,U,0,0,0,U,U,2,0,0,U,U,0,0,0,0,0,0,0,0,0,0,C,U,U,U,U,U,U,U,U,U,U,U,4,0,0,3,3,,6,1,1,1,2,2,1,3,35,29,0,0,0,0,0,30.25,452.87,393.29
51,235W,235,W,4,5,2,1,1,61,110,90,0,0,0,0,4,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,C,1,1,2,4,1,5,0,0,0,0,0,2,0,0,3,0,,1,1,1,1,2,2,1,3,30,0,0,0,0,0,0,30.25,452.87,393.29
51,236D,236,D,4,5,1,4,1,U,U,U,0,0,0,U,U,2,0,0,U,U,0,0,0,0,0,0,0,0,0,0,C,1,U,U,U,U,U,U,U,U,U,U,2,1,3,3,1,,0,0,1,1,2,1,0,0,35,0,0,0,0,0,0,14.00,209.59,170.27
51,237M,237,M,4,5,1,2,1,61,156,U,8,1,1,0,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,1,1,0,0,1,2,0,0,3,0,,0,6,2,1,2,1,0,0,30,0,0,0,0,0,0,10.00,149.71,130.55
51,237M,237,M,4,5,2,1,1,61,100,175,0,0,0,2,1,21,16,2,0,0,0,0,0,0,0,0,0,0,0,0,C,1,1,2,4,1,0,0,0,0,0,1,2,0,0,3,0,,0,6,2,1,2,1,0,0,30,0,0,0,0,0,0,10.00,149.71,130.55
51,238V,238,V,4,5,1,1,1,U,U,U,0,0,0,U,U,31,22,21,0,U,0,0,0,0,0,0,0,1,0,0,C,1,1,2,4,1,0,0,0,0,0,0,4,1,4,3,1,,0,0,1,1,2,2,2,3,45,33,0,0,0,0,0,17.50,261.99,231.46
51,238V,238,V,4,5,2,3,1,61,U,U,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,C,1,0,3,5,0,0,0,0,0,0,2,4,1,4,3,1,,0,0,1,1,2,2,2,3,45,0,0,0,0,0,0,17.50,261.99,231.46
51,239G,239,G,4,5,1,1,1,61,100,300,0,0,0,0,1,2,0,0,98,0,0,0,0,0,0,0,0,1,0,0,C,1,1,2,4,5,0,0,1,0,0,0,3,3,33,1,1,,1,2,1,1,2,2,0,0,55,25,0,0,0,0,0,7.63,114.23,120.14
51,239G,239,G,4,5,2,1,1,61,300,300,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,0,0,0,0,0,3,3,33,1,1,,1,2,1,1,2,2,0,0,55,0,0,0,0,0,0,7.63,114.23,120.14
51,240R,240,R,4,5,1,2,1,61,250,60,0,0,0,8,1,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,C,1,0,2,4,0,0,0,0,0,0,0,3,0,0,3,0,,6,6,1,1,2,2,1,3,30,0,0,0,0,0,0,22.88,342.54,355.29
51,240R,240,R,4,5,2,2,1,61,27,300,0,0,0,8,2,21,16,2,0,0,0,0,0,0,0,0,0,0,0,0,C,1,1,2,4,1,0,0,0,0,0,0,3,0,0,3,0,,6,6,1,1,2,2,1,3,30,0,0,0,0,0,0,22.88,342.54,355.29
