H01,H02,H02A,H02B,H03,H05,H07,H08,H09,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V32
77,281N,281,N,3,3,1,72.50,2853.82,1,1,1,74,2,4,4,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
77,281N,281,N,3,3,2,72.50,2853.82,1,2,1,79,2,54,4,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,
77,282I,282,I,3,3,1,18.21,716.75,1,1,2,75,2,49,2,0,0,0,2,U,9,9,9,9,99,,,,,,,,5621H11084,1,0,U,U,U,U,0,1,2,0,0,0,44,U,U,0,U,U,U,U,0,0,0,0
77,282I,282,I,3,3,2,18.21,716.75,1,2,2,80,7,0,50,0,0,0,1,U,9,9,9,9,99,,,,,,,,9JP4WA7306,1,0,10,U,U,U,0,2,1,0,0,0,25,0,0,0,U,U,U,U,0,0,0,0
77,283L,283,L,3,3,1,5.83,229.36,3,1,1,71,2,27,6,0,0,0,2,U,9,9,9,9,99,,,,,,,,1G76K27284,1,0,51,1,1,0,0,1,2,0,0,0,43,0,0,0,U,U,U,U,0,0,2,0
77,283L,283,L,3,3,2,5.83,229.36,2,2,2,80,2,3,4,0,0,0,1,U,9,9,9,9,99,,,,,,,,0F03A21680,1,0,10,U,U,U,0,3,1,0,0,0,26,0,0,0,U,U,U,U,0,0,1,0
77,284N,284,N,3,3,1,145.67,5734.01,1,1,1,79,2,35,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
77,284N,284,N,3,3,2,145.67,5734.01,1,1,1,75,15,9,2,0,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
77,285I,285,I,3,3,1,19.54,769.20,1,1,2,78,2,0,50,0,0,0,46,0,T,D,D,O,02,U,U,9,9,9,9,99,F25JKAE361,1,0,88,1,7,2,0,5,6,2,0,0,41,0,0,3,96,96,96,U,0,0,1,1
77,286L,286,L,3,3,1,6.25,246.14,1,1,2,72,1,8,3,0,0,0,2,2,F,D,E,W,02,,,,,,,,1M39H2S219,1,0,86,1,1,0,0,1,2,0,0,0,42,0,0,2,33,-21,-25,2254,0,0,1,0
77,286L,286,L,3,3,2,6.25,246.14,1,2,2,73,12,1,3,0,0,0,1,11,L,Y,E,W,02,34,12,F,R,E,E,01,CL41M3C328,1,0,103,1,4,2,0,2,1,0,0,0,43,0,0,2,32,-24,22,268,0,0,1,0
77,287M,287,M,3,3,1,31.27,1230.72,1,1,2,79,84,0,50,0,0,0,2,U,9,9,9,9,99,,,,,,,,TCD149F707,1,0,43,1,1,0,0,1,1,0,0,0,38,2,2,0,U,U,U,U,0,0,0,0
