PSU,CASENO,RATWGT,CASEID,STRATIF,VERSION,VEHNO,ACCSEQ1,OBJCONT1,DOF1,GAD1,SHL1,SVL1,TDD1,EXTENT1,ACCSEQ2,OBJCONT2,DOF2,GAD2,SHL2,SVL2,TDD2,EXTENT2,DVL,DVC1,DVC2,DVC3,DVC4,DVC5,DVC6,DVD,SDVL,SDVC1,SDVC2,SDVC3,SDVC4,SDVC5,SDVC6,SDVD,DOCCDC,TOWRES,WHEELBAS,ALTVEH,FIRE,FIREORIG,FUELTANK,PSUSTRAT
2,79,35.099610243,79D,D,5,1,3,31,0,T,D,D,O,4,1,56,U,9,9,9,9,U,,,,,,,,,,,,,,,,,1,1,1060,0,0,0,1,3
2,80,35.099610243,80D,D,5,1,1,64,12,F,R,E,E,4,,,,,,,,,60,0,0,0,0,0,9,25,,,,,,,,,0,1,937,0,0,0,1,3
2,83,33.216248929,83K,K,5,1,1,51,12,F,Z,E,N,3,,,,,,,,,72,0,8,19,34,30,27,14,,,,,,,,,0,1,1160,0,0,0,1,3
2,84,82.238995003,84C,C,5,1,4,42,10,L,F,E,W,2,1,68,12,F,D,E,W,1,50,3,6,6,3,1,1,48,60,1,1,3,3,1,1,0,0,1,1004,0,0,0,1,3
2,85,389.95878074,85E,E,5,1,2,31,0,T,D,D,O,4,1,68,90,L,P,E,W,3,,,,,,,,,,,,,,,,,0,1,937,0,0,0,1,3
2,87,67.102016504,87E,E,5,1,1,56,12,F,R,A,W,9,,,,,,,,,45,0,4,5,8,9,10,0,,,,,,,,,0,1,957,0,0,0,1,3
2,88,74.508046501,88F,F,5,1,1,2,10,L,P,E,W,2,,,,,,,,,81,1,4,7,7,3,1,-21,,,,,,,,,0,1,1033,0,0,0,1,3
2,88,74.508046501,88F,F,5,2,1,1,1,F,D,E,W,1,,,,,,,,,65,1,0,0,0,1,2,-7,,,,,,,,,0,0,1055,0,0,0,1,3
2,89,134.16410512,89G,G,5,1,2,60,U,9,9,9,9,U,1,50,U,9,9,9,9,U,,,,,,,,,,,,,,,,,0,U,1087,0,0,0,1,3
2,91,33.216248929,91D,D,5,1,1,51,90,L,Y,A,W,7,,,,,,,,,114,0,1,23,12,0,0,10,,,,,,,,,0,1,980,0,0,0,1,3
2,92,167.30822891,92F,F,5,1,1,2,1,F,D,E,W,2,,,,,,,,,58,0,0,3,6,9,16,7,,,,,,,,,0,1,1001,0,0,0,1,3
2,92,167.30822891,92F,F,5,2,1,1,12,F,D,E,W,1,,,,,,,,,57,2,1,0,0,0,0,-8,,,,,,,,,0,1,945,0,0,0,1,3
2,93,301.2662372,93G,G,5,1,1,2,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1060,0,0,0,1,3
2,95,119.42689289,95E,E,5,1,1,51,12,F,C,E,N,2,,,,,,,,,64,0,5,15,22,10,0,2,,,,,,,,,0,1,1143,0,0,0,1,3
2,96,143.96415074,96F,F,5,1,2,44,12,F,D,L,W,1,3,50,12,L,Z,E,S,1,65,2,2,2,1,1,1,0,,,,,,,,,0,1,1108,0,0,0,1,3
2,97,259.23134964,97G,G,5,2,1,1,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1229,0,0,0,1,3
2,100,49.64037115,100C,C,5,1,3,42,3,R,P,A,W,3,1,88,3,R,F,E,N,2,120,0,2,7,9,3,0,38,,,,,,,,,1,1,984,0,0,0,1,3
2,102,89.092244587,102J,J,5,1,1,31,0,T,D,D,O,2,,,,,,,,,,,,,,,,,,,,,,,,,0,1,934,0,0,0,1,3
2,103,340.0916123,103G,G,5,1,1,88,12,F,R,W,N,3,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1093,0,0,0,1,3
2,104,690.58140112,104H,H,5,1,1,56,12,F,L,E,S,3,2,56,12,L,B,E,S,1,,,,,,,,,,,,,,,,,0,U,953,0,0,0,1,3
2,105,176.57293445,105E,E,5,2,1,1,6,B,Z,E,W,3,2,3,11,F,R,E,E,1,59,1,3,5,8,11,14,16,59,2,1,1,1,1,3,23,0,1,1005,0,0,0,1,3
2,105,176.57293445,105E,E,5,3,2,2,11,F,L,E,E,1,,,,,,,,,,,,,,,,,,,,,,,,,0,U,1003,0,0,0,1,3
2,106,383.27414371,106G,G,5,1,1,2,12,F,R,E,W,1,,,,,,,,,59,0,0,0,0,0,0,21,,,,,,,,,0,0,1102,0,0,0,1,3
2,106,383.27414371,106G,G,5,2,1,1,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1013,0,0,0,1,3
2,107,778.26675404,107H,H,5,1,1,2,12,F,D,E,W,1,,,,,,,,,70,1,1,2,3,2,1,0,,,,,,,,,0,1,1250,0,0,0,1,3
2,108,67.428985326,108K,K,5,1,1,2,2,R,F,E,W,3,,,,,,,,,74,0,0,0,11,14,8,49,,,,,,,,,0,1,945,0,0,0,1,3
2,108,67.428985326,108K,K,5,2,1,1,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1390,0,0,0,1,3
2,109,125.93276456,109D,D,5,1,1,2,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1024,0,0,0,1,3
2,109,125.93276456,109D,D,5,2,1,1,46,B,D,E,W,2,,,,,,,,,68,5,6,8,10,12,14,8,,,,,,,,,0,1,1081,0,0,0,1,3
2,110,679.49752984,110E,E,5,1,1,2,8,L,B,E,W,3,2,64,12,F,R,A,S,9,47,2,14,9,4,1,1,-80,,,,,,,,,0,1,969,0,0,0,1,3
2,111,108.07975913,111B,B,5,1,3,31,0,T,D,D,O,3,1,50,12,F,L,E,N,1,,,,,,,,,,,,,,,,,0,1,1143,0,0,0,1,3
2,112,44.551961778,112B,B,5,1,2,42,U,9,9,9,9,U,1,42,U,9,9,9,9,U,,,,,,,,,,,,,,,,,0,1,1055,0,0,0,1,3
2,113,92.009009533,113K,K,5,1,5,42,0,T,D,Y,N,4,1,68,12,F,R,E,W,2,,,,,,,,,,,,,,,,,1,1,970,0,0,0,1,3
2,115,96.692662512,115F,F,5,1,1,56,11,F,L,A,E,9,,,,,,,,,61,1,1,1,0,0,1,-15,,,,,,,,,0,1,1060,0,0,0,1,3
2,116,96.692662512,116F,F,5,1,2,42,12,F,C,E,N,2,1,50,12,F,C,E,N,1,61,0,2,6,9,14,4,8,,,,,,,,,0,1,1024,0,0,0,1,3
2,119,67.428985326,119D,D,5,1,1,2,U,9,9,9,9,U,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1090,0,0,0,1,3
2,119,67.428985326,119D,D,5,2,1,1,12,F,Z,E,W,2,,,,,,,,,61,2,3,4,7,12,18,16,,,,,,,,,0,1,998,0,0,0,1,3
2,120,142.79388614,120F,F,5,1,1,2,11,F,L,E,S,3,,,,,,,,,58,3,2,0,0,0,0,-32,,,,,,,,,0,1,999,0,0,0,1,3
2,120,142.79388614,120F,F,5,2,1,1,12,F,L,E,W,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1315,0,0,0,1,3
2,122,522.10966298,122H,H,5,1,1,62,2,R,P,E,W,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1295,0,0,0,1,3
2,123,77.289425859,123C,C,5,1,1,2,12,F,L,E,E,1,,,,,,,,,70,1,0,0,0,0,0,-29,,,,,,,,,0,0,1143,0,0,0,1,3
2,123,77.289425859,123C,C,5,2,1,1,10,L,B,E,W,1,,,,,,,,,60,2,2,2,1,0,0,-72,,,,,,,,,0,1,1012,0,0,0,1,3
