PSUWGT,NATWGT,PSU,CASEID,CASENO,STRATIF,VERSION,VEHNO,MODELYR,MAKE,MODEL,BODYTYPE,VIN,TOWPAR,TRAVELSP,DRINKDRG,ALCTEST,SPLIMIT,MANEUVER,ACCTYPE,DRPRES,OCUPANTS,OCCFORMS,CURBWGT,CARGOWGT,TOWHITCH,DOCTRAJ,CONDTREE,ROLLOVER,FOVERIDE,ROVERIDE,ANGTHIS,ANGOTHER,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,DVCONFID,INSPTYPE,VINLNGTH,VINJSER,VINJURED,DRIVE,VTREAT,OTVEHWGT,OTBDYTYP,VAIS
4.5,48.1545,41,14A,14,A,1,2,88,7,11,6,1B3BD49D3J,0,45,0,C,55,U,52,1,1,0,25,U,0,0,0,0,0,0,0,78,6,U,U,U,U,0,0,17,N,N,2,N,N,N,N
4.5,48.1545,41,14A,14,A,1,3,85,23,473,39,1GTEC14H5F,1,50,0,C,55,U,98,1,1,1,U,U,0,0,0,0,0,0,0,78,6,U,U,U,U,0,0,17,0,0,8,0,N,N,0
4.5,48.1545,41,14A,14,A,1,4,81,20,474,21,2GCEG25H0B,1,45,0,C,55,U,98,1,4,4,U,U,0,0,0,U,0,0,2,78,5,U,U,U,U,0,0,17,0,4,8,U,N,N,7
69,738.369,41,15E,15,E,1,1,86,42,35,4,WDBEA30D9G,1,U,0,C,30,U,86,1,1,1,33,U,0,0,0,0,0,0,270,0,6,U,U,U,U,0,0,17,0,1,1,3,N,N,2
69,738.369,41,15E,15,E,1,2,84,13,1,4,1MRBP97F3E,1,3,0,C,30,U,87,1,2,2,37,U,0,0,0,0,0,0,0,270,6,U,U,U,U,0,0,17,0,0,1,0,N,N,0
69,738.369,41,15E,15,E,1,3,86,7,474,21,2B7HB23H6G,0,0,0,C,30,1,98,1,1,0,U,U,0,0,0,0,U,0,180,0,6,U,U,U,U,0,0,17,N,N,8,N,N,N,N
2,21.402,41,16B,16,B,1,1,78,20,473,31,CCU148F400,1,65,4,17,35,U,20,1,3,3,U,U,0,0,0,0,U,0,0,0,4,U,U,U,U,0,0,13,3,3,8,1,N,N,4
2,21.402,41,16B,16,B,1,2,74,20,881,61,CCY334B100,1,0,8,E,35,1,21,,,,,,,,,,,,,,,,,,,,,13,N,N,8,N,N,N,N
16,171.216,41,17D,17,D,1,1,77,18,2,4,4N69Y7H400,0,0,0,C,35,U,98,1,1,0,36,U,0,0,0,0,0,0,270,270,6,U,U,U,U,0,0,13,N,N,1,N,N,N,N
16,171.216,41,17D,17,D,1,2,74,51,33,4,1646363100,1,0,0,C,35,U,98,1,1,1,31,U,0,0,0,0,0,0,270,270,6,U,U,U,U,0,1,13,0,1,1,4,44,14,1
16,171.216,41,17D,17,D,1,3,85,49,477,14,JT4RN55E7F,1,0,0,C,35,1,98,1,1,1,44,3,0,0,0,0,U,U,270,270,6,U,U,U,U,0,0,17,0,1,8,0,N,N,1
16,171.216,41,17D,17,D,1,4,77,20,12,3,1M27U7Z100,1,0,0,C,35,U,21,1,1,1,31,U,0,0,0,0,U,U,270,270,6,U,U,U,U,0,0,13,0,1,1,U,N,N,7
16,171.216,41,17D,17,D,1,5,75,22,2,6,2L45W5X100,0,35,0,C,35,U,20,1,1,0,45,U,0,0,0,0,U,0,270,270,6,U,U,U,U,0,0,13,N,N,1,N,N,N,N
165,1765.665,41,18G,18,G,1,1,85,12,6,4,1FABP39MXF,1,2,0,C,45,1,90,1,1,1,30,U,0,0,0,0,0,0,188,55,6,U,U,U,U,0,0,17,0,0,1,0,N,N,0
165,1765.665,41,18G,18,G,1,2,80,49,32,2,TE72500500,1,35,0,C,45,3,90,1,2,2,22,U,0,0,0,0,0,0,55,188,6,U,U,U,U,0,0,11,0,0,1,0,N,N,0
10,107.01,41,19C,19,C,1,1,88,14,17,4,1MEBM53U1J,1,20,1,C,40,U,83,1,1,1,31,U,0,0,0,0,0,0,255,164,3,13,-11,-7,172,2,2,17,0,1,2,4,26,2,1
10,107.01,41,19C,19,C,1,2,82,35,32,2,JN1RS06S8C,1,10,0,C,40,1,82,1,2,2,26,0,0,0,0,0,U,U,164,255,3,14,-7,12,263,2,2,17,0,1,1,0,31,4,1
10,107.01,41,20C,20,C,1,1,73,12,881,61,F61DV8D100,1,20,0,C,30,U,20,,,,,,,,,,,,,,,,,,,,,11,N,N,8,N,N,N,N
10,107.01,41,20C,20,C,1,2,85,35,34,3,9999999999,1,0,0,C,30,1,21,1,1,1,29,U,0,0,0,0,U,U,270,270,4,U,U,U,U,0,0,U,0,1,1,4,N,N,1
10,107.01,41,20C,20,C,1,3,72,20,1,2,1D37F21500,0,0,0,C,30,1,98,1,1,0,33,0,0,0,0,0,0,0,271,270,4,U,U,U,U,0,2,13,N,N,1,N,29,3,N
46,492.246,41,21E,21,E,1,1,83,20,2,6,2G1AN35H4D,1,20,0,C,45,98,90,1,1,1,41,0,0,1,0,0,0,0,34,0,6,U,U,U,U,0,2,17,0,0,1,0,32,4,0
46,492.246,41,21E,21,E,1,2,84,22,2,4,2G2AR69H2E,1,10,0,C,45,1,98,1,1,1,32,0,0,1,0,0,0,0,1,44,6,U,U,U,U,0,1,17,0,1,1,4,41,6,1
46,492.246,41,21E,21,E,1,3,82,49,477,30,JT5RN44R8C,0,10,0,C,45,1,90,1,1,0,26,10,0,1,0,0,0,0,0,34,6,U,U,U,U,0,1,17,N,N,8,N,41,6,N
54,577.854,41,22F,22,F,1,1,80,20,13,3,1B089AY200,1,U,0,C,40,2,20,1,3,3,21,0,0,0,0,0,0,0,180,180,6,U,U,U,U,0,2,13,0,0,1,0,31,4,0
54,577.854,41,22F,22,F,1,2,87,14,17,4,1MEBM58U0H,0,0,0,C,40,1,21,1,3,0,31,U,0,0,0,0,0,0,180,180,6,U,U,U,U,0,0,17,N,N,2,N,N,N,N
210,2247.21,41,23H,23,H,1,1,82,35,43,2,9999999999,1,35,0,C,35,U,20,1,1,1,19,U,0,0,0,0,U,0,0,0,6,U,U,U,U,0,0,U,0,0,2,0,N,N,0
210,2247.21,41,23H,23,H,1,2,81,49,477,30,JT4RN44R8B,1,0,8,E,35,1,21,0,0,0,25,U,0,0,0,0,0,U,998,998,6,U,U,U,U,0,0,17,N,N,8,N,N,N,N
4.5,48.1545,41,24A,24,A,1,1,81,20,13,3,1G1AB08D1B,1,40,U,D,40,U,68,1,1,1,21,0,0,0,0,0,0,0,112,0,5,U,U,U,U,0,2,17,0,1,1,U,26,30,7
4.5,48.1545,41,24A,24,A,1,2,86,12,477,30,1FTCR11T6G,1,40,0,C,40,U,69,1,1,1,26,0,0,1,0,3,0,0,997,997,5,U,U,U,U,0,2,17,1,1,8,1,998,98,2
24,256.824,41,25D,25,D,1,1,78,1,7,4,A8A057E300,1,U,0,C,35,U,83,1,1,1,31,U,0,1,0,0,U,0,269,165,6,U,U,U,U,0,0,13,0,1,1,4,N,N,1
24,256.824,41,25D,25,D,1,2,85,20,472,20,1G8DM15N4F,1,20,0,C,35,2,82,1,1,1,34,0,0,1,0,0,0,0,165,269,6,U,U,U,U,0,2,17,0,1,8,0,31,4,1
46,492.246,41,26E,26,E,1,1,85,12,6,4,1FABP39M4F,1,40,0,C,30,1,6,1,2,2,30,U,0,1,0,0,0,0,998,998,6,U,U,U,U,0,0,17,0,2,1,3,N,N,2
2,21.402,41,27B,27,B,1,1,79,20,8,4,1X69D9T100,1,25,U,0,35,1,98,1,1,1,33,0,0,0,0,0,0,0,998,998,5,U,U,U,U,0,2,13,1,1,1,1,998,98,4
10,107.01,41,28C,28,C,1,1,87,37,32,3,JHMCA5386H,1,0,0,C,45,1,21,1,1,1,24,0,0,0,0,0,0,0,0,352,6,U,U,U,U,0,1,17,0,1,2,4,31,2,1
10,107.01,41,28C,28,C,1,2,85,14,4,2,1MEBP923XF,1,50,0,C,45,6,20,1,2,2,31,0,0,0,0,0,0,0,352,0,6,U,U,U,U,0,0,17,0,1,1,4,N,N,1
54,577.854,41,29F,29,F,1,1,80,7,498,21,B25JEAK100,1,50,0,C,55,U,20,1,1,1,34,U,0,1,0,0,U,U,180,180,6,U,U,U,U,0,0,13,1,1,8,3,N,N,3
54,577.854,41,29F,29,F,1,2,87,20,474,21,1GCGG35K2H,0,0,0,C,55,1,21,1,2,0,25,U,0,1,0,0,0,U,180,180,6,U,U,U,U,0,2,17,N,N,8,N,34,21,N
54,577.854,41,29F,29,F,1,3,85,7,472,20,2B4FK51G5F,0,0,0,C,55,1,98,1,1,0,28,0,0,1,0,0,U,U,180,180,6,U,U,U,U,0,2,17,N,N,8,N,N,65,N
54,577.854,41,29F,29,F,1,4,86,84,U,65,1HSZBJSR5G,0,0,0,C,55,U,98,,,,,,,,,,,,,,,,,,,,,17,N,N,8,N,N,N,N
165,1765.665,41,30G,30,G,1,1,85,18,15,4,1G4XB69R0F,1,35,0,C,35,U,87,1,1,1,26,0,0,0,0,0,0,0,180,108,6,U,U,U,U,0,0,17,0,1,2,U,N,N,7
165,1765.665,41,30G,30,G,1,2,81,34,37,4,WBAFF4306B,1,35,0,C,35,1,98,1,1,1,36,0,0,1,0,0,0,0,90,180,6,U,U,U,U,0,2,17,0,0,1,0,26,4,0
165,1765.665,41,30G,30,G,1,3,73,20,4,2,1Z67J3S400,1,10,0,C,35,1,86,1,1,1,34,0,0,1,0,0,0,0,108,180,6,U,U,U,U,0,1,13,0,0,1,0,26,4,0
6.75,72.23175,41,31C,31,C,1,1,76,20,9,2,1Q87Q6N500,1,20,0,C,45,U,88,1,1,1,36,U,0,1,0,0,0,0,179,91,6,U,U,U,U,0,0,13,0,0,1,0,N,N,0
6.75,72.23175,41,31C,31,C,1,2,88,41,398,2,JM1GD311XJ,1,30,0,C,45,U,89,1,1,1,25,U,0,1,0,0,0,0,91,179,6,U,U,U,U,0,0,17,0,1,U,3,N,N,2
112,1198.512,41,32G,32,G,1,1,88,20,17,6,1G1AW81R5J,1,35,0,C,45,2,24,1,1,1,29,0,0,0,0,0,U,0,270,270,6,U,U,U,U,0,2,17,0,0,2,0,16,5,0
112,1198.512,41,32G,32,G,1,2,87,20,33,5,JG1MR6159H,1,2,0,C,45,1,25,1,1,1,16,0,0,1,0,0,U,U,270,270,6,U,U,U,U,0,2,17,0,1,2,0,25,2,1
112,1198.512,41,32G,32,G,1,3,85,21,18,2,1G3NT27U2F,0,0,0,C,45,1,98,1,1,0,25,U,0,0,0,0,0,0,270,270,6,U,U,U,U,0,0,17,N,N,2,N,N,N,N
5.15,55.11015,41,34C,34,C,1,1,88,49,38,2,JT2EL31D4J,1,60,1,C,55,1,9,1,2,2,20,0,0,1,0,2,0,0,997,997,5,U,U,U,U,0,1,17,1,1,2,3,998,98,3
8.1,86.6781,41,35D,35,D,1,1,87,9,11,4,1P3BP36D4H,0,20,0,C,35,U,88,1,3,0,24,U,0,1,0,0,0,0,180,90,1,12,-12,0,282,1,2,17,N,N,2,N,32,6,N
8.1,86.6781,41,35D,35,D,1,2,80,20,1,6,1W35KAD400,1,25,0,C,35,1,89,1,3,3,32,0,0,1,0,0,0,0,90,180,1,9,0,9,93,1,1,13,0,2,1,4,24,4,1
