PSU,CASEID,CASENO,STRATIF,VERSION,ACCSEQ,VEHNUM,CLASS1,GAD1,OBJCONT,CLASS2,GAD2,NATWGT,PSUWGT
2,66C,66,C,1,1,1,24,B,2,1,F,36.78,1.5
2,67D,67,D,1,1,1,4,F,41,0,0,61.3,2.5
2,67D,67,D,1,2,1,4,F,41,0,0,61.3,2.5
2,67D,67,D,1,3,1,4,F,42,0,0,61.3,2.5
2,68E,68,E,1,1,1,1,F,52,0,0,220.68,9
2,69A,69,A,1,1,1,3,F,2,2,F,24.52,1
2,69A,69,A,1,2,1,3,R,2,2,L,24.52,1
2,70C,70,C,1,1,1,9,9,56,0,0,57.3768,2.34
2,71E,71,E,1,1,1,3,F,88,0,0,237.844,9.7
2,72F,72,F,1,1,1,5,F,2,15,B,328.568,13.4
2,72F,72,F,1,2,2,15,F,3,1,B,328.568,13.4
2,73B,73,B,1,1,1,2,L,50,0,0,24.52,1
2,73B,73,B,1,2,1,2,L,50,0,0,24.52,1
2,73B,73,B,1,3,1,2,N,31,0,N,24.52,1
2,74D,74,D,1,1,1,4,R,63,0,0,88.7624,3.62
2,74D,74,D,1,2,1,4,R,52,0,0,88.7624,3.62
2,75H,75,H,1,1,1,U,F,56,0,0,1397.64,57
2,76G,76,G,1,1,1,9,F,56,0,0,931.76,38
2,76G,76,G,1,2,1,9,F,44,0,0,931.76,38
2,77C,77,C,1,1,1,12,N,31,0,N,57.3768,2.34
2,77C,77,C,1,2,1,12,R,56,0,0,57.3768,2.34
2,78D,78,D,1,1,1,14,F,68,0,0,88.7624,3.62
2,79E,79,E,1,1,1,12,F,43,0,0,237.844,9.7
2,79E,79,E,1,2,1,12,F,42,0,0,237.844,9.7
2,79E,79,E,1,3,1,12,R,42,0,0,237.844,9.7
2,80C,80,C,1,1,1,1,F,2,2,F,57.3768,2.34
2,81G,81,G,1,1,1,5,U,44,0,0,931.76,38
2,81G,81,G,1,2,1,5,F,42,0,0,931.76,38
2,82H,82,H,1,1,1,1,F,71,0,0,1397.64,57
2,83C,83,C,1,1,1,1,F,52,0,0,57.3768,2.34
2,84E,84,E,1,1,1,4,R,56,0,0,237.844,9.7
2,84E,84,E,1,2,1,4,F,42,0,0,237.844,9.7
2,85C,85,C,1,1,1,15,F,56,0,0,57.3768,2.34
2,85C,85,C,1,2,1,15,B,44,0,0,57.3768,2.34
