ACCSEQDV,ACCTYPE,ALCTEST,ANGTHIS,ANGOTHER,AOPSVEH,WEATHER,BAGDEPFV,BAGDEPOV,BAREQSP,BODYTYPE,CARGOWGT,CASEID,CASENO,CONDTREE,CURBWGT,DVEST,DOCTRAJ,DRIVDIST,DRINKING,DRIVE,DRPRES,DRRACE,DRZIP,DVBASIS,DVCONFID,DVLAT,DVLONG,DVTOTAL,ENERGY,FOVERIDE,IMPACTSP,INSPTYPE,LANES,LGTCOND,MAKE,MANEUVER,MODEL,MODELYR,RATWGT,OCCFORMS,OCUPANTS,PREEVENT,PREMOVE,PREILOC,PREISTAB,PSU,ALIGNMNT,SURCOND,PROFILE,SURTYPE,RELINTER,ROLINDIR,ROLINLOC,ROLINTYP,ROLLOBJ,ROLLOVER,ROVERIDE,SPECOTH,SPLIMIT,STRATIF,TOWHITCH,TOWPAR,TRAFCONT,TRCTLFCT,TRAVELSP,TRAFFLOW,TRIPLOC,VEHNO,VEHUSE,VERSION,VIN,VINLNGTH,DRUGS,VINO,MCYCLDS,VEHWGT,VINMAKE,VINAMOD,SERTR,VINBT,ROOF1,ROOF2,ROOF3,ANTILOCK,FRTWHLDR,FOURWHDR,RESTYPE,CARBUR,FUELCODE,WGTCDTR,VEHTYPE,WHLDRWHL,DAYRUNLT,VINMODYR,OTVEHWGT,OTBDYTYP,VINJSER,VINJURED,VTREAT,VAIS
1,82,C,225,353,0,0,0,0,21,4,0," 21F",21,0,107,0,0,U,0,2,1,U,12477,11,0,U,U,U,U,0,U,3,2,1,9,U,11,86,270.49984087,1,1,15,11,1,U,2,1,1,1,2,2,0,0,0,0,0,0,0,89,F,0,1,0,0,U,0,0,2,0,9,1P3BP26D1G,17,0,4,,2390,PLYM,REL,,4D,1,,,1,Y,N,A,F,G,,P,,N,86,203,31,0,1,8,7
1,68,C,170,0,0,0,0,0,35,20,2," 22K",22,0,138,0,0,U,0,8,1,U,12589,1,1,-6,-34,34,1228,0,998,3,2,1,9,U,442,88,50.476663726,3,3,15,11,2,U,2,1,1,2,2,3,0,0,0,0,0,0,0,89,K,0,1,4,2,U,0,0,1,0,9,2P4FH5139J,17,0,4,,,PLYM,VOF,VLE,SV,1,,,1,,,A,,G,1,T,42,N,88,115,2,0,2,4,1
1,69,C,0,170,0,0,0,0,41,2,0," 22K",22,0,115,0,0,U,0,2,1,U,12550,1,1,7,-41,42,950,0,998,3,2,1,18,U,15,83,50.476663726,1,1,62,1,1,U,2,1,1,4,2,3,0,0,0,0,0,0,0,89,K,0,1,4,2,U,0,0,2,0,9,1G4AB37R5D,17,0,4,,2462,BUIC,SXC,,CP,,,,,,,,F,G,,P,,,83,138,20,1,1,3,3
1,20,D,0,0,0,0,0,0,47,31,9," 23D",23,0,165,0,0,1,1,8,1,1,12492,4,0,U,U,U,U,1,U,3,2,2,12,6,481,86,24.910664047,2,2,50,1,1,1,2,1,1,1,2,0,0,0,0,0,0,0,0,89,D,0,1,0,0,U,0,0,1,0,9,1FTDF15Y1G,17,0,4,,,FORD,COF,F15,PK,1,,,1,,,A,,G,1,T,42,N,86,U,31,0,2,3,2
U,21,C,0,0,0,0,0,0,U,31,U," 23D",23,0,U,U,0,U,0,8,1,U,12450,0,0,U,U,U,U,0,U,0,2,2,12,U,481,77,24.910664047,2,2,53,7,2,1,2,1,1,1,2,0,0,0,0,0,0,U,0,89,D,0,1,0,0,0,0,0,2,0,9,F15BEY2500,11,0,5,,,,,,,,,,,,,,,,,U,,,77,N,N,0,2,4,1
U,46,C,10,0,0,0,0,0,U,2,U," 24F",24,0,U,U,0,U,0,1,1,U,12571,0,0,U,U,U,U,0,U,0,5,3,22,U,399,83,276.80734701,3,3,11,6,2,1,2,2,1,1,2,0,0,0,0,0,0,0,0,48,F,0,1,0,0,U,0,0,1,0,9,9999999999,U,0,1,9999,9999,99999,999,999,99,9,9,9,9,9,9,9,9,9,9,U,99,9,83,N,N,0,0,0,0
3,45,C,40,270,0,0,0,0,18,4,0," 24F",24,0,88,0,0,U,0,U,1,U,12401,3,1,10,-18,20,115,0,998,3,5,3,37,U,31,86,276.80734701,1,1,60,14,1,1,2,2,1,1,2,0,0,0,0,0,0,0,0,48,F,0,1,0,0,U,0,0,2,0,9,JHMAK5436G,17,0,5,,1985,HOND,C5S,,4D,1,,,1,Y,N,A,3,G,,P,,N,86,129,4,0,1,4,1
3,98,C,270,40,1,0,1,0,15,4,0," 24F",24,0,129,0,0,1,0,2,1,1,12401,3,4,2,13,13,173,0,998,2,2,3,35,1,47,95,276.80734701,2,2,68,5,1,1,2,1,1,4,2,2,0,0,0,0,0,0,0,0,F,0,1,1,2,0,1,0,3,0,9,1N4BU31D7S,17,0,4,,2800,NISS,AGS,,4D,1,3,,7,Y,N,E,F,G,,P,,N,95,88,4,0,0,0,0
3,7,B,998,998,0,0,0,0,15,2,0," 25F",25,1,140,0,1,U,1,1,1,U,12561,1,4,-15,-3,15,278,0,998,3,2,2,1,U,7,79,276.80734701,1,1,12,1,4,4,2,1,1,4,2,0,0,0,0,0,0,0,0,89,F,0,1,0,0,U,0,0,1,0,9,A9A067C100,13,0,5,,,,,,,,,,,,,,,,,U,,,79,998,98,0,1,4,1
1,2,C,998,998,0,0,0,0,12,14,0," 26E",26,1,138,0,0,U,0,8,1,U,12561,1,1,12,0,12,94,0,998,3,2,2,2,U,403,95,102.72238099,1,1,5,14,4,3,2,3,3,1,2,0,0,0,0,0,0,0,0,72,E,0,1,6,2,U,0,0,1,0,9,1J4FY19P7S,17,0,4,,,JEEP,W/Y,WSR,2W,1,,,1,,,A,,G,1,T,44,N,95,998,98,0,1,4,1
1,64,C,60,180,0,0,0,0,29,31,8," 27E",27,0,165,0,0,U,0,8,1,U,12550,1,1,24,-14,28,1100,0,998,3,2,1,23,98,481,84,102.72238099,1,1,5,14,2,3,2,2,3,4,2,0,0,0,0,0,0,0,0,89,E,0,1,6,2,U,0,0,1,0,9,2GTEK14H2E,17,0,4,,,GMC,K15,K15,PK,,,,,,,,,G,2,T,44,,84,183,14,0,0,0,0
1,65,C,180,60,0,0,0,0,30,14,1," 27E",27,0,183,0,1,U,0,8,1,U,12528,1,1,-10,-28,29,907,0,998,3,2,1,37,U,401,95,102.72238099,1,1,62,14,1,U,2,3,3,2,2,0,0,0,0,0,0,0,0,89,E,0,1,6,2,U,0,0,2,0,9,4S6CY58V5S,17,0,4,,,HOND,PAS,PEL,4W,1,2,,3,,,A,,G,1,T,44,N,95,165,31,0,1,4,1
2,8,C,998,998,1,0,0,0,18,2,0," 28F",28,0,114,0,1,1,0,2,1,1,12477,9,0,U,U,U,U,0,U,3,2,1,20,6,16,92,229.55346287,2,2,68,14,4,2,2,2,2,1,2,2,0,0,0,0,0,0,0,72,F,0,1,5,2,U,0,0,1,0,9,1G1JC1440N,17,0,4,,2509,CHEV,CRV,,CP,1,2,,2,Y,N,P,F,G,,P,,N,92,998,98,0,2,4,1
1,7,C,998,998,0,3,0,0,U,30,0," 29G",29,1,165,2,0,U,0,8,1,U,80435,11,0,U,U,U,U,0,U,2,2,1,49,U,471,94,335.78717196,1,1,5,11,4,U,2,1,3,1,2,2,0,0,0,0,0,0,0,72,G,0,1,0,0,U,0,0,1,0,9,JT4RN13P0R,17,0,5,,,TOYT,HTP,XLX,PC,1,,,6,,,A,,G,1,T,44,N,94,998,98,0,0,0,0
1,14,C,998,998,0,0,0,0,U,4,0," 30H",30,0,143,3,1,1,0,1,1,U,12443,9,0,U,U,U,U,0,U,3,2,1,22,U,2,86,773.90324998,2,2,14,1,4,1,2,1,1,1,2,2,0,0,0,0,0,0,0,48,H,0,1,5,2,U,0,0,1,0,9,2G2GS69H4G,17,0,4,,3152,PONT,BLE,,4D,1,,,1,N,N,A,4,G,,P,,N,86,998,98,0,0,0,0
1,48,C,168,180,0,3,0,0,20,30,U," 31E",31,0,U,0,0,U,0,8,1,U,12588,3,4,5,21,22,237,0,998,0,1,1,35,U,471,91,65.217478415,0,1,10,16,7,U,2,2,3,1,2,1,0,0,0,0,0,U,0,89,E,0,0,3,2,U,3,0,1,0,9,1N6SD11S1M,17,0,4,,,NISS,TRK,SWB,PK,1,,,1,,,A,,G,1,T,42,N,91,N,N,N,N,N,N
1,48,C,180,168,1,3,1,0,15,31,2," 31E",31,0,193,0,0,1,0,8,1,U,12477,3,1,0,-14,14,224,4,998,3,2,1,20,4,481,95,65.217478415,1,1,74,1,1,1,2,1,3,1,2,1,0,0,0,0,0,0,0,64,E,0,1,0,0,U,1,0,2,0,9,2GCEK19H6S,17,0,4,,,CHEV,GM4,GK1,PC,1,,,2,,,M,,G,2,T,44,N,95,U,30,0,0,4,0
1,1,D,998,998,0,0,0,0,U,2,0," 32F",32,1,159,6,1,1,1,1,1,3,12586,7,0,U,U,U,U,0,U,3,2,2,18,1,2,78,145.74134541,1,1,13,14,4,1,2,3,1,4,2,0,0,0,0,0,0,0,0,56,F,0,1,0,0,U,0,0,1,0,9,4P37X8H500,13,0,4,,,,,,,,,,,,,,,,,U,,,78,998,98,0,1,4,1
1,22,C,0,0,0,0,0,0,23,3,0," 33F",33,0,101,0,0,1,0,2,1,U,12528,1,1,0,20,20,231,0,998,3,4,1,14,1,36,89,145.74134541,2,2,53,5,1,1,2,1,1,1,1,3,0,0,0,0,0,0,0,64,F,0,1,5,2,0,0,0,1,0,9,3MABM1157K,17,0,4,,2205,MERC,TRA,,2H,1,,,1,Y,N,A,F,G,,P,,N,89,111,4,0,1,4,1
