PSU,CASEID,CASENO,STRATIF,RECNO,VERSION,VEHNO,OCUPANTS,DRPRES,MONDRIVE,MILEVEH,MILETOT,TYPEOP,BMCSREG,DRCLASS,DRTRAIN,FREQDRIV,PRIORLAT,PRIORMID,PRIOREAR,AVOIDMAN,ACC12MO,VIOLSP,VIOLDWI,VIOLRECK,VIOLSUSP,VIOLROW,VIOLCLOS,VIOLSIGN,VIOLOTH,VIOLUNK,DRINKING,ALCTEST,LSOURCE,LCOMPL,LSTATUS,LTYPCOMP,LREST,LRESTADD,PREVSPD,PREVOTH,PREVDWI,PREVSUS,PREVACC,LANES,MEDIANT,MEDIANW,ACCESS,TRAFFLOW,SHOULDLT,SHOULDRT,ALIGNMNT,GRADE,SURTYPE,SURCOND,TRAFCONT,TRCTLFCT,SPLIMIT,DRIRF1,DRIRF2,DRIRF3,ENVRF1,ENVRF2,ENVRF3,PSUWGT,NATWGT,RATWGT
1,028V,28,V,4,6,1,1,1,U,U,U,0,0,0,U,U,1,0,0,0,U,0,0,0,0,0,0,0,0,0,0,C,1,U,U,U,U,U,U,U,U,U,U,2,1,41,3,1,0,0,1,1,2,2,0,0,30,0,0,0,0,0,0,66.000,85.404,82.470
1,028V,28,V,4,6,2,2,1,61,330,100,0,0,0,0,1,2,0,0,8,U,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,0,0,0,0,U,2,1,41,3,1,0,0,1,1,2,2,0,0,30,0,0,0,0,0,0,66.000,85.404,82.470
1,029W,29,W,4,6,1,1,1,U,U,U,0,0,0,U,U,1,0,0,U,U,0,0,0,0,0,0,0,0,0,U,C,U,U,U,U,U,U,U,U,U,U,U,3,3,6,3,1,0,0,1,1,2,2,0,0,30,0,0,0,0,0,0,132.000,170.808,171.587
1,029W,29,W,4,6,2,2,1,30,21,20,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,U,U,U,U,U,U,U,U,U,U,U,3,3,6,3,1,0,0,1,1,2,2,1,3,30,0,0,0,0,0,0,132.000,170.808,171.587
1,030L,30,L,4,6,1,2,1,U,U,U,0,0,0,U,U,2,0,0,U,U,0,0,0,0,0,0,0,0,0,0,C,1,0,2,4,0,0,0,0,0,0,U,5,0,0,3,0,0,0,1,1,2,2,2,3,30,0,0,0,0,0,0,67.500,87.345,111.071
1,030L,30,L,4,6,2,2,1,U,U,U,0,0,0,U,U,2,0,0,U,U,0,0,0,0,0,0,1,0,0,0,C,1,0,2,2,0,0,0,0,0,0,U,5,0,0,3,0,0,0,1,1,2,2,2,3,30,0,0,0,0,0,0,67.500,87.345,111.071
1,031V,31,V,4,6,1,1,1,61,20,80,0,0,0,0,4,2,0,0,0,U,0,0,0,0,0,0,0,0,0,8,C,1,3,2,2,1,0,0,0,0,0,U,2,0,0,3,0,0,0,1,1,2,2,1,3,30,0,0,0,0,0,0,135.000,174.690,168.688
1,031V,31,V,4,6,2,1,1,61,997,150,0,0,0,0,1,2,0,0,0,U,0,0,0,0,0,0,0,0,0,0,C,1,3,2,2,5,0,0,0,0,0,U,3,0,0,3,3,0,0,1,1,2,2,1,3,30,0,0,0,0,0,0,135.000,174.690,168.688
1,032B,32,B,4,6,1,1,1,U,U,U,0,0,0,U,U,1,U,U,0,U,0,0,0,0,0,0,0,1,0,0,C,1,0,2,2,0,0,0,1,0,0,U,2,0,0,3,0,0,0,1,1,2,2,0,0,30,0,0,0,0,0,0,98.250,127.135,142.026
1,033T,33,T,4,6,1,2,1,61,U,90,0,0,0,0,1,1,U,U,U,0,0,0,0,0,0,0,1,0,0,0,C,1,0,2,2,0,0,0,0,0,0,U,4,1,30,3,1,0,0,1,1,2,2,2,3,30,0,0,0,0,0,0,112.286,145.298,155.577
