PSUWGT,NATWGT,RATWGT,PSU,AOPSVEH,CASEID,CASENO,STRATIF,VERSION,VEHNO,MODELYR,MAKE,MODEL,BODYTYPE,VIN,TOWPAR,TRAVELSP,DRINKING,ALCTEST,SPLIMIT,MANEUVER,ACCTYPE,DRPRES,OCUPANTS,OCCFORMS,CURBWGT,CARGOWGT,TOWHITCH,DOCTRAJ,CONDTREE,ROLLOVER,FOVERIDE,ROVERIDE,ANGTHIS,ANGOTHER,DVBASIS,DVTOTAL,DVLONG,DVLAT,ENERGY,DVCONFID,INSPTYPE,VINLNGTH,VINJSER,VINJURED,DRIVE,VTREAT,OTVEHWGT,OTBDYTYP,VAIS,DRUGS,OBSTEST,SPECTEST,OBSNARC,SPECNARC,OBSDEPR,SPECDEPR,OBSSTIM,SPECSTIM,OBSHLUC,SPECHLUC,OBSCNAB,SPECCNAB,OBSPCP,SPECPCP,OBSINHL,SPECINHL,OBSOTH,SPECOTH
29.120,714.0224,904.64787919,2,0,43G,43,G,4,1,86,12,6,4,1FABP3939G,1,U,0,C,35,1,88,1,2,2,30,1,0,0,0,0,0,0,150,105,6,U,U,U,U,0,1,17,0,0,1,0,37,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.120,714.0224,904.64787919,2,0,43G,43,G,4,2,89,20,2,4,1G1BN51E3K,1,U,0,C,0,1,89,1,1,1,37,0,0,0,0,0,0,0,105,150,6,U,U,U,U,0,2,17,0,0,1,0,30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58.240,1428.0448,1818.7884043,2,0,44H,44,H,4,1,83,12,477,30,9999999999,1,U,0,C,55,U,3,1,1,1,U,U,0,0,0,2,0,0,997,997,5,U,U,U,U,0,0,U,0,0,8,0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.770,67.9204,132.33775337,2,0,45D,45,D,4,1,86,22,2,4,2G2GN69A2G,1,U,U,C,55,1,6,1,1,1,32,0,0,0,U,0,0,0,998,998,1,18,-18,0,403,1,1,17,0,1,1,4,998,98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.183,28.998986667,56.502328392,2,0,46D,46,D,4,1,85,2,405,14,1JCWC7742F,1,U,0,C,55,1,2,1,1,1,U,U,0,0,0,U,0,0,997,997,5,U,U,U,U,0,0,17,0,0,8,4,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.870,217.4924,359.46357024,2,0,47F,47,F,4,1,85,30,42,4,9999999999,1,U,0,C,55,U,2,1,4,4,22,0,0,0,0,0,0,0,998,998,6,U,U,U,U,0,0,U,0,2,2,4,N,N,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.480,869.9696,1108.0118919,2,0,48H,48,H,4,1,85,47,U,2,9999999999,1,U,0,C,55,U,7,1,1,1,U,U,0,0,0,0,0,0,998,998,5,U,U,U,U,0,0,U,0,0,U,0,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.770,67.9204,110.22264287,2,0,49C,49,C,4,1,85,49,40,4,9999999999,1,U,0,C,55,U,68,1,1,1,U,U,0,0,0,0,0,0,130,0,3,20,-17,-10,207,1,0,U,0,1,2,4,N,N,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.770,67.9204,110.22264287,2,0,49C,49,C,4,2,89,41,35,3,JM1BF2320K,1,U,0,C,55,1,69,1,3,3,22,0,0,0,0,0,0,0,0,130,3,19,-18,6,467,1,1,17,0,3,2,3,U,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.453,182.75573333,280.08178049,2,0,50E,50,E,4,1,87,54,31,3,JH4DA3356H,1,U,0,C,55,1,42,1,2,2,23,0,0,0,0,0,U,0,0,180,4,U,U,U,U,0,1,17,0,2,2,4,N,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.453,182.75573333,280.08178049,2,,50E,50,E,4,2,80,89,997,58,9999999999,0,U,0,C,55,U,42,,,,,,,,,,,,,,,,,,,,,U,N,N,8,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.043,319.82253333,528.59111249,2,0,51F,51,F,4,1,78,20,1,4,1W19U81400,1,U,1,D,35,U,1,1,1,1,33,0,0,1,0,0,0,0,998,998,5,U,U,U,U,0,1,13,0,1,1,3,998,98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52.173,1279.2901333,1629.3312788,2,0,52H,52,H,4,1,85,37,31,3,JHMAH5335F,1,U,0,C,55,U,7,1,3,3,19,0,0,0,0,0,0,0,998,998,5,U,U,U,U,0,1,17,0,0,U,0,998,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.340,57.3768,87.932652014,2,0,53E,53,E,4,1,90,49,32,2,JT2AE96C5L,1,U,0,C,55,6,8,1,2,2,27,0,0,0,0,3,0,0,997,997,5,U,U,U,U,0,1,17,0,2,2,4,998,98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.275,55.788838095,85.499025503,2,0,54E,54,E,4,1,79,42,37,4,1160241200,1,0,0,C,0,1,89,1,1,1,39,0,0,0,0,0,0,0,270,0,1,9,-4,8,275,1,1,14,0,1,1,4,25,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.275,55.788838095,85.499025503,2,1,54E,54,E,4,2,87,22,18,2,1G2NV14L1H,1,U,0,C,35,1,88,1,1,1,25,0,0,0,0,0,0,0,0,270,1,14,-14,0,274,1,1,17,0,1,2,4,39,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.982,97.630466667,161.36010321,2,0,55F,55,F,4,1,83,37,31,4,JHMST5431D,1,U,1,17,35,1,2,1,1,1,20,0,0,1,1,0,0,0,998,998,1,17,-17,0,327,1,1,17,0,1,2,4,998,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.927,390.52186666,497.37700295,2,0,56H,56,H,4,1,85,7,11,4,1B3BD36G0F,1,U,0,C,55,1,2,1,3,3,24,0,0,0,0,0,0,0,998,998,5,U,U,U,U,0,2,17,0,0,2,0,998,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.106,27.124568889,44.018316582,2,0,57C,57,C,4,1,87,48,31,6,JF2AN53B1H,1,U,0,C,55,U,12,1,2,2,24,0,0,0,0,0,0,0,998,998,5,U,U,U,U,0,1,17,0,1,U,4,998,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.659,40.686853333,79.275251054,2,0,58D,58,D,4,1,80,12,473,31,F2GECG6000,1,U,0,C,55,7,3,1,1,1,42,0,0,0,7,0,0,0,998,998,5,U,U,U,U,0,1,11,0,1,8,4,998,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.445,305.1514,504.34319409,2,0,59F,59,F,4,1,83,35,43,2,JN1PB12S7D,1,U,0,C,55,U,1,1,1,1,18,0,0,0,0,4,0,0,997,997,5,U,U,U,U,0,1,17,0,1,2,4,998,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
