H01,H02,H02A,H02B,H03,H05,H06,H07,H08,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
7,503G,503,G,3,2,2,1.00,126.17,1,2,1,73,153,38,21,1,1,A,8,8,8,8,A,A,A,8,8,8,8,A,A,13,25947CG,2,1,460,1,1,A,1,5,2,2,2,139,94,2,U,U,U,U,U
7,504I,504,I,3,2,1,1.00,126.17,1,1,2,70,113,1,2,1,2,12,F,D,E,W,2,A,A,8,8,8,8,A,2,13,136690K,2,1,126,1,1,A,1,2,2,2,2,33,0,1,U,U,U,U,U
7,504I,504,I,3,2,2,1.00,126.17,1,2,1,78,167,38,21,1,1,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,2,1,164,1,1,A,1,3,2,2,2,109,60,3,U,U,U,U,U
7,505I,505,I,3,2,1,1.00,126.17,2,1,2,70,121,12,11,1,2,11,F,D,E,W,3,A,A,8,8,8,8,A,2,11,F25YLJ5,2,1,U,1,5,3,1,4,2,2,2,35,20,2,U,U,U,U,U
7,505I,505,I,3,2,2,1.00,126.17,1,2,1,79,153,38,21,1,1,A,8,8,8,8,A,A,A,8,8,8,8,A,A,13,DA215JH,2,1,U,U,U,U,1,6,2,1,2,U,0,1,U,U,U,U,U
8,005J,5,J,3,2,1,31.34,4519.01,3,1,1,64,141,1,2,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
8,006M,6,M,3,2,1,12.53,1807.60,1,4,2,77,113,14,5,1,46,0,T,D,H,O,2,44,U,9,9,9,9,U,2,13,CKLI87F,2,1,67,1,1,A,1,A,1,2,2,41,0,1,U,U,U,U,U
8,009J,9,J,3,2,1,13.25,1910.86,1,1,1,68,121,2,3,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
8,009J,9,J,3,2,2,13.25,1910.86,1,2,1,73,121,16,11,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
8,010M,10,M,3,2,1,5.30,764.34,1,1,2,75,121,4,1,1,44,U,9,9,9,9,U,A,A,8,8,8,8,A,2,11,5F04Y16,2,1,79,1,1,A,1,8,2,2,2,29,0,1,U,U,U,U,U
8,011M,11,M,3,2,1,5.30,764.34,1,1,1,68,121,2,1,1,2,1,F,L,E,N,1,A,A,8,8,8,8,A,2,11,8W62F18,2,1,96,1,1,A,1,4,2,2,2,37,0,1,6,-6,-3,37,U
8,011M,11,M,3,2,2,5.30,764.34,1,2,2,75,871,9,1,1,1,10,L,P,E,W,2,A,A,8,8,8,8,A,2,10,TE37523,2,1,49,1,4,2,1,5,2,2,2,22,0,1,9,-5,8,54,U
8,012I,12,I,3,2,1,8.56,1234.85,2,4,2,71,152,14,5,1,46,U,9,9,9,9,U,A,A,8,8,8,8,A,2,U,9999999,2,1,64,1,1,A,1,A,1,2,2,24,0,1,U,U,U,U,U
8,013L,13,L,3,2,1,2.74,395.15,1,1,2,77,115,18,1,1,34,9,L,F,E,N,2,46,0,T,D,H,O,3,1,13,2M27V72,2,1,20,1,7,2,1,9,1,2,2,27,0,1,10,0,10,100,U
8,014M,14,M,3,2,1,13.70,1975.76,2,1,2,76,952,8,2,1,32,12,F,L,E,N,1,38,0,U,L,X,N,1,1,15,UC24445,2,1,12,1,1,A,1,8,2,2,2,29,0,1,U,U,U,U,U
8,015N,15,N,3,2,1,68.50,9878.80,2,1,1,73,114,3,2,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
8,015N,15,N,3,2,2,68.50,9878.80,1,3,1,72,121,1,2,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
8,016I,16,I,3,2,1,12.33,1778.72,2,1,2,74,121,12,11,1,2,12,F,Z,E,W,2,A,A,8,8,8,8,A,2,11,F106ET0,2,1,62,1,6,1,1,1,2,2,2,36,0,1,24,-24,0,264,U
8,016I,16,I,3,2,2,12.33,1778.72,2,1,2,70,115,2,2,1,1,12,F,Z,E,W,2,A,A,8,8,8,8,A,2,13,262390E,2,1,89,1,1,A,1,1,2,2,2,44,0,1,20,-20,0,434,U
8,017M,17,M,3,2,1,19.73,2845.96,2,1,1,75,121,6,1,1,2,4,R,F,E,E,3,A,A,8,8,8,8,A,2,11,5E82F14,2,1,56,1,1,A,1,7,2,2,2,32,0,1,U,U,U,U,U
8,017M,17,M,3,2,2,19.73,2845.96,1,1,2,76,113,1,1,1,1,12,L,D,E,S,1,A,A,8,8,8,8,A,2,13,1D37V6B,2,1,42,1,1,A,1,7,2,2,2,37,0,1,U,U,U,U,U
8,018N,18,N,3,2,1,98.67,14229.79,1,1,1,70,661,9,1,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
8,018N,18,N,3,2,2,98.67,14229.79,1,2,1,74,132,20,9,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
8,019H,19,H,3,2,1,2.49,359.56,1,1,2,74,152,14,5,1,2,11,F,D,E,W,3,A,A,8,8,8,8,A,2,13,J4F83FT,2,1,31,3,2,2,1,1,2,2,2,24,0,1,49,-42,24,940,U
8,019H,19,H,3,2,2,2.49,359.56,1,1,2,77,121,12,11,1,1,12,F,Y,E,W,4,44,3,R,B,E,W,3,2,U,9999999,2,1,22,5,2,3,1,1,2,2,2,U,0,1,21,-21,0,623,U
8,020J,20,J,3,2,1,31.17,4494.49,1,1,1,73,121,12,11,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
8,020J,20,J,3,2,2,31.17,4494.49,1,2,1,73,113,8,1,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
8,021M,21,M,3,2,1,12.47,1797.80,1,1,2,64,113,2,1,1,32,12,F,R,E,E,1,A,A,8,8,8,8,A,2,12,41447T2,2,1,120,1,1,A,1,8,2,2,2,37,0,1,U,U,U,U,U
8,022I,22,I,3,2,1,6.94,1000.50,1,4,2,77,121,12,11,1,46,0,T,D,H,O,7,A,A,8,8,8,8,A,2,11,F14HE06,2,1,25,2,7,2,1,A,1,2,2,38,0,1,U,U,U,U,U
8,023M,23,M,3,2,1,11.10,1600.80,1,1,2,73,111,1,1,1,31,U,9,9,9,9,U,A,A,8,8,8,8,A,2,13,4J57H3G,2,1,53,U,U,U,1,8,2,2,2,39,0,1,U,U,U,U,U
8,024M,24,M,3,2,1,11.10,1600.80,1,1,2,70,115,1,1,1,34,U,9,9,9,9,U,A,A,8,8,8,8,A,2,13,242370B,2,1,39,1,3,2,1,9,2,2,2,38,0,1,U,U,U,U,U
8,025N,25,N,3,2,1,55.50,8003.99,2,1,1,73,112,3,1,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
8,025N,25,N,3,2,2,55.50,8003.99,2,1,1,73,134,1,3,1,A,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,A,A,A,A,U,A,U,U,U,U,U,U,U,U,U,U,U
8,026I,26,I,3,2,1,8.33,1201.86,2,1,2,73,132,8,1,1,2,12,F,L,E,S,6,A,A,8,8,8,8,A,2,13,1H23C3B,2,1,105,1,1,A,1,7,2,2,2,30,0,1,U,U,U,U,U
8,026I,26,I,3,2,2,8.33,1201.86,2,1,1,74,167,30,29,1,1,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,2,1,U,U,U,U,1,7,2,2,2,U,U,U,U,U,U,U,U
8,027M,27,M,3,2,1,13.33,1922.98,1,1,2,78,134,1,2,1,2,12,F,D,E,W,1,A,A,8,8,8,8,A,2,13,RL41P8A,2,3,36,1,1,A,1,1,2,2,2,40,0,1,20,-20,0,290,U
8,027M,27,M,3,2,2,13.33,1922.98,1,1,2,65,113,2,2,1,1,12,F,D,E,W,1,A,A,8,8,8,8,A,2,13,163695T,2,1,90,1,1,A,1,1,2,2,2,37,0,1,22,-22,0,309,U
8,028M,28,M,3,2,1,13.33,1922.98,1,1,2,64,132,1,2,1,44,12,F,L,E,W,2,44,11,F,R,E,W,2,1,U,9999999,2,1,168,1,1,A,1,8,2,2,2,32,0,1,24,-24,0,0,U
8,028M,28,M,3,2,2,13.33,1922.98,1,2,1,U,U,40,39,1,1,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,U,U,U,U,U,U,U,5,2,2,2,U,U,U,U,U,U,U,U
8,029H,29,H,3,2,1,2.92,421.11,1,1,2,78,121,11,12,1,2,11,F,D,E,W,1,A,A,8,8,8,8,A,2,11,EO4BHCG,2,1,11,1,1,A,1,4,2,2,2,38,2,3,U,U,U,U,U
8,029H,29,H,3,2,2,2.92,421.11,1,2,1,75,116,38,21,1,1,A,8,8,8,8,A,A,A,8,8,8,8,A,A,U,9999999,3,1,U,1,1,A,1,6,2,2,2,U,0,1,U,U,U,U,U
8,030I,30,I,3,2,1,9.13,1315.97,1,1,2,77,111,1,3,1,2,12,F,Y,E,W,2,A,A,8,8,8,8,A,2,13,4K35J7G,2,1,75,1,1,A,1,1,2,2,2,44,0,1,29,-29,0,1223,U
8,030I,30,I,3,2,2,9.13,1315.97,1,1,2,71,113,12,11,1,1,12,F,L,E,W,2,A,A,8,8,8,8,A,2,12,CKE141T,2,1,102,1,1,A,1,1,2,2,2,45,3,3,27,-27,0,181,U
