PSU,CASE_ID,CASE_NO,STRATIF,REC_NO,VERSION,VEH_NO,PSUWGT,NATWT,OCUPANTS,DR_PRES,DRIV_EXP,MILEAGE,TYPE_OP,BMCS_REG,DR_CLASS,RD_FREQ,DR_TRAIN,SP_VIOL,DWI_VIOL,RD_VIOL,W_SUSPEN,OTH_VIOL,UNK_VIOL,DDRINKNG,DTEST_RS,L_SOURCE,L_STATUS,L_RESTRI,ADD_REST,PREV_SPD,PREV_OTH,PREV_DWI,PREV_SUS,PREV_ACC,D_LANES,D_MEDIAN,D_ACCESS,D_DIRECT,D_SHOU_L,D_SHOU_R,D_ALIGNM,D_GRADE,D_PAVE_T,D_SUR_CO,D_TRA_CO,D_SP_LIM
1,042B,42,B,4,4,1,94.49,305.58,1,1,61,U,0,0,0,3,0,0,0,0,0,1,0,0,C,1,3,1,0,0,0,0,1,0,2,1,3,2,0,0,1,1,2,1,0,30
1,043M,43,M,4,4,1,294.39,952.06,1,1,36,5,0,0,0,3,2,1,0,0,0,0,0,0,C,1,3,0,0,0,0,0,0,0,1,1,3,1,0,0,1,1,2,1,0,30
1,044C,44,C,4,4,1,872.26,2820.89,5,1,U,U,0,0,0,U,U,U,U,U,U,U,U,0,C,U,U,U,U,U,U,U,U,U,2,1,3,1,0,0,1,1,2,2,0,30
1,045B,45,B,4,4,1,250.77,810.99,1,1,61,1,0,0,0,1,2,0,0,0,0,1,1,0,C,1,3,0,0,0,0,0,0,0,2,1,3,2,0,0,1,1,2,1,2,30
1,046C,46,C,4,4,1,185.35,599.42,1,1,61,997,0,0,0,1,0,0,0,0,0,1,0,0,C,1,3,0,0,2,1,0,0,0,4,1,3,2,0,0,1,1,2,1,0,30
1,047C,47,C,4,4,1,250.77,810.99,2,1,61,200,0,0,0,2,8,0,0,0,0,0,0,0,C,1,3,8,0,0,1,0,0,0,2,1,3,2,0,0,1,1,2,1,0,30
1,048L,48,L,4,4,1,54.52,176.32,1,1,U,U,0,0,0,U,U,0,1,0,0,1,0,1,C,1,3,0,0,0,0,0,0,0,4,1,3,2,0,0,1,1,2,1,2,30
1,048L,48,L,4,4,2,54.52,176.32,1,1,U,U,0,0,0,U,U,0,0,0,0,0,0,0,C,1,3,1,0,0,0,0,0,0,4,1,3,2,0,0,1,1,2,1,2,30
1,049L,49,L,4,4,1,159.19,514.82,1,1,U,U,0,0,0,U,U,0,0,0,0,1,0,0,C,1,3,1,0,0,0,0,0,0,3,3,3,1,0,0,1,1,2,1,2,30
1,049L,49,L,4,4,2,159.19,514.82,1,1,48,60,0,0,0,1,0,0,0,0,0,1,0,0,C,1,3,1,0,0,0,0,0,0,2,1,3,2,0,0,1,1,2,1,2,30
1,049L,49,L,4,4,3,159.19,514.82,1,1,24,490,0,0,0,1,0,0,0,0,0,0,0,0,C,1,3,0,0,1,0,0,0,0,2,1,3,2,0,0,1,1,2,1,2,30
1,050B,50,B,4,4,1,159.91,517.15,1,1,61,U,0,0,0,U,U,0,0,0,0,1,0,0,C,U,3,1,0,0,0,0,0,0,5,1,3,2,0,0,1,1,2,1,2,30
1,051L,51,L,4,4,1,198.44,641.75,1,1,U,U,0,0,0,U,U,0,0,0,0,0,0,0,C,1,3,0,0,0,1,0,0,0,2,1,3,2,0,0,1,1,2,1,0,30
1,051L,51,L,4,4,2,198.44,641.75,1,1,U,U,0,0,0,U,U,0,0,0,0,0,0,0,C,1,3,0,0,1,1,0,0,0,2,1,3,2,0,0,1,1,2,1,0,30
1,052J,52,J,4,4,1,245.32,793.36,1,1,61,130,0,0,0,4,0,0,0,0,0,0,0,0,C,1,3,1,0,2,0,0,0,0,2,1,3,1,0,0,1,1,2,1,0,30
1,053F,53,F,4,4,1,481.56,1557.37,1,1,1,1,0,0,0,2,2,0,0,0,0,0,0,0,C,1,U,U,U,U,U,U,U,U,1,1,3,1,0,0,1,1,2,U,0,30
1,054B,54,B,4,4,1,130.84,423.14,1,1,U,U,0,0,0,U,U,0,0,0,0,0,0,0,C,1,U,U,U,U,U,U,U,U,4,1,3,2,0,0,1,1,2,2,2,30
1,055N,55,N,4,4,1,654.19,2115.65,1,1,U,U,0,0,0,U,U,0,0,0,0,0,1,0,C,1,3,0,0,0,0,0,0,0,2,1,3,2,0,0,1,1,2,1,2,30
1,055N,55,N,4,4,2,654.19,2115.65,1,1,61,U,0,0,0,4,0,0,0,0,0,0,0,0,C,1,3,1,0,0,0,0,0,0,4,1,3,1,0,0,1,1,2,1,2,30
1,056B,56,B,4,4,1,247.14,799.25,2,1,61,1,0,0,0,3,0,0,0,0,0,0,0,0,C,1,3,1,0,0,0,0,0,0,1,1,3,1,0,0,1,1,2,1,0,30
1,057L,57,L,4,4,1,82.86,267.97,1,1,61,560,0,0,0,1,0,0,0,0,0,0,0,0,C,1,3,0,0,0,0,0,0,0,2,1,3,2,0,0,1,1,2,1,0,30
1,058C,58,C,4,4,1,190.81,617.08,3,1,U,U,0,0,0,U,U,0,0,0,0,0,0,0,C,1,U,U,U,U,U,U,U,U,1,1,3,1,0,0,1,1,2,1,0,30
1,059M,59,M,4,4,1,190.81,617.08,1,1,U,U,0,0,0,U,U,0,0,0,0,0,0,0,C,1,4,0,0,2,0,0,0,0,4,1,3,2,0,0,1,1,2,2,0,30
1,059M,59,M,4,4,2,190.81,617.08,1,1,U,U,0,0,0,U,U,0,0,0,0,0,0,0,C,1,3,1,0,0,0,0,0,0,1,1,3,1,0,0,1,1,2,2,3,30
1,059M,59,M,4,4,3,190.81,617.08,1,1,U,U,0,0,0,U,U,0,0,0,0,0,0,0,C,1,3,0,0,0,0,0,0,0,2,1,3,2,0,0,1,1,2,2,3,30
1,060N,60,N,4,4,1,1199.35,3878.70,2,1,U,U,0,0,0,U,U,0,0,0,0,0,0,0,C,U,U,U,U,U,U,U,U,U,2,3,3,1,0,0,1,1,2,1,2,30
1,060N,60,N,4,4,2,1199.35,3878.70,1,1,48,190,0,0,0,1,0,0,0,0,0,0,0,0,C,1,3,0,0,0,0,0,0,0,2,3,3,1,0,0,1,1,2,1,2,30
