PSU,CASE_ID,CASE_NO,STRATIF,REC_NO,VERSION,VEH_NO,PSUWGT,NATWT,OCCFORMS,VEH_ROLE,TOWAWAY,MOD_YEAR,MAKE,MODEL,BODY_TYP,TOW_VEH,GVWR,CAB_CONF,TRAC_DRO,BODY_CON,AXLES_P,AXLES_T1,AXLES_T2,AXLES_T3,BRAKE_TY,OBJ_CNPR,CLOCK_PR,INCRE_PR,DFORCEPR,DEFLOCPR,LONGITPR,VERTICPR,DISTRIPR,EXTENTPR,OBJ_CNSE,CLOCK_SE,INCRE_SE,DFORCESE,DEFLOCSE,LONGITSE,VERTICSE,DISTRISE,EXTENTSE,MORE_CDC,VIN,REGISTRA,SPEC_USE,ODOMETER,PC_INTEG,PC_INTRU,MAG_INTR,FIRE,IMP_TYPE,OTH_ROLE,ROLLOVER,J_KNIFE,SAFETY_B,HAZCARGO,CURB_WT,CARGO_WT,WT_SOURC,DV_SOURC,DV_TOTAL,DV_LONG,DV_LAT,ENERGY,DV_L,DV_C1,DV_C2,DV_C3,DV_C4,DV_C5,DV_C6,DV_D,VDEATHS,VINJ_SER,VINJURY
52,099M,99,M,3,4,1,2.33,318.30,4,1,2,78,21,1,2,0,0,0,0,0,0,0,0,0,0,51,U,U,U,9,9,9,9,99,,,,,,,,,,0,3K47F8D436,1,0,68,U,U,U,0,1,6,0,0,0,0,33,2,2,0,U,U,U,U,,,,,,,,,0,0,0
52,100M,100,M,3,4,1,2.33,318.30,1,1,2,80,35,2,2,0,0,0,0,0,0,0,0,0,0,33,12,0,12,F,D,E,W,02,46,0,0,0,T,P,D,O,02,0,PS11081192,1,0,1,1,1,0,0,1,6,1,0,0,0,26,0,0,0,96,96,96,9996,,,,,,,,,0,0,1
52,101J,101,J,3,4,1,19.50,2663.91,1,1,1,73,12,6,6,0,0,U,U,U,U,U,U,U,U,0,,,,,,,,,0,,,,,,,,,0,9999999999,U,U,U,1,1,0,0,0,0,0,0,0,U,U,U,U,0,U,U,U,U,U,U,U,U,U,U,U,U,0,0,0
52,101J,101,J,3,4,2,19.50,2663.91,1,2,1,80,20,73,50,0,0,U,U,U,U,U,U,U,U,0,,,,,,,,,0,,,,,,,,,0,9999999999,U,U,U,1,1,0,0,0,0,0,0,0,U,U,U,U,0,U,U,U,U,U,U,U,U,U,U,U,U,0,0,0
52,102L,102,L,3,4,1,1.00,136.61,1,0,2,64,30,2,2,0,0,0,0,0,0,0,0,0,0,46,0,0,0,T,D,D,O,04,,,,,,,,,,0,H0505702,0,0,179,1,7,3,0,5,6,1,0,0,0,U,0,0,0,96,96,96,9996,,,,,,,,,0,0,1
52,103F,103,F,3,4,1,2.00,273.22,1,1,2,81,67,64,15,0,0,0,0,0,0,0,0,0,0,46,,,,,,,,,2,,,,,,,,,0,4R4002808,1,0,1,0,0,0,0,2,6,0,0,0,0,4,0,0,0,96,96,96,9996,,,,,,,,,0,0,1
52,103F,103,F,3,4,2,2.00,273.22,1,2,1,81,20,73,50,0,0,0,0,0,0,0,0,0,0,1,12,0,12,R,D,M,S,01,,,,,,,,,,0,1GCCC14D7B,1,0,5,1,1,0,0,3,4,0,0,0,0,36,1,1,0,96,96,96,9996,,,,,,,,,0,0,0
52,103F,103,F,3,4,3,2.00,273.22,1,2,2,72,37,66,15,0,0,0,0,0,0,0,0,0,0,46,,,,,,,,,1,,,,,,,,,0,CB75010477,1,0,U,0,0,0,0,2,6,0,0,0,0,5,U,U,0,96,96,96,9996,,,,,,,,,0,0,0
52,104I,104,I,3,4,1,2.04,278.69,2,0,2,74,23,73,50,1,0,0,0,0,0,0,0,0,0,46,0,0,0,T,D,D,O,04,,,,,,,,,,0,TCZ144F731,1,0,U,2,7,3,0,5,6,1,1,0,0,40,0,0,0,96,96,96,9996,,,,,,,,,0,0,1
52,105M,105,M,3,4,1,3.27,446.72,2,1,2,75,49,3,2,0,0,0,0,0,0,0,0,0,0,34,2,0,2,R,F,E,W,02,,,,,,,,,,0,PA22041463,2,0,82,1,1,0,0,3,6,0,0,0,0,25,1,2,2,12,-4,-12,145,81,0,4,15,32,30,22,153,0,0,0
